,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
452,0,Sagitov (TES) Arsenal,Zaporozhets (VEG) Bayern M,2.5,4.4,2.2,1.6,1.17,1.47,1.5,1.25,-1.5,3.5,3.5,2.1,1.65,94.0
453,1,Tottenham (orlovsky1),Arsenal L (d1pseN),,,,,,,,,,,,,,
454,2,Atletico M (Mr.Jab),Real M (vrico),1.4,3.75,9.5,1.02,1.23,2.75,-1.5,3.1,1.5,1.32,2.5,2.45,1.48,48.0
455,3,Sevilla (LaikingDast),Barcelona (Kodak),2.9,2.12,3.75,1.23,1.65,1.35,-1.5,8.0,1.5,1.05,1.5,2.5,1.45,69.0
456,4,Sevilla (Totti),Getafe (Nrek),,,,,,,,,,,,,,
457,5,Betis (Tigo),Celta (Paulo),1.4,5.7,5.2,1.13,1.1,2.75,-1.5,1.9,1.5,1.8,4.5,1.9,1.8,9.0
458,6,Tottenham  (Spursmax),Man. United (Skmgery),9.0,4.7,1.32,3.1,1.15,1.03,1.5,1.6,-1.5,2.2,4.5,1.52,2.35,7.0
459,7,EVERTON FC (CARLWHIZZER),West Ham (Quavo),1.3,4.5,10.5,1.01,1.16,3.2,-1.5,2.18,1.5,1.61,4.5,1.85,1.85,54.0
460,8,Man.City (Den1Bravo),Arsenal (Olom),1.58,3.75,5.5,1.11,1.23,2.25,-1.5,3.0,1.5,1.35,2.5,1.7,2.02,21.0
461,9,Kalinin Front,Belye Ldiny,9.0,3.85,1.45,2.65,1.25,1.05,1.5,1.37,-1.5,2.95,8.5,2.1,1.7,14.0
462,10,Russia (nazar4ik99),Finland (Joker),3.3,3.65,2.0,1.72,1.25,1.3,1.5,1.3,-1.5,3.2,3.5,2.17,1.62,99.0
463,11,Italy (JET),Austria (Mistyeye),6.3,3.75,1.53,2.35,1.23,1.08,1.5,1.48,-1.5,2.45,4.5,1.98,1.72,77.0
464,12,Belarus (Magistr),Poland (ScRate),1.6,4.7,4.1,1.19,1.15,2.2,-1.5,2.45,1.5,1.48,6.5,1.55,2.3,84.0
465,13,CSKA Moscow (Ash),Real Madrid (ZOD),,,,,,,-9.5,1.83,9.5,1.87,103.5,1.85,1.85,6.0
466,14,Charlotte Hornets (Goku),New York Knicks (Siegfried),,,,,,,5.5,1.83,-5.5,1.87,140.5,1.9,1.8,2.0
467,15,Washington Wizards (Shiva),Detroit Pistons (SLAMDUNKVV),3.25,,1.29,,,,6.5,1.8,-6.5,1.9,106.5,1.8,1.9,6.0
468,16,Golden State Warriors (Ellka),Toronto Raptors (Sally),,,,,,,-19.5,1.9,19.5,1.8,197.5,1.85,1.85,6.0
469,17,Portland Trail Blazers (Readdle),Denver Nugget (Reta),1.08,,6.5,,,,,,,,,,,
470,18,Boston Celtics (aLikan_),Houston Rockets (amuralex),1.01,,11.0,,,,-15.5,1.78,15.5,1.92,108.5,1.87,1.83,6.0
471,19,Mechta (w),Burevestnik (w),1.78,,1.92,,,,-0.5,1.82,0.5,1.88,82.5,1.85,1.85,28.0
472,20,France (Ballvanni),Ireland (JohnnySize),,,,,,,26.5,1.85,-26.5,1.85,59.5,1.9,1.8,20.0
473,21,Rakuten Monkeys-2,Fubon Guardians 2,,,,,,,0.0,7.4,0.0,1.06,11.5,2.0,1.72,22.0
474,22,Fukuoka SoftBank Hawks,Orix Buffaloes,,,,,,,0.0,1.57,0.0,2.25,4.5,1.55,2.3,20.0
