0,Internazionale Milano,Shakhtar Donetsk,1.20,6.40,15.00,1.01,1.12,4.60,-1.5,2.15,+1.5,1.70,2.5,2.15,1.70,+182
1,Inter-Shakht. Lukaku R,Martinez L,,,1.21,3.90,,,+1.5,1.16,-1.5,4.50,1.5,2.03,1.70,+4
2,Inter-Shakht. Barella N,Bonfim Marlos Romero,,1.11,,,5.50,,0,1.85,0,1.85,0.5,4.50,1.16,
3,Reynir S,KV Vesturbaejar,,,,,,,-2.5,1.25,+2.5,3.45,5.5,1.73,2.00,+8
4,Ellidi,Alftanes,3.15,4.70,1.80,1.90,1.15,1.30,+1.5,1.35,-1.5,2.90,4.5,1.70,2.02,+56
5,Vaengir Yupiters,Aegir,2.12,3.75,2.90,1.35,1.23,1.65,-1.5,3.15,+1.5,1.30,3.5,1.83,1.87,+209
6,Skallagrimur,KA Asvellir,25.00,9.50,1.07,6.80,1.02,,+2.5,1.60,-2.5,2.20,4.5,2.45,1.48,+47
7,Midas,Hviti Riddarinn,6.60,6.20,1.30,3.20,1.09,1.08,+1.5,2.00,-1.5,1.72,4.5,2.00,1.72,+73
8,Start,Valerenga,6.00,1.65,3.45,1.30,2.17,1.11,0,2.50,0,1.50,2.5,1.95,1.80,+6
9,Al Ahli,Aswan,1.04,,,,,10.50,-2.5,2.45,+2.5,1.52,2.5,1.83,1.91,+33
10,Volta Redonda,Ituano,5.40,1.48,4.60,1.16,2.45,1.12,0,2.00,0,1.72,2.5,2.30,1.55,+6
11,Sportivo San Lorenzo,Olimpia,9.00,5.50,1.30,3.35,1.13,1.05,+1.5,1.92,-1.5,1.82,3.5,2.35,1.55,+226
12,Akranes IA (w),Vikingur (w),1.25,5.20,12.50,,1.13,3.55,-1.5,2.30,+1.5,1.55,2.5,2.30,1.55,+102
13,Augnablik (w),Haukar (w),2.95,3.60,2.15,1.62,1.25,1.35,+1.5,1.25,-1.5,3.45,3.5,2.17,1.62,+211
14,Man. City (sane4ek8),Tottenham (FEARGGWP),18.00,4.90,1.22,3.85,1.14,,+1.5,1.55,-1.5,2.25,2.5,2.15,1.63,+7
15,Man.United (Chellovekk),Arsenal L (Flewless_ph.),1.70,2.70,8.00,1.05,1.40,2.02,-1.5,3.60,+1.5,1.25,2.5,1.97,1.73,
16,Eintracht Frankfurt (Stdm),FC KOLN (FLESHKA77),6.60,3.90,1.50,2.40,1.20,1.08,+1.5,1.35,-1.5,2.95,2.5,1.82,1.88,+56
17,Borussia D (Spursmax),Bayern (Alback),,,,,,,-3.5,1.65,+3.5,2.10,5.5,1.80,1.90,+7
18,TSG 1899 Hoffenheim (Lacoste),Wolfsburg (Dinototli),7.90,3.80,1.45,2.55,1.22,1.05,+1.5,1.32,-1.5,3.10,2.5,2.13,1.64,+7
19,Colambus Blue Jackets,TB Lightning,14.00,7.70,1.16,4.90,1.07,,+2.5,1.80,-2.5,1.95,5.5,2.15,1.65,+144
20,Stroitel Saint Petersburg,Rysi Saint Petersburg,1.03,,,,,12.00,-2.5,2.00,+2.5,1.72,11.5,2.80,1.38,+16
21,Den Nuggets,Uta Jazz,1.43,,2.83,,,,,,,,252.5,1.80,2.00,
22,Toronto Raptors,Brooklyn Nets,1.21,,4.40,,,,-10.5,1.90,+10.5,1.90,224.5,1.87,1.93,+24
23,Phoenix Suns (Tranquil),Golden State Warriors (bepado),3.20,,1.30,,,,+5.5,1.90,-5.5,1.80,110.5,1.87,1.83,+6
24,Philadelphia 76ers (Ellka),Houston Rockets (Readdle),1.62,,2.15,,,,-2.5,1.83,+2.5,1.87,187.5,1.80,1.90,+6
25,Ballerz-mihey77 (white),Ringers-hatetw (black),1.75,,1.95,,,,,,,,,,,
26,forZe,Copenhagen Flames,1.05,,8.00,,,,,,,,,,,
27,HellRaisers,Team Unique,,,,,,,,,,,,,,
