0,Ufa,Spartak Moscow,2.07,3.70,3.35,1.33,1.28,1.75,-1.5,4.30,+1.5,1.22,2.5,1.52,2.55,+214
1,Ural,Lokomotiv Moscow,4.80,3.60,1.77,2.05,1.30,1.18,+1.5,1.35,-1.5,3.25,2.5,2.10,1.75,+265
2,Уфа-Спартак. Sobolev A,Larsson J,3.80,1.80,3.80,1.22,1.90,1.22,0,1.85,0,1.85,0.5,1.65,2.10,+4
3,Урал-Локомот. Bicfalvi E,Miranchuk Al,6.50,1.60,3.20,1.30,2.20,1.08,0,2.70,0,1.41,0.5,1.90,1.80,+4
4,Novosibirsk,Dynamo Barnaul,1.55,3.30,7.40,1.06,1.30,2.30,-1.5,2.85,+1.5,1.35,1.5,1.98,1.72,+2
5,Legion Dynamo,Anji Makhachkala,2.25,3.30,2.95,1.35,1.30,1.57,-1.5,4.50,+1.5,1.16,2.5,2.03,1.70,+206
6,Tyumen,Zvezda Perm,2.10,3.35,3.30,1.30,1.28,1.65,-1.5,3.80,+1.5,1.22,2.5,1.85,1.85,+211
7,Shanghai Shenhua,Guangzhou R-F,9.50,6.10,1.25,3.75,1.11,1.04,+1.5,1.93,-1.5,1.82,5.5,1.60,2.25,+104
8,Red Bull Zalzburg U19,Lyon U19,1.33,5.20,9.00,1.06,1.16,3.30,-1.5,1.85,+1.5,1.95,3.5,1.65,2.25,+289
9,Mainz 05 II,Schweinfurt,18.00,8.50,1.10,5.80,1.04,,+1.5,2.65,-1.5,1.42,3.5,1.80,1.90,+100
10,Emmen,Heracles,18.00,7.80,1.12,5.30,1.05,,+1.5,2.60,-1.5,1.43,3.5,1.60,2.20,+119
11,Vejle Boldklub,Hobro,9.50,7.50,1.19,4.15,1.06,1.02,+1.5,2.30,-1.5,1.55,4.5,2.25,1.57,+158
12,Shakhter Karaganda,Kaisar Kyzylorda,3.35,1.88,4.00,1.20,1.82,1.28,0,1.70,0,2.02,0.5,1.55,2.30,+117
