0,Karabakh,Sileks Kratovo,1.05,14.00,36.00,,,9.00,-2.5,2.10,+2.5,1.70,2.5,1.53,2.45,+159
1,Sochi FC,Rubin Kazan,3.65,1.78,4.70,1.19,2.05,1.28,0,1.70,0,2.15,2.5,1.80,2.00,+83
2,Sochi-Rubin. Poloz D,Ignatiev I,,,,,,,,,,,,,,
3,Sochi-Rubin. Noboa C,Kvaratskhelia K,,1.05,,,8.00,,0,1.77,0,1.93,0.5,6.00,1.09,
4,Tambov FC,Khimki,1.45,4.10,8.00,1.08,1.25,2.75,-1.5,2.85,+1.5,1.42,2.5,1.80,2.00,+213
5,Dynamo Zagreb U19,Benfica U19,2.55,3.30,2.80,1.45,1.33,1.50,+1.5,1.18,-1.5,4.90,3.5,1.98,1.82,+240
6,Zalau,Gloria Bistrita,1.28,4.30,15.00,,1.18,3.35,-1.5,2.70,+1.5,1.40,2.5,2.65,1.40,+101
7,Schalke-04,Uerdingen 05,3.90,4.60,1.70,2.10,1.18,1.23,+1.5,1.40,-1.5,2.80,4.5,1.75,2.00,+132
8,Wolfsberger AC,Ajax,22.00,9.00,1.08,6.50,1.03,,+2.5,1.75,-2.5,1.95,3.5,1.58,2.20,+33
9,Bjelovar,Trnje,2.50,3.80,2.35,1.53,1.22,1.47,0,1.90,0,1.80,3.5,2.35,1.53,+7
10,Bravo,Tabor Sezana,1.45,4.10,6.70,1.07,1.19,2.55,-1.5,2.55,+1.5,1.45,2.5,1.52,2.35,+150
11,Albertslund BS 72 (w),Herlufsholm (w),,,1.10,5.70,,,+2.5,1.75,-2.5,1.95,3.5,1.55,2.35,
12,Taraz,Kyzyl-Zhar,4.15,1.65,4.20,1.19,2.10,1.19,0,1.83,0,1.87,0.5,1.95,1.75,+86
13,Dolny Kubin,Puchov,17.00,4.70,1.23,3.75,1.15,,+1.5,1.28,-1.5,3.35,5.5,1.68,2.05,+18
14,Blava Jaslovske Bohunice,Slovan Galanta,6.60,1.90,2.50,1.47,1.80,1.08,+1.5,1.06,-1.5,7.10,0.5,1.58,2.25,+64
15,Tovarniky,Podbrezova,,,,,,,+3.5,1.50,-3.5,2.45,3.5,1.65,2.10,+52
16,Stal DMZ,FK Volves,1.87,4.40,3.10,1.32,1.17,1.83,-1.5,2.95,+1.5,1.35,3.5,2.20,1.60,+65
