0,Lyon,Bayern,10.50,6.40,1.25,3.95,1.12,1.04,+1.5,2.15,-1.5,1.70,3.5,2.00,1.80,+293
1,Lyon,Bayern,,,,,,,,,,,,,,
2,Лион-Бавария. Lewandowski R,Gnabry S,2.10,2.80,3.90,1.21,1.38,1.65,0,1.45,0,2.55,1.5,1.80,1.90,+4
3,Flora Tallinna,Suduva Marijampole,,,,,,,,,,,,,,
4,Buducnost Podgorica,Ludogorets Razgrad,14.00,5.40,1.23,3.95,1.13,,+1.5,1.67,-1.5,2.15,4.5,2.10,1.70,+132
5,Connah's Quay,FK Sarajevo,30.00,6.10,1.15,5.10,1.11,,+1.5,1.70,-1.5,2.10,2.5,2.70,1.43,+130
6,Sheriff Tiraspol,Fola Esch,1.09,7.50,56.00,,1.07,6.70,-1.5,1.72,+1.5,2.05,2.5,2.25,1.60,+137
7,Floriana,Cfr Cluj,12.50,7.00,1.18,4.60,1.08,1.01,+1.5,2.15,-1.5,1.65,2.5,1.65,2.18,+223
8,Wegberg Beeck 1920,Viktoria 1915 Glesch-Paffe,9.00,2.95,1.57,2.25,1.35,1.03,+1.5,1.08,-1.5,6.60,1.5,1.65,2.10,+12
9,Royal Knokke,HSV Hoek,,,,,,,-2.5,2.90,+2.5,1.35,2.5,2.25,1.55,+10
10,Wattenscheid 09,SC Velbert,1.80,3.60,3.95,1.20,1.25,1.90,-1.5,3.80,+1.5,1.22,2.5,1.58,2.25,+118
11,TUS Montabaur,TuS Koblenz,7.80,1.98,2.25,1.57,1.72,1.05,+1.5,1.09,-1.5,6.10,2.5,1.55,2.30,+10
12,Turk Gucu Friedberg,Bayern Alzenau,,,,,,,+2.5,1.23,-2.5,3.70,4.5,2.35,1.52,+8
13,SC 1920 Oberhausen,Rot-Weiss Oberhausen,,,,,,,-5.5,2.75,+5.5,1.40,9.5,1.83,1.87,
14,SV Kloech,Kapfenstein,,,,,,,+2.5,1.17,-2.5,4.40,4.5,2.30,1.55,+4
15,TSF Weeze-3,Concordia Goch-2,5.10,1.63,3.65,1.25,2.15,1.13,0,2.20,0,1.60,4.5,1.92,1.78,+4
16,Brainois,Racing Club Waterloo,3.75,1.80,3.95,1.20,1.90,1.23,0,1.80,0,1.90,2.5,1.73,2.00,+6
17,RUS Rebecqouise,Royal Francs Borains,,,,,,,+2.5,1.30,-2.5,3.20,2.5,2.10,1.65,+10
18,SSV Erkrath,TSV Eller,10.00,5.10,1.27,3.40,1.13,1.02,+1.5,1.68,-1.5,2.05,2.5,1.60,2.20,+9
19,Kuchl,SV Seekirchen,,,,,,,-3.5,3.65,+3.5,1.25,3.5,1.92,1.78,+12
20,Kilnamanagh,Glenville,1.05,10.50,45.00,,1.01,7.80,-2.5,1.90,+2.5,1.80,3.5,1.62,2.15,+102
21,Wayside Celtic,Portmarnock FC,1.12,9.00,13.00,,1.03,5.30,-2.5,1.88,+2.5,1.82,5.5,1.73,2.00,+15
22,Fram Reykjavik,IF Magni,,,,,,,-3.5,2.55,+3.5,1.50,3.5,1.65,2.20,+88
23,Keflavik IF,Vikingur Olafsvik,,,,,,,-3.5,1.85,+3.5,1.85,4.5,1.50,2.40,+74
24,Thor Akureyri,Leiknir Faskrudsfjoerdur,,,,,,,-3.5,1.95,+3.5,1.75,4.5,1.75,1.95,+71
25,IBV Vestmannaeyjar,Afrurelding,1.30,4.80,10.50,1.01,1.15,3.20,-1.5,2.25,+1.5,1.58,2.5,1.65,2.10,+117
26,Dalvik/Reynir,Kordrengir,,,1.02,15.00,,,+2.5,2.30,-2.5,1.55,3.5,1.72,2.00,+93
27,Haukar Hafnafjordur,Volsungur,2.75,3.40,2.35,1.53,1.27,1.40,-1.5,5.30,+1.5,1.12,3.5,2.25,1.55,+45
28,Njardvik,Selfoss,5.00,3.45,1.70,2.02,1.25,1.13,+1.5,1.23,-1.5,3.70,2.5,1.80,1.90,+25
29,Strindheim U19,Stjordals-Blink U19,1.18,5.00,29.00,,1.13,4.30,-1.5,3.00,+1.5,1.35,1.5,1.65,2.10,+12
30,Legend Voronezh,Avtodor Nizhnedevitsk,,,,,,,,,,,,,,
31,Braer,Lider Dnepr,20.00,6.90,1.13,5.10,1.07,,+1.5,2.50,-1.5,1.48,7.5,2.05,1.68,+19
32,Meteor Dnepr,MDYuSSh Dnepr,,,,,,,-2.5,1.30,+2.5,3.15,7.5,1.55,2.30,+8
33,Rapperswil-Jona,Breitenrain Bern,1.13,6.00,38.00,,1.09,5.10,-1.5,2.85,+1.5,1.37,3.5,1.78,1.92,+6
34,Etoile-Carouge FC,Stade Nyonnais,1.35,4.20,9.50,1.02,1.19,2.95,-1.5,2.55,+1.5,1.45,2.5,1.95,1.75,+113
35,Sion-2,FC Bavois,10.50,4.60,1.30,3.20,1.16,1.01,+1.5,1.55,-1.5,2.30,2.5,1.82,1.88,+116
36,Vanersborgs,Utsikten,,,,,,,,,,,,,,
37,Sleipner,Nykopings BIS,54.00,5.40,1.14,4.90,1.12,,+1.5,1.37,-1.5,2.85,3.5,1.72,2.00,+18
38,Newroz,Gamla Upsala,2.55,2.20,4.15,1.19,1.60,1.45,0,1.52,0,2.35,5.5,2.65,1.42,+16
39,Eslous,Olympic FC,,,,,,,+5.5,1.27,-5.5,3.40,5.5,1.90,1.80,+10
40,Vastra Frolunda,Prespa Birlik,,,,,,,-2.5,3.75,+2.5,1.23,2.5,2.15,1.63,+10
41,Tallinna-2 Legion,Pohja-Tallinna JK Volta,,,,,,,-3.5,1.98,+3.5,1.72,5.5,1.75,1.95,+4
42,Ismaily,Wadi Degla,3.15,2.25,3.15,1.30,1.57,1.30,+1.5,1.05,-1.5,8.50,1.5,2.50,1.45,+133
43,Al Ahli,Sahab,7.10,1.45,4.00,1.20,2.55,1.06,0,2.50,0,1.47,0.5,2.35,1.52,+10
44,FUS Rabat,Raja Casablanca,4.00,2.95,2.05,1.68,1.35,1.20,+1.5,1.17,-1.5,4.40,1.5,1.50,2.40,+184
45,HUSA Agadir,Olimpique De Safi,2.05,3.05,3.75,1.23,1.33,1.68,-1.5,4.20,+1.5,1.18,2.5,2.40,1.50,+196
46,CAYB Berrechid,Renaissance Berkane,4.15,2.95,2.00,1.72,1.35,1.19,+1.5,1.17,-1.5,4.50,1.5,1.60,2.20,+180
47,Al Raed,Al Shabab,6.60,3.00,1.68,2.05,1.35,1.08,+1.5,1.18,-1.5,4.20,2.5,2.35,1.53,+102
48,Juventus SP,Portuguesa Santista,1.14,7.40,15.00,,1.06,4.90,-1.5,1.55,+1.5,2.25,3.5,2.15,1.62,+91
