,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
125,0,FC Basel 1893,Eintracht Frankfurt,3.8,3.65,1.95,1.85,1.28,1.27,1.5,1.33,-1.5,3.35,2.5,2.1,1.75,270.0
126,1,Wolves,Olympiakos Piraeus,1.22,5.8,16.0,1.01,1.14,4.3,-1.5,2.1,1.5,1.75,2.5,1.93,1.87,217.0
127,2,Wolver-Olymp. Valbuena M,Traore A,10.0,1.27,5.1,1.13,3.4,1.02,0.0,2.75,0.0,1.4,0.5,3.05,1.33,2.0
128,3,Lichtenberg 47,Blau-Weiss Friesdorf,,,,,,,1.5,9.0,-1.5,1.04,6.5,6.1,1.09,2.0
129,4,Lundby IF,Goteborg FF,,,,,,,-3.5,3.05,3.5,1.33,7.5,1.43,2.6,7.0
130,5,St. John Bosco,Templeogue United,43.0,5.0,1.16,4.6,1.13,,1.5,1.14,-1.5,5.0,3.5,2.45,1.48,6.0
131,6,St. Mochtas,Home Farm,,,,,,,-4.5,2.45,4.5,1.48,6.5,2.03,1.7,7.0
132,7,Usher Celtic Senior Team,Rush Athletic,2.6,2.85,2.85,1.37,1.37,1.45,-1.5,5.1,1.5,1.13,1.5,1.5,2.45,147.0
133,8,St. Francis,Corduff,1.6,4.2,4.6,1.16,1.19,2.2,-1.5,2.55,1.5,1.45,4.5,1.6,2.2,39.0
134,9,EB/Streymur,KI Klaksvik,,,,,,,6.5,1.57,-6.5,2.25,6.5,1.95,1.75,8.0
135,10,Vikingur Gota,HB Torshavn,50.0,7.1,1.08,6.5,1.06,,1.5,1.25,-1.5,3.45,3.5,2.3,1.55,6.0
136,11,Zamalek SC,Al Masry,1.15,6.3,24.0,,1.1,5.1,-1.5,3.4,1.5,1.3,1.5,1.98,1.78,67.0
137,12,Zheltie Tulpany,Krasnie Maki,1.25,4.5,18.0,1.01,1.16,3.55,-1.5,3.0,1.5,1.34,5.5,1.44,2.6,12.0
138,13,McDonalds Nitra,Trogary,,,,,,,5.5,1.62,-5.5,2.15,8.5,1.6,2.2,
139,14,Tottenham (BlackStar98),Man.United (FEARGGWP),16.0,3.6,1.35,2.95,1.25,,1.5,1.3,-1.5,3.25,1.5,1.43,2.6,17.0
140,15,Man. City (Chellovekk),Arsenal L (Flewless_ph.),1.4,3.6,11.5,1.01,1.25,2.75,-1.5,3.4,1.5,1.27,2.5,2.7,1.4,46.0
141,16,SSC NAPOLI (VITO),JUVENTUS (STIG),,,,,,,,,,,,,,
142,17,Min Wild,Vancouver Canucks,2.2,4.05,2.75,1.42,1.22,1.63,-1.5,3.3,1.5,1.3,4.5,2.15,1.65,168.0
143,18,Huttwil,Langental,2.15,3.1,3.4,1.27,1.32,1.62,-1.5,3.6,1.5,1.25,5.5,2.35,1.53,86.0
144,19,Chetyre Ledokola,Six Trolls,1.16,7.3,15.0,,1.08,4.9,-2.5,2.15,2.5,1.65,6.5,2.08,1.7,54.0
145,20,Los Angeles Kings (JET),San Jose (JoKeR),,,1.08,6.3,,,2.5,2.4,-2.5,1.5,5.5,1.65,2.1,29.0
146,21,Columbus (RedDevil),Detroit Red Wings(mrPanda),6.9,5.6,1.32,3.1,1.11,1.07,1.5,2.03,-1.5,1.7,5.5,2.25,1.57,97.0
147,22,Sacramento,NO Pelicans,1.03,,13.5,,,,-12.5,1.9,12.5,1.9,271.5,1.85,1.95,12.0
148,23,Milan (88fireburn),Zalgiris (Ash),6.8,,1.07,,,,13.5,1.9,-13.5,1.8,104.5,1.85,1.85,6.0
149,24,MSG,Profsoyuz Zhizneobespech.,1.12,,5.3,,,,-7.5,1.83,7.5,1.87,150.5,1.83,1.87,8.0
150,25,Erous,Vivacom,1.95,,1.75,,,,,,,,,,,
151,26,La Concordia,Las Ferias,1.63,,2.13,,,,-1.5,1.85,1.5,1.85,176.5,1.85,1.85,4.0
152,27,HOUSTON ROCKETS (BAD_TRIP),LOS ANGELES CLIPPERS (BOBBY),2.6,,1.43,,,,4.5,1.9,-4.5,1.8,126.5,1.87,1.83,6.0
153,28,Boston Celtics (Zo0m),Toronto Raptors (iamdevilwalk),,,,,,,-3.5,1.83,3.5,1.87,125.5,1.9,1.8,2.0
154,29,Denver Nuggets (ALLka),Miami Heat (Lily),,,,,,,,,,,,,,
155,30,Portland (Harden),Minnesota Timb. (Sphynx),,,,,,,,,,,,,,
156,31,Orlando Magic (alex_007_m),Cleveland Cav. (nikitos349,4.15,,1.19,,,,5.5,1.85,-5.5,1.85,123.5,1.85,1.85,6.0
157,32,FTC Telekom,BVSC-Zuglo,,,,,,,-6.5,2.1,6.5,1.65,21.5,2.1,1.65,19.0
158,33,Sturm Minsk,Milluol,2.47,4.5,2.2,1.6,1.16,1.48,0.0,1.95,0.0,1.75,11.5,1.65,2.1,27.0
159,34,Skaut team Belarus,Diza,,,,,,,5.5,1.75,-5.5,1.95,11.5,1.95,1.75,27.0
160,35,Pit Pirates,Min Twins,5.6,,1.11,,,,2.5,1.63,-2.5,2.15,10.5,1.7,2.02,20.0
161,36,AVEZ,SG.pro,1.78,,1.93,,,,,,,,,,,
162,37,Thunder Predator,Midas Club,,,,,,,,,,,,,,
163,38,Vexed,Cowana,,,,,,,4.5,2.15,-4.5,1.63,9.5,1.93,1.77,4.0
