0,Denver Nuggets,Utah Jazz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
1,Toronto Raptors,Brooklyn Nets,1.22,11,4.72,1.91,227.5,1.89,1.9,-10.5+,1.9,1.82,118.5,1.84,1.86,107.5,1.9,-,-,-,,,,,
2,Toronto Raptors,Brooklyn Nets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
3,Columbus Blue Jackets,Tampa Bay Lightning,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,,-,-,-,-,
4,Internazionale Milano,Shakhtar Donetsk,1.195,6.15,22,2.27,2.5,1.664,2,-1.5+,1.845,2.24,2,1.65,2.26,0.5,1.64,,,,,1.15,1.015,4.91,
5,Andrea Arnaboldi(Q),Mario Vilella Martinez,5.7,-,1.14,2.68,22.5,1.47,-,-,-,-,-,-,-,-,-,-,-,,,,,,-
6,Federico Gaio(3),Matteo Viola,1.41,-,2.91,1.9,27.5,1.9,1.65,-1.5+,2.24,1.3,14.5,3.18,1.85,13.5,1.85,-,-,,,,,,-
7,Hermann Muhlbach,Aleksandar Karakasevic,7.01,-,1.1,1.77,71.5,2.05,1.77,+7.5-,2.05,1.8,32.5,1.96,1.78,39.5,1.99,-,-,,,,,,-
8,Club Sportivo San Lorenzo,Club Olimpia,9.1,5.56,1.3,1.835,3,2.01,1.87,+1.5-,1.97,1.64,0.5,2.2,2.05,2.5,1.73,,,,,1.14,3.464,1.06,
9,Al Ahly Cairo,Aswan,1.04,13,29,1.832,2.5,1.97,1.83,-2+,1.98,2.12,2.5,1.69,3.48,0.5,1.29,,,,,-,-,14.4,
10,IK Start,Valerenga,5.87,1.59,3.71,2.08,2.5,1.75,2.23,0,1.66,3.75,1.5,1.25,3.17,1.5,1.34,,,,,2.28,1.256,1.115,
11,Huddinge U19,Alvsjo AIK U19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
12,Irina Sharyi,Kristina Grigoreva,-,-,-,1.91,104.5,1.83,1.5,-7.5+,2.48,3.83,56.5,1.235,2.39,48.5,1.54,-,-,,,,,,-
13,Pavel Povalishnikov,Dmitry Lelyakov,3.11,-,1.31,1.73,53.5,2.02,2.52,+5.5-,1.48,-,-,-,-,-,-,-,-,,,,,,-
14,Vladimir Shirokov,Matvey Panafutin,2.645,-,1.435,1.835,109.5,1.904,1.875,+5.5-,1.864,1.825,53.5,1.915,1.85,56.5,1.89,-,-,,,,,,-
15,Sergey Yacenko,Bogdan Tikhonov,1.32,-,3.16,1.89,108.5,1.85,1.92,-7.5+,1.825,1.875,56.5,1.864,1.9,52.5,1.84,-,-,,,,,,-
16,Barcelona+,Zenit+,-,-,-,1.87,11.5,1.93,-,-,-,1.77,5.5,2.05,1.715,5.5,2.125,,,,,-,-,-,
17,Inter+,Juventus+,2.12,7.19,2.12,1.965,10,1.84,1.9,0,1.9,1.616,4.5,2.11,1.616,4.5,2.11,,,,,1.05,1.64,1.61,
18,England (3x3),France (3х3),-,-,-,2.235,9.5,1.65,1.64,+4-,2.256,1.71,2.5,2.136,2,6.5,1.81,,,,,-,-,-,
19,Ivan Mikhaylyuk,Denis Sokolchuk,-,-,-,1.816,15.5,1.93,-,-,-,-,-,-,1.805,5.5,1.86,-,-,,,,,,-
20,Ural Police,Club Victory,1.11,-,6.66,1.9,172.5,1.9,1.915,-12.5+,1.888,1.91,89.5,1.89,1.9,78.5,1.9,-,-,,,,,,-
21,Sergey Pitirimov,Vyacheslav Gorbunov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-
22,Polina Sabirova,Polina Nogina,-,-,-,1.95,57.5,1.795,1.54,+11.5-,2.375,1.95,23.5,1.795,1.95,34.5,1.795,-,-,,,,,,-
23,Anney Laska,Vladimir Filippovich,-,-,-,-,-,-,3.14,-5.5+,1.36,-,-,-,-,-,-,-,-,,,,,,-
