,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
236,0,Calgary Flames,Dallas Stars,5.06,4.35,1.6,2.344,1.22,1.17,2.096,4.5,1.77,-,+1-,-,1.85,1.5,1.95,-,-,-
237,1,Devils Team,Penguins Team,2.04,4.39,2.76,1.39,1.17,1.69,1.72,5.5,2.115,-,0,-,1.93,3,1.88,-,-,-
238,2,Severstal Team,Dinamo Team,2.395,-,1.984,1.73,1.085,1.504,1.945,7.5,1.856,-,0,-,1.91,3.5,1.89,-,-,-
238,2,Severstal Team,Dinamo Team,-,-,-,1.73,1.085,1.504,1.945,7.5,1.856,-,0,-,1.91,3.5,1.89,-,-,-
