,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
154,0,Irtysh Omsk,Chertanovo,22,7.48,1.12,5.65,1.075,-,2.08,2.5,1.75,2.13,+1.5-,1.71,1.87,0.5,1.9,1.87,2,1.9
155,1,Orenburg,Alania Vladikavkaz,1.69,3.55,5.08,1.15,1.275,2.1,2.24,2.5,1.65,2.32,-1+,1.61,1.69,1.5,2.11,1.69,0.5,2.11
156,2,Borussia Monchengladbach,Verl,1.14,9.31,12,1.02,1.045,5.27,1.965,3.5,1.84,1.73,-2+,2.1,1.88,2.5,1.88,1.88,0.5,1.88
157,3,Estonia (Women),Latvia (Women),2.23,3.04,3.44,1.29,1.355,1.62,1.965,2,1.84,1.56,0,2.42,1.59,1,2.31,1.59,0.5,2.31
158,4,Taguatinga EC,Bosque Formosa,3.9,2.71,2.25,1.608,1.432,1.235,2.256,1.5,1.64,2.68,0,1.47,1.58,0.5,2.32,1.58,0.5,2.32
159,5,Capital CF,Real Nucleo Bandeirante,3.51,3.1,2.17,1.65,1.344,1.28,1.88,2,1.92,2.41,0,1.57,1.63,0.5,2.22,1.63,1,2.22
160,6,Ajax Cape Town,Richards Bay,1.97,2.32,7.75,1.07,1.575,1.79,1.87,1,1.93,3.51,-1+,1.3,3.66,0.5,1.27,3.66,0.5,1.27
161,7,Sandvikens,Team TG,1.27,5.65,9.24,1.045,1.125,3.53,1.832,3.5,1.97,1.78,-1.5+,2.03,2.38,2.5,1.55,2.38,1,1.55
162,8,Baobab Queens (Women),Ruvuma Queens (Women),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,9,Beijing+,Tokyo+,4.51,4.45,1.575,2.24,1.168,1.165,1.57,3.5,2.19,1.74,+1-,2.09,2.02,1.5,1.79,2.02,2.5,1.79
164,10,Austria (3х3),Turkey (3х3),1.48,4.59,5.32,1.13,1.18,2.33,1.85,5.5,1.95,1.965,-1+,1.84,2.405,3.5,1.57,2.405,2.5,1.57
165,11,Netherlands (4х4),Argentina (4х4),1.51,5.95,3.97,1.205,1.096,2.38,2.06,8.5,1.76,1.795,-1+,2.016,1.915,4.5,1.885,1.915,3.5,1.885
166,12,Portugal (4х4),Italy (4х4),1.625,5.59,3.475,1.26,1.11,2.144,1.8,8,2.01,2.005,-1+,1.805,1.86,4.5,1.94,1.86,3.5,1.94
167,13,Hertha (Amateur),Dynamo Dresden (Amateur),17,10,-,10,-,-,1.88,7,1.92,1.76,+3.5-,2.06,1.95,2,1.72,1.95,5.5,1.72
168,14,Holland (3x3),USSR (3x3),1.08,10,13.1,-,-,6.36,2.05,25,1.72,1.87,-3+,1.87,2.096,14,1.688,2.096,11,1.688
169,15,Zwolle (Amateur),Roda (Amateur),-,-,-,-,-,-,2.76,4.5,1.37,1.9,+3-,1.9,2.115,0.5,1.725,2.115,3.5,1.725
170,16,Gornyaki,Pushkari,2.008,7.42,2.23,1.58,1.056,1.715,1.835,10.5,1.968,2.7,-1.5+,1.384,1.49,4.5,2.365,1.49,4.5,2.365
171,17,POLICY,CHEMIST,1.35,5.56,6.24,1.085,1.11,2.94,1.99,4.5,1.816,2.032,-1.5+,1.78,2,3,1.81,2,1.5,1.81
172,18,Russia (3x3),Ukraine (3х3),2.875,7.9,1.648,2.11,1.05,1.365,1.89,16,1.91,1.9,+1-,1.9,1.95,7.5,1.85,1.95,8.5,1.85
173,19,Brazil (SSL) Women,Russia (SSL) Women,2.06,9,2.06,1.675,1.03,1.675,2,16,1.81,1.9,0,1.9,2.02,8,1.79,2.02,8,1.79
174,20,Athletic Bilbao (Amateur),Getafe (Amateur),8.93,7.59,1.192,-,-,-,1.568,5.5,2.2,2.256,+1.5-,1.54,1.52,1.5,2.295,1.52,3.5,2.295
175,21,France team (Women),Germany team (Women),-,10,17,-,-,10,2.025,5.5,1.79,-,-,-,-,-,-,-,-,-
