,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
76,0,Brisbane Roar,Sydney,3.58,2.69,2.55,1.555,1.51,1.325,1.95,3.5,1.89,2.264,0,1.664,1.57,1.5,2.41,1.57,1.5,2.41
77,1,Shanghai Shenhua,Dalian Pro,1.525,4.1,7,1.125,1.264,2.625,2.005,3,1.84,1.9,-1+,1.94,2.06,2,1.76,2.06,1,1.76
78,2,JEF United Ichihara Chiba (Women),Ehime (Women),2.94,1.61,9.22,1.045,2.24,1.375,2.17,0.5,1.69,1.24,0,4.06,6.91,0.5,1.09,6.91,0.5,1.09
79,3,Jeju United,Chungnam Asan,1.54,3.76,6.52,1.096,1.25,2.392,2.08,2.5,1.75,1.95,-1+,1.85,1.83,1.5,1.94,1.83,0.5,1.94
80,4,Seoul Cityhall Amazones (Women),Gyeongju (Women),12.3,1.81,2.29,1.585,1.94,1.016,1.72,2.5,2.12,5.37,0,1.15,1.93,1.5,1.84,1.93,1.5,1.84
81,5,Suwon Fasilitis (Women),Hwacheon KSPO (Women),12.7,3.5,1.42,2.752,1.28,1.016,1.88,1.5,1.92,1.1,+1.5-,6.27,4.56,0.5,1.18,4.56,1.5,1.18
82,6,Daejeon Sportstoto (Women),Busan Sangmu (Women),1.15,5.69,37,-,1.125,4.96,2.11,1.5,1.73,3.73,-1.5+,1.27,3.91,1.5,1.24,3.91,0.5,1.24
83,7,Hanshin Tigers,Yokohama DeNA BayStars,5.08,-,1.18,-,-,-,1.92,7.5,1.92,1.94,+2-,1.9,1.84,2.5,1.92,1.84,4.5,1.92
84,8,Chunichi Dragons,Hiroshima Toyo Carp,9.07,-,1.07,-,-,-,1.96,7,1.88,1.78,+3.5-,2.08,1.96,1.5,1.81,1.96,5,1.81
85,9,Tally Valley Black,Robina City II,-,-,-,-,-,-,2.205,8,1.67,1.71,-7.5+,2.13,9.44,7.5,1.04,9.44,0.5,1.04
86,10,Kataller Toyama,Sagamihara,1.05,12.7,26,-,1.016,8.61,2.08,3.5,1.75,2.31,-2.5+,1.61,2.06,2.5,1.73,2.06,0.5,1.73
87,11,Tokyo+,Shanghai+,2.264,4.14,2.512,-,-,-,2.06,3.5,1.76,3.98,-1.5+,1.165,1.68,1.5,2.19,1.68,1.5,2.19
88,12,Italy (3х3),Portugal (3х3),2.096,7.85,2.096,1.656,1.05,1.656,1.99,12,1.816,1.9,0,1.9,2.03,6,1.784,2.03,6,1.784
89,13,Bears (blue),Falcons (white),2.08,7.31,2.08,1.67,1.08,1.67,1.91,106.5,1.85,1.41,+1.5-,2.72,2.01,53.5,1.77,2.01,53.5,1.77
90,14,Arsenal (Amateur),Rostov (Amateur),3.24,3.056,2.248,-,-,-,2.088,8,1.744,2.325,0,1.608,-,3.5,-,-,-,-
91,15,Utrecht (Amateur),Zwolle (Amateur),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,16,Zebry,Grify,-,-,-,-,-,-,1.856,9.5,1.944,-,-,-,1.35,1.5,2.825,1.35,6.5,2.825
93,17,ART,MED,1.275,4.54,12.8,-,1.16,3.352,2.35,6.5,1.592,1.72,-1+,2.12,1.82,3.5,1.99,1.82,2.5,1.99
