0,CSKA Moscow,Rubin Kazan,1.72,3.55,5.30,1.16,1.30,2.12,-1.5,3.05,+1.5,1.38,2.5,2.10,1.75,+277
1,Rotor-Volgograd,Sochi FC,3.80,3.05,2.15,1.70,1.38,1.27,+1.5,1.22,-1.5,4.30,2.5,2.35,1.60,+272
2,CSKA-Rubin. Vlasic N,Ignatiev I,3.80,1.60,5.50,1.11,2.20,1.22,0,1.57,0,2.25,0.5,1.95,1.75,+4
3,Mechelen,Cercle Brugge,1.85,3.35,4.30,1.20,1.30,1.90,-1.5,3.90,+1.5,1.23,1.5,1.57,2.35,+212
4,OH Leuven,Charleroi,13.00,6.10,1.20,4.30,1.11,1.01,+1.5,1.97,-1.5,1.77,2.5,1.55,2.35,+182
5,Slask Wroclaw,Piast Gliwice,1.02,,,,,17.00,-1.5,1.23,+1.5,3.95,2.5,2.12,1.68,+10
6,Alexandria,FC Mariupol,1.78,3.20,5.20,1.14,1.33,1.98,-1.5,3.65,+1.5,1.25,1.5,1.72,2.05,+206
7,Dundee Utd,Celtic,10.00,4.20,1.40,2.95,1.23,1.05,+1.5,1.52,-1.5,2.55,2.5,2.40,1.55,+236
8,Pafos FC,FC Omonoia,19.00,5.40,1.20,4.30,1.13,,+1.5,1.25,-1.5,3.85,3.5,1.95,1.80,+61
9,Chaika Peschanokopskoe,Volgar Astrahan,3.50,2.35,3.00,1.40,1.60,1.30,+1.5,1.07,-1.5,9.00,1.5,2.70,1.47,+154
10,Ajaccio,Chateauroux,1.75,3.35,5.50,1.15,1.33,2.10,-1.5,3.30,+1.5,1.33,2.5,2.45,1.55,+191
11,Amiens,Nancy,2.30,3.15,3.30,1.33,1.35,1.62,-1.5,4.90,+1.5,1.18,2.5,2.40,1.57,+232
12,Auxerre,Sochaux,5.20,3.30,1.80,2.00,1.33,1.16,+1.5,1.30,-1.5,3.60,2.5,1.70,2.17,+171
13,Chambly Telle,Paris FC,2.50,2.85,3.30,1.33,1.42,1.53,-1.5,6.30,+1.5,1.12,1.5,1.63,2.25,+212
14,Clermont Foot,Caen,2.07,3.00,4.30,1.22,1.40,1.75,-1.5,4.30,+1.5,1.22,2.5,2.40,1.58,+193
15,Guingamp,Chamois Niortais,1.65,4.05,5.10,1.17,1.25,2.25,-1.5,2.85,+1.5,1.42,2.5,2.10,1.75,+231
16,Rodez Aveyron,Grenoble,3.30,2.75,2.60,1.50,1.45,1.33,+1.5,1.14,-1.5,5.70,2.5,2.45,1.55,+228
17,Valenciennes,Pau FC,1.47,3.80,8.00,1.06,1.25,2.60,-1.5,2.45,+1.5,1.52,3.5,2.40,1.55,+183
18,Red Bull Zalzburg U19,Real Madrid U19,19.00,8.50,1.13,6.00,1.07,,+2.5,1.50,-2.5,2.60,4.5,2.35,1.60,+64
19,Triglia Rafinas,Lykovrysi,,,,,,,-4.5,4.00,+4.5,1.20,6.5,2.55,1.45,
20,Twente,Go Ahead Eagles,1.45,4.05,6.80,1.07,1.20,2.55,-1.5,2.60,+1.5,1.43,2.5,1.70,2.02,+121
21,PSV Eindhoven,Eintracht Frankfurt,4.00,3.00,2.00,1.72,1.35,1.20,+1.5,1.20,-1.5,3.95,1.5,1.63,2.15,+147
22,Saint-Louis Neuweg,Grandvillard,1.12,,,,,5.40,-1.5,1.60,+1.5,2.20,2.5,1.70,2.02,+7
23,Liverpool,Vfb Stuttgart,1.04,14.00,91.00,,1.02,11.00,-2.5,1.80,+2.5,2.00,3.5,1.62,2.30,+160
24,Elektra,WAF Vorwarts Brigittenau,,,,,,,-3.5,2.50,+3.5,1.47,3.5,1.60,2.20,+81
25,Kloech,Feldbach,2.20,3.45,2.95,1.35,1.25,1.60,0,1.63,0,2.15,3.5,1.90,1.80,
26,St. Anna AM Aigen,Stadl-Paura,1.50,4.80,5.00,1.13,1.15,2.40,-1.5,2.40,+1.5,1.50,3.5,1.65,2.10,+164
27,Wiener Viktoria,Admira-2,11.50,4.20,1.32,3.10,1.19,1.01,+1.5,1.45,-1.5,2.60,2.5,2.30,1.55,+23
28,Karabakh,Sabah,1.13,6.20,31.00,,1.09,5.10,-1.5,1.87,+1.5,1.83,2.5,2.10,1.65,+99
29,Botev Vratsa,CSKA Sofia,5.90,2.50,2.02,1.75,1.50,1.11,+1.5,1.14,-1.5,5.20,3.5,2.50,1.50,+118
30,Siroki Brijeg,Borac Banja Luka,1.75,3.60,4.40,1.17,1.25,1.95,-1.5,3.05,+1.5,1.33,2.5,2.00,1.72,+104
31,Hapoel Beer Sheva,Maccabi Haifa,3.55,2.40,2.60,1.45,1.50,1.25,+1.5,1.07,-1.5,6.70,1.5,2.25,1.58,+161
32,Sligo Rovers,Dundalk,2.08,3.10,3.80,1.25,1.35,1.70,-1.5,5.90,+1.5,1.12,2.5,2.08,1.70,+128
33,Afrurelding,Keflavik IF,2.45,3.30,2.70,1.40,1.30,1.48,-1.5,5.00,+1.5,1.14,4.5,2.35,1.53,+111
34,KA Asvellir,Samherjar,2.00,3.35,3.55,1.25,1.28,1.72,-1.5,3.85,+1.5,1.22,4.5,2.25,1.58,+38
35,Aalesund,Haugesund,8.50,4.15,1.42,2.75,1.20,1.05,+1.5,1.45,-1.5,2.70,4.5,1.92,1.82,+126
36,Bodo/Glimt,Start,,,,,,,-2.5,1.53,+2.5,2.40,4.5,2.25,1.60,+129
