0,Philipp Kohlschreiber(4),Mats Moraing,1.26,-,3.82,1.9,24.5,1.9,1.88,-6+,1.92,1.8,13.5,1.91,1.85,9.5,1.85,-,-,-,,,,,
1,Gian Marco Moroni,Carlos Alcaraz Garfia(Q),2.17,-,1.69,1.9,25.5,1.9,1.9,+0.5-,1.9,1.85,12.5,1.85,1.85,13.5,1.85,-,-,-,,,,,
2,Hugo Grenier,Antoine Hoang(6),2.15,-,1.7,1.96,22.5,1.85,1.85,+2.5-,1.96,1.64,11.5,2.12,1.85,12.5,1.85,-,-,-,,,,,
3,Bojan Tokic,Felix Wetzel,1.05,-,9.55,1.9,51.5,1.9,2.05,-15.5+,1.77,-,-,-,-,-,-,-,-,-,,,,,
4,Mamelodi Sundowns,Cape Town City,2.07,3.21,3.63,1.85,2,1.95,1.49,0,2.62,1.65,1,2.18,1.63,0.5,2.22,,,,1.325,1.264,1.71,,
5,Ceske Budejovice,Rytiri Kladno,2.03,4.76,2.73,1.93,6,1.77,1.67,0,2.2,1.7,3,2.03,,,,-,,-,1.17,1.43,1.74,-,
6,Oana Gavrila,Lisa Ponomar,4.94,-,1.18,2.2,21.5,1.67,1.5,+5-,2.59,3.06,8.5,1.33,3.26,13.5,1.29,-,-,-,,,,,
7,Suzan Lamens,Yana Morderger,3.76,-,1.27,1.9,22,1.9,1.75,+4.5-,2.08,2.11,9.5,1.65,2.44,13.5,1.49,-,-,-,,,,,
8,Shahar Biran,Darya Shvartsmann,2.69,-,1.47,2.21,28,1.67,2.04,-2+,1.78,1.61,14.5,2.17,1.2,12.5,4.07,-,-,-,,,,,
9,Olimpi Tbilisi II,Batumi II,-,-,-,1.92,134.5,1.82,1.82,-19.5+,1.92,1.95,77.5,1.78,1.93,57.5,1.8,-,,-,,,,,17.6
10,Tsarsko Selo Sofia,Montana,3.12,2.06,3.78,2.01,1,1.8,1.71,0,2.13,1.96,0.5,1.8,2.31,0.5,1.58,,,,1.72,1.25,1.34,,
11,Dugopolje U19,NK Varazdin U19,4.32,4.89,1.58,1.97,3.5,1.832,1.88,+1-,1.93,1.74,1,2.04,1.79,2,1.98,,,,1.16,2.304,1.2,,
12,VPS Juniorit,Saaripotku,1.16,7.3,14.6,1.72,4,2.05,2.01,-2.5+,1.8,2.03,3.5,1.75,2.14,1,1.68,,,,1.075,1.005,4.88,,
13,Tukums 2000,Spartaks Jurmala,29,19,1.02,2.05,4,1.77,1.66,+3-,2.22,2.05,0.5,1.73,2.05,3.5,1.73,,,,-,-,-,,
14,Asane,Sandnes Ulf,1.72,4.19,3.99,1.77,3,2.05,2.27,-1+,1.64,2.11,2,1.7,1.65,1,2.18,,,,1.21,1.225,2.056,,
15,Jerv,Tromso,3.97,3.72,1.82,1.89,2.5,1.91,1.52,+1-,2.53,2.1,1,1.7,1.88,1.5,1.88,,,,1.256,1.93,1.23,,
16,Lillestrom,Raufoss,1.47,4.67,5.65,1.85,3,1.95,1.83,-1+,1.98,1.92,2,1.84,2.1,1,1.7,,,,1.175,1.125,2.575,,
17,Sogndal,Ranheim,2.44,3.59,2.62,1.75,3,2.075,1.81,0,2,1.88,1.5,1.88,1.94,1.5,1.83,,,,1.27,1.46,1.52,,
18,Strommen,Oygarden,1.79,3.97,3.87,2.112,3,1.725,2.41,-1+,1.57,1.75,1.5,2.03,1.85,1,1.92,,,,1.23,1.24,1.968,,
19,Ullensaker Kisa,Stjordals-Blink,1.99,3.97,3.18,1.89,3.5,1.91,1.59,0,2.37,2.01,2,1.77,1.88,1.5,1.88,,,,1.23,1.33,1.775,,
20,HamKam,Grorud,2.2,3.75,2.87,1.736,3,2.1,1.69,0,2.17,1.75,1.5,2.03,2.03,1.5,1.75,,,,1.25,1.392,1.632,,
21,Baerum,Rosenborg II,2.15,4.2,2.73,1.83,3,1.975,1.69,0,2.17,1.83,1.5,1.94,2.12,1.5,1.69,,,,1.21,1.43,1.66,,
22,Sotra SK,Odd II,2.01,3.58,3.42,1.81,3,2,1.55,0,2.46,1.75,1.5,2.03,2.29,1.5,1.6,,,,1.27,1.295,1.755,,
23,Al Thuqbah,Al-Bukayriyah,3.44,3.38,2.07,1.94,2.5,1.86,2.53,0,1.52,1.92,1,1.84,2.03,1.5,1.75,,,,1.3,1.712,1.29,,
24,Borac Cacak,Buducnost Dobanovci,2.42,2.68,3.53,1.87,3.5,1.93,1.61,0,2.31,2.29,2,1.6,1.74,1.5,2.04,,,,1.44,1.28,1.53,,
25,Paul Valsecchi,Leopold Zima,2.15,-,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
26,Al Ahly (Women),6 October (Women),1.1,12,7.77,1.91,127.5,1.83,1.85,-15.5+,1.89,1.85,71.5,1.87,1.76,55.5,1.9,1.15,,28,,,,,6.06
27,Sama,Deir Ala,15.7,-,1.01,2.16,180.5,1.7,2.18,+9.5-,1.68,2.14,85.5,1.68,-,-,-,-,-,-,,,,,
28,Amur Team,AkBars Team,2.435,6.22,1.96,2.005,7.5,1.805,2.13,0,1.712,1.97,3.5,1.835,,,,-,,-,1.088,1.75,1.49,-,
29,Stroitel,Urojai,-,-,-,1.755,119.5,2.07,2.06,-0.5+,1.765,2.48,60.5,1.536,2.06,61.5,1.76,-,-,-,,,,,
30,Belgium (4х4),Italy (4х4),2.57,4.58,2.11,1.88,8,1.92,2.11,0,1.73,2.16,4,1.696,1.848,4,1.955,,,,1.16,1.648,1.445,,
31,Netherlands (4х4),Russia (4х4),-,10,17,1.98,8.5,1.825,1.805,-4+,2.008,1.68,6,2.184,1.81,2,2,,,,-,-,10,,
32,Titan,Peresmeshniki,-,-,-,1.99,6,1.816,-,-,-,-,-,-,,,,-,,-,-,-,-,-,
33,Ural Riders,Ural Air Force,2.36,-,1.59,1.88,183.5,1.92,1.856,+5.5-,1.95,1.936,92.5,1.865,1.96,95.5,1.848,-,-,-,,,,,
34,Andrey Ivanov,Andrey Sukhov,2.115,-,1.69,2.06,87.5,1.71,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
35,Sapphire (Women),Aquamarine (Women),2.952,-,1.4,1.896,184.5,1.904,1.975,+3.5-,1.83,1.94,93.5,1.864,1.89,92.5,1.91,-,-,-,,,,,
36,USA (Amateur),Germany (Amateur),2.53,3.296,2.53,2.22,2.5,1.66,1.9,0,1.9,1.8,1,2.01,,,,-,,-,1.264,1.43,1.43,-,
37,Germany (3x3),Holland (3x3),2.005,10,2.005,1.84,30,1.9,1.87,0,1.87,1.79,15.5,1.87,1.79,15.5,1.87,,,,-,1.715,1.68,,
38,Mikhail Dubrouski,Anastasiya Abramovich,1.064,-,8.74,1.885,22.5,1.915,2.225,-6.5+,1.66,-,-,-,-,-,-,-,-,-,,,,,
39,Fireball,Red Star,-,-,-,1.94,112.5,1.86,2,+11.5-,1.81,1.72,49.5,2,2.02,62.5,1.71,-,,-,,,,,-
40,Vikings,Anubisdogs,2.304,5.23,2.19,2.075,11.5,1.75,1.95,0,1.85,1.89,5.5,1.91,,,,-,,-,1.11,1.6,1.515,-,
41,Aristocrats,Orly,-,-,-,1.54,9.5,2.48,-,-,-,2.29,7.5,1.625,2.784,2.5,1.44,,,,-,-,-,,
42,ARCH,CHEMIST,7.31,5.43,1.315,2.104,4,1.73,1.77,+1.5-,2.05,1.63,1,2.27,1.89,2.5,1.91,,,,1.112,3.12,1.06,,
43,Russia (3x3),Belarus (3х3),10.1,7.85,1.17,1.816,13.5,1.992,1.9,+2-,1.9,1.68,5.5,2.184,1.68,7.5,2.184,,,,1.035,4.41,1.008,,
44,Sweden (AHL),Canada (AHL),2.256,5.13,2.256,1.984,10.5,1.82,1.9,0,1.9,1.784,5,2.03,,,,-,,-,1.1,1.592,1.54,-,
45,Sibiryachka (SVL) Women,Lokomotiv (SVL) Women,3.155,-,1.36,1.91,177.5,1.89,1.896,+12.5-,1.904,1.885,86.5,1.915,1.885,94.5,1.915,-,-,-,,,,,
46,Portugal (SSL) Women,Australia (SSL) Women,1.4,4.33,7.27,1.97,5,1.83,1.9,-1+,1.9,2.06,3,1.77,2.06,2,1.77,,,,1.18,1.06,2.71,,
47,Russia (SSL) Women,Brazil (SSL) Women,1.025,10,17,1.95,9,1.85,1.795,-3+,2.016,1.9,6,1.9,2.08,3,1.75,,,,-,-,9.61,,
