0,Sokol Krasnoyarsk,Ermak Angarsk,1.36,-,3.17,-,-,-,2.65,5.5,1.48,2.75,-1.5+,1.45,3.13,3.5,1.34,-,-,-,,,,,
1,Dizelist Penza,Mikhailov Hockey Academy,1.62,4.24,4.65,1.175,1.205,2.225,1.975,3.5,1.83,1.89,-1.5+,1.91,1.95,2.5,1.81,-,-,-,,,,,
2,Carlos Alcaraz Garfia(Q),Tomas Martin Etcheverry(Q),1.02,-,13.5,,,,1.87,21,1.93,1.93,-5+,1.87,6.81,13.5,1.07,-,-,,7.5,1.72,2,-,
3,Behar/Golubev(1),Hanfmann/Marterer,1.83,-,1.98,,,,1.9,20,1.9,1.8,+0.5-,2.01,1.87,10.5,1.83,-,-,,10.5,1.82,1.88,-,
4,HS Riga,HK Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
5,Dynamo Leningrad region,Ural Ufa,1.11,-,7.1,,,,1.97,180.5,1.87,1.73,-9.5+,2.15,2.38,95.5,1.55,-,-,,85.5,1.93,1.83,-,
6,Russia (Women),Dynamo Kazan (Women),4.65,-,1.19,,,,1.93,175.5,1.88,2.04,+18.5-,1.78,1.9,78.5,1.86,-,-,,97.5,2.23,1.62,-,
7,Borussia Dortmund,Paderborn 07,1.18,6.68,13.3,1.01,1.09,4.49,1.755,3,2.07,1.78,-1.5+,2.03,1.98,2.5,1.79,,,,0.5,1.71,2.08,,
8,Feyenoord,Hamburger,2.91,3.03,2.53,1.49,1.36,1.384,1.88,2,1.92,2.03,0,1.78,2.07,1,1.72,,,,1,1.94,1.82,,
9,Tottenham Hotspur,Reading,1.23,7.3,10.5,1.064,1.115,4.42,2.136,3.5,1.744,1.87,-1.5+,1.97,1.81,2.5,2,,,,0.5,1.6,2.33,,
10,Kuala Lumpur,UKM,1.16,6.44,19.9,-,1.1,4.88,1.784,1.5,2.03,1.54,-1+,2.47,2.34,1.5,1.57,,,,0.5,3.51,1.28,,
11,Negeri Sembilan,Terenganu II,5.07,1.81,3.13,1.34,1.944,1.15,1.736,0.5,2.05,2.32,0,1.61,3.38,0.5,1.3,,,,0.5,2.56,1.48,,
12,Pahang,Darul Takzim,21,6.54,1.16,5.04,1.11,-,1.87,5.5,1.97,2.425,+1-,1.59,3.49,2.5,1.29,,,,3.5,2.45,1.52,,
13,Perak,Melaka United,11,3.95,1.4,2.915,1.248,1.035,1.805,1.5,2.05,1.48,+1-,2.73,2.31,0.5,1.58,,,,1.5,3.72,1.26,,
14,Felda United,UiTM,11.4,4.45,1.34,3.216,1.205,1.032,1.736,1.5,2.15,1.65,+1-,2.29,2.56,0.5,1.48,,,,1.5,3.28,1.32,,
15,Sokol Ostroda,Lech Poznan II,1.93,2.98,4.63,1.175,1.37,1.82,2.184,2,1.68,1.39,0,3.02,1.74,1,2.05,,,,0.5,1.82,1.95,,
16,Daniil Glinka,Karlo Cubelic,1.34,-,3.24,,,,1.9,22.5,1.9,1.77,-3.5+,2.05,1.85,12.5,1.85,-,-,,9.5,1.85,1.85,-,
17,Fabienne Gettwart,Emily Welker,1.23,-,4.16,,,,2.04,19.5,1.78,1.75,-5.5+,2.08,2.06,12.5,1.68,-,-,,7.5,1.86,1.84,-,
18,Bani Suef,El Minya,4.29,-,1.22,,,,1.92,172.5,1.88,2.11,+15.5-,1.73,1.99,79.5,1.78,-,-,,94.5,2.01,1.77,-,
19,Arsenal Dzerzhinsk,Smolevichi,3.36,1.62,6.45,1.1,2.22,1.3,1.965,2.5,1.84,1.55,0,2.46,2.63,1.5,1.46,,,,1.5,3.61,1.27,,
20,BFA Vilnius II,Vidzgiris,1.2,7.22,10.4,1.03,1.08,4.27,2.01,3.5,1.8,2.15,-2+,1.7,1.83,2.5,1.93,,,,0.5,1.64,2.21,,
21,ZKS Olimpia Zambrow,Ruch Wysokie Mazowieckie,2.14,3.82,2.93,1.38,1.245,1.665,1.784,2.5,2.03,1.67,0,2.21,2.06,1.5,1.73,,,,1,1.68,2.13,,
22,Guizhou Tongkang Law Firm,Jialin Building Materials,1.33,11,3.352,,,,1.83,77.5,1.91,1.87,-5.5+,1.87,1.77,41.5,1.89,1.65,6.48,,36.5,1.88,1.84,,2.92
23,Gladiators Trnava U20,Skalica U20,1.72,5.37,3.3,1.31,1.136,2.056,1.84,8,1.86,1.975,-1+,1.74,2.01,4.5,1.77,-,-,-,,,,,
24,Prerov U20,Kromeriz U20,1.7,4.36,3.95,1.23,1.195,2.085,1.74,5,1.98,2.11,-1.5+,1.73,1.73,3,2,-,-,-,,,,,
25,Chrudim U20,Havlickuv Brod U20,1.75,5.05,3.34,1.304,1.152,2.02,1.975,6.5,1.83,1.896,-1+,1.808,1.79,3.5,1.98,-,-,-,,,,,
26,OK Ribnica Kraljevo,NIS Vojvodina,5.37,-,1.15,,,,1.8,178.5,2.01,1.75,+12.5-,2.08,1.78,83.5,1.99,-,-,,96.5,1.93,1.83,-,
27,Valentina Sabitova,Anna Ryazanova,-,-,-,,,,2.16,75.5,1.65,1.76,-15.5+,2,2.31,45.5,1.57,-,-,,30.5,2.29,1.58,-,
28,Vladislav Davidov,Daniel Ibragimov,1.76,-,1.97,,,,1.912,43.5,1.81,1.925,+0.5-,1.8,-,-,-,-,-,,-,-,-,-,
29,Switzerland Team,Czech Republic Team,1.535,5.17,4.24,1.184,1.125,2.33,1.98,11,1.825,1.9,-1+,1.9,1.92,6,1.88,-,-,-,,,,,
30,Vitalii Murzin,Konstantin Chernov,3.01,-,1.35,,,,1.85,112.5,1.89,1.92,+3.5-,1.825,1.875,58.5,1.865,-,-,,57.5,1.8,1.944,-,
31,Sweden (3х3),Turkey (3х3),1.55,4.1,5.21,1.125,1.192,2.42,1.69,11,2.17,2.165,-1+,1.695,2.045,6,1.775,,,,5,1.7,2.15,,
32,Portugal (4х4),Italy (4х4),-,-,-,-,-,-,2.1,8.5,1.735,1.8,+2-,2.01,3.375,3.5,1.32,,,,5.5,3.65,1.285,,
33,Russia (4х4),Netherlands (4х4),-,-,-,-,-,-,2.125,9.5,1.715,2.14,-3+,1.704,3.86,6.5,1.26,,,,3.5,3.296,1.336,,
34,Wings (Women),Storm (Women),1.68,8.39,2.52,,,,1.94,72.5,1.86,2.01,-2.5+,1.8,1.97,37.5,1.74,-,-,,35.5,1.94,1.77,,-
35,Ledyanie Velikany,Peresmeshniki,-,-,-,2.225,1.12,1.19,1.57,6.5,2.19,-,-,-,1.995,3,1.81,-,-,-,,,,,
36,Ural Mountains (Women),Ural City (Women),1.225,-,4.22,,,,1.88,177.5,1.925,2.136,-2.5+,1.71,1.864,88.5,1.94,-,-,,87.5,1.88,1.925,-,
37,Bayer (Amateur),Eintracht (Amateur),1.856,6.29,2.61,1.43,1.07,1.805,2.015,7.5,1.8,1.625,0,2.29,2.07,4,1.755,,,,3.5,2.06,1.765,,
38,Great Britain (Amateur),France (Amateur),1.512,4.93,4.6,1.16,1.14,2.38,2.025,6.5,1.79,1.9,-1+,1.9,1.7,3.5,2.16,-,-,-,,,,,
39,Izumrud (Women),Sapphire (Women),-,-,-,,,,1.98,135.5,1.83,2,+14.5-,1.81,1.98,60.5,1.83,-,-,,75.5,8.94,1.02,-,
40,Brazil (3x3),Germany (3x3),1.26,7.95,6.16,1.09,1.035,3.33,1.835,20,1.904,1.87,-2+,1.87,1.925,11,1.816,,,,9,1.925,1.816,,
41,Ivan Volodkevich,Egor Slizevich,2.14,-,1.705,,,,1.82,25.5,1.92,1.85,+0.5-,1.89,-,-,-,-,-,,-,-,-,-,
42,Jupiter (Women),Venus (Women),1.31,13,3.63,,,,1.87,137.5,1.93,1.95,-9.5+,1.85,1.85,73.5,1.85,-,-,,64.5,1.9,1.8,,-
43,Bulls,Anubisdogs,2.27,5.82,2.135,1.63,1.088,1.535,2.235,11,1.55,1.96,0,1.84,1.768,5,2.056,-,-,-,,,,,
44,Breeze,Tornado,1.67,-,2.025,,,,1.835,88.5,1.825,1.85,-2.5+,1.81,1.86,43.5,1.805,-,-,,43.5,1.825,1.832,-,
45,Belgium (Kung),Croatia (Kung),1.736,-,1.935,,,,1.82,85.5,1.84,1.82,-1.5+,1.84,1.78,42.5,1.88,-,-,,42.5,1.795,1.864,-,
46,Netherlands (Kung),Italy (Kung),1.49,-,2.365,,,,1.832,85.5,1.825,1.84,-5.5+,1.82,1.79,42.5,1.87,-,-,,42.5,1.85,1.81,-,
47,Andrey Goptsev,Artem Dolotov,-,-,-,,,,1.89,86.5,1.85,-,-,-,-,-,-,-,-,,-,-,-,-,
48,Nijmegen (Amateur),Heracles (Amateur),-,10,10,-,-,10,1.792,6.5,2.02,2.464,-3.5+,1.456,1.54,4.5,2.48,,,,1.5,1.7,2.155,,
