,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
519,0,Almeria,Girona,,,,,,,,,,,3.5,5.3,1.16,
520,1,Baltika,Shinnik,,,,,,,-2.5,7.6,2.5,1.09,2.5,5.4,1.15,6.0
521,2,CSKA Sofia,Botev Plovdiv,6.0,1.17,21.0,,4.7,1.11,,,,,2.5,4.9,1.16,2.0
522,3,Radnik Bijeljina,Siroki Brijeg,,,,,,,,,,,2.5,11.0,1.03,
523,4,Siofok,Debreceni EAC,,,,,,,,,,,,,,
524,5,Csakvari,Ajka FC,,,,,,,,,,,,,,
525,6,Gyori ETO FC,Soroksar,,,1.05,7.8,,,1.5,1.05,-1.5,8.5,1.5,4.8,1.14,6.0
526,7,Szombathelyi Haladas,Szeged,,,,,,,,,,,,,,
527,8,Kazincbarcikai,Pecsi MFC,7.6,4.2,1.4,2.75,1.19,1.05,1.5,1.4,-1.5,2.75,2.5,1.85,1.85,115.0
528,9,Merani Tbilisi,Dynamo Batumi,,,,,,,,,,,3.5,7.5,1.06,
529,10,Silkeborg U19,Aalborg U19,6.3,3.35,1.6,2.2,1.28,1.08,1.5,1.19,-1.5,4.15,4.5,2.45,1.48,79.0
530,11,Hap.Ironi Kiryat Shmona,Bnei Sakhnin,1.28,4.5,15.0,,1.18,3.5,-1.5,2.65,1.5,1.45,2.5,2.25,1.6,103.0
531,12,Maccabi Haifa,Hapoel Haifa,1.09,7.9,39.0,,1.06,6.7,-1.5,2.65,1.5,1.45,1.5,1.9,1.85,76.0
532,13,Kopavogur,Fjolnir,,,,,,,,,,,4.5,6.4,1.1,
533,14,Rigas Futbola Skola,BFK Daugavpils,,,,,,,,,,,2.5,6.7,1.09,
534,15,Rosenborg,Aalesund,2.07,3.65,3.25,1.32,1.25,1.7,-1.5,3.45,1.5,1.3,3.5,1.62,2.2,203.0
535,16,Lodz,Slask Wroclaw,1.7,3.6,4.6,1.16,1.25,2.02,-1.5,3.15,1.5,1.3,3.5,2.3,1.55,179.0
536,17,Metalac GM,Proleter Novi Sad,8.5,3.25,1.55,2.35,1.32,1.05,1.5,1.23,-1.5,4.0,2.5,2.7,1.45,121.0
537,18,Rad,Vozdovac Beograd,2.0,3.2,3.85,1.25,1.33,1.75,-1.5,5.4,1.5,1.14,2.5,2.05,1.75,109.0
