,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
33,0,Majoros Bence,Evgueni Chtchetinine,1.33,-,3.33,2.05,74.5,1.77,-,-6.5+,-,1.83,39.5,1.93,1.83,33.5,1.93,-,-,-
34,1,Miriam Bianca Bulgaru,Quirine Lemoine,-,-,-,4.04,14.5,1.24,-,+9.5-,-,-,2.5,-,-,-,-,-,-,-
35,2,Millionaires,Military,2.93,-,1.405,1.92,206.5,1.88,-,+1.5-,-,1.96,104.5,1.845,1.96,99.5,1.845,-,-,-
36,3,Galina Moiseeva,Anna Karpova,1.755,-,2.02,1.85,109.5,1.89,-,-3.5+,-,1.825,56.5,1.92,1.825,54.5,1.92,-,-,-
37,4,Nikolay Shirokov,Artem Kshenin,3.275,-,1.285,1.936,36.5,1.79,-,+3.5-,-,-,-,-,-,-,-,-,-,-
38,5,Nikita Kukarin,Kirill Nazarov,1.664,-,2.16,1.895,117.5,1.848,-,-5.5+,-,1.85,61.5,1.89,1.85,57.5,1.89,-,-,-
39,6,Ruslan Samerhanov,Stanislav Oshkin,2.07,-,1.725,1.875,118.5,1.865,-,+1.5-,-,1.86,59.5,1.88,1.86,60.5,1.88,-,-,-
40,7,Impuls,Fakel,1.14,-,5.75,2.032,193.5,1.784,-,-1.5+,-,2.032,97.5,1.784,2.032,96.5,1.784,-,-,-
41,8,Dmitriy Zaharkin,Aleksandr Kuzmichev,-,-,-,1.896,19.5,1.825,-,-4.5+,-,-,-,-,-,-,-,-,-,-
42,9,Infiniti,Freedom,3.57,-,1.296,1.9,185.5,1.9,-,+7.5-,-,1.84,91.5,1.96,1.84,95.5,1.96,-,-,-
43,10,Andrey Kondrashkin,Dmitri Popov S.,2.26,-,1.61,1.88,110.5,1.86,-,+3.5-,-,1.88,54.5,1.86,1.88,56.5,1.86,-,-,-
44,11,Anna Derzkova,Julia Filatova,3.16,-,1.32,1.89,108.5,1.85,-,+7.5-,-,1.875,52.5,1.864,1.875,56.5,1.864,-,-,-
45,12,Russia (Kung),Sweden (Kung),1.17,-,4.23,1.84,97.5,1.82,-,-3.5+,-,1.856,45.5,1.805,1.856,48.5,1.805,-,-,-
46,13,France (Kung),Germany (Kung),-,-,-,1.83,73.5,1.83,-,+10.5-,-,5.86,31.5,1.085,5.86,42.5,1.085,-,-,-
47,14,Alexander Kremnev,Alexey Kremnev,1.12,-,5.19,-,-,-,-,-4.5+,-,-,-,-,-,-,-,-,-,-
48,15,Yellow Brocks,Green Snakes,1.64,-,2.26,1.9,185.5,1.9,-,-0.5+,-,2.06,93.5,1.765,2.06,95.5,1.765,-,-,-
49,16,Ruslan Lavrentiev,Vadim Raitsov,6.01,-,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,17,Semen Sharlay,Yuriy Maksimenko,1.304,-,3.395,1.98,23.5,1.77,-,-3.5+,-,-,-,-,-,-,-,-,-,-
51,18,Sirius,Hermes,3.18,-,1.355,1.89,180.5,1.91,-,+11.5-,-,1.92,85.5,1.88,1.92,95.5,1.88,-,-,-
