,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
290,0,Rubin Kazan,Lokomotiv Moscow,,,,,,,2.5,1.12,-2.5,6.2,2.5,4.4,1.2,6.0
291,1,Рубин-Локомо. Ignatiev I,Smolov F,,,,,,,,,,,,,,
292,2,Dundee Utd,Hibernian,,,1.05,9.5,,,1.5,1.07,-1.5,7.5,1.5,4.8,1.16,6.0
293,3,Schwarz-Weiss Spandau,Teutonia 1899,,,1.02,13.0,,,2.5,1.4,-2.5,2.65,4.5,1.55,2.25,
294,4,Sparta Bilk,Turu 1880 Dusseldorf,7.2,2.55,1.8,1.9,1.45,1.06,1.5,1.2,-1.5,3.95,3.5,2.55,1.45,95.0
295,5,Balma,Bergerac,1.15,5.3,41.0,,1.12,4.7,-1.5,4.2,1.5,1.18,3.5,2.25,1.58,6.0
296,6,Borgfeld,Verden 04,5.1,3.3,1.72,2.0,1.3,1.13,1.5,1.3,-1.5,3.25,7.5,1.55,2.3,29.0
297,7,SVU Steirerfl. Wolfsberg,Flavia Solva,45.0,10.5,1.05,7.8,1.01,,1.5,2.95,-1.5,1.35,7.5,2.7,1.4,22.0
298,8,Trivieres,RUS Binche,7.1,4.05,1.45,2.55,1.2,1.06,1.5,1.25,-1.5,3.45,6.5,2.4,1.5,79.0
299,9,Bad Vilbel,Dortelweil,1.02,,,,,14.0,-2.5,1.88,2.5,1.82,5.5,2.13,1.64,13.0
300,10,GVVV,VVOG Harderwijk,1.3,4.5,10.0,1.02,1.16,3.2,-1.5,1.95,1.5,1.75,2.5,2.25,1.55,137.0
301,11,Barendrecht,Excelsior Maassluis,3.4,3.05,2.25,1.6,1.35,1.3,1.5,1.19,-1.5,4.4,3.5,1.55,2.4,105.0
302,12,SV Spakenburg,DHSC Utrecht,,,,,,,-3.5,2.0,3.5,1.72,4.5,2.0,1.72,31.0
303,13,Ijsselmeervogels,USV Hercules,2.02,3.6,3.25,1.3,1.25,1.7,-1.5,3.6,1.5,1.25,3.5,1.92,1.78,15.0
304,14,Alfter,GKSC Hurth,1.03,,,,,10.5,-2.5,1.7,2.5,2.02,3.5,1.65,2.1,14.0
305,15,TEC Tiel,Den Bosch,2.05,3.05,4.0,1.22,1.35,1.73,-1.5,4.9,1.5,1.16,2.5,1.7,2.08,118.0
306,16,SV Hall,Worgl,,,,,,,,,,,,,,
307,17,Telfs,Kitzbuhel,2.5,3.0,2.9,1.35,1.35,1.47,-1.5,5.3,1.5,1.12,1.5,1.72,2.0,151.0
308,18,Siroki Brijeg,Velez Mostar,,,,,,,,,,,,,,
309,19,Beitar Jerusalem,Hapoel Tel Aviv,1.7,2.55,10.5,1.01,1.45,2.02,-1.5,3.85,1.5,1.22,1.5,2.5,1.47,125.0
310,20,Cork City,Longford Town,2.13,3.15,3.4,1.27,1.3,1.65,-1.5,4.15,1.5,1.19,2.5,2.35,1.52,208.0
311,21,Dundalk,Waterford United,1.5,3.75,6.9,1.07,1.23,2.4,-1.5,2.45,1.5,1.48,2.5,2.05,1.68,204.0
312,22,Kfum Oslo,Lillestrom,,,,,,,,,,,3.5,7.0,1.08,
313,23,Tsentavr,Ssh-4 Legion,2.2,4.7,2.4,1.5,1.15,1.6,0.0,1.8,0.0,1.9,4.5,2.0,1.72,7.0
314,24,Voronezh-oil,PSG Voronezh,,,,,,,-3.5,2.25,3.5,1.57,6.5,2.77,1.39,
315,25,Slovan Bratislava,Zemplin Michalovce,1.05,11.5,64.0,,1.02,9.0,-2.5,2.25,2.5,1.6,2.5,1.55,2.35,100.0
316,26,Sazan,Lider Dnepr,,,,,,,3.5,1.63,-3.5,2.15,4.5,1.5,2.4,
317,27,KI Klaksvik,Fuglafjordur,,,,,,,-6.5,2.35,6.5,1.52,6.5,1.8,1.9,10.0
318,28,Vinbergs,Varbergs GIF,,,,,,,,,,,,,,
319,29,Tallinna FC Pocarr,Re United,1.25,5.1,12.5,,1.13,3.55,-1.5,2.0,1.5,1.72,2.5,1.65,2.1,9.0
320,30,U.S. Monastir,Hammam-Lif,1.12,7.4,18.0,,1.06,5.3,-1.5,1.78,1.5,1.92,4.5,2.35,1.53,81.0
321,31,Zhukov (RUB) Liverpool,Kostin (NFC) Chelsea,,,,,,,,,,,,,,
322,32,Tottenham (BlackStar98),Man.United (FEARGGWP),,,,,,,,,,,,,,
323,33,Man. City (Chellovekk),Arsenal L (Flewless_ph.),6.4,1.3,6.3,1.08,3.2,1.08,0.0,1.85,0.0,1.85,0.5,2.95,1.35,
324,34,Espanyol (Thunder),Athletic Bilbao (Leo),2.45,3.25,2.75,1.4,1.3,1.48,-1.5,4.2,1.5,1.19,5.5,2.0,1.72,
325,35,Real Sociedad (Zayn),Sevilla (Raiden),,,1.02,15.0,,,2.5,2.05,-2.5,1.68,3.5,1.9,1.8,7.0
326,36,UDINESE CALCIO (KISER),UC SAMPDORIA (UNKNOWN),1.09,,,,,6.2,-1.5,5.8,1.5,1.1,3.5,3.25,1.3,4.0
327,37,ATALANTA (INDRA13_27),JUVENTUS (STDM),,,,,,,-3.5,4.3,3.5,1.18,5.5,2.3,1.55,4.0
