0,Voluntari,Gaz Metan,2.71,2.02,5.18,1.16,1.784,1.456,2.296,3,1.65,1.5,0,2.65,1.9,1.5,1.86,3.03,1.5,1.36,,,,,
1,Jagiellonia Bialystok,Wisla Krakow,2.04,3.26,3.84,1.256,1.336,1.768,2.205,2.5,1.7,1.536,0,2.555,2.26,1.5,1.61,2.11,1,1.69,,,,,
2,Mamelodi Sundowns,Lamontville Golden Arrows,1.68,3.23,6.05,1.11,1.32,2.115,2.05,2,1.77,2.37,-1+,1.59,2.21,1.5,1.64,2.06,0.5,1.73,,,,,
3,Juventud de Las Piedras,Racing Club de Montevideo,1.02,19,26,-,-,11.1,1.685,4,2.18,2.47,-3+,1.54,2.34,3.5,1.57,1.76,0.5,2.02,,,,,
4,Daniil Medvedev(3),Marcos Giron(Q),1.008,-,20,,,,2.04,19.5,1.81,1.81,-4.5+,2.04,8.23,12.5,1.06,1.91,7.5,1.86,-,-,-,,
5,Milos Raonic,Daniel Evans,1.22,-,4.5,,,,1.715,22,2.175,1.71,-4+,2.19,2.51,13.5,1.5,2.29,9.5,1.6,-,-,-,,
6,Tennys Sandgren(WC),Felix Auger Aliassime(15),3.064,-,1.4,,,,1.88,26,1.96,1.864,+2.5-,1.975,1.75,12.5,2.03,1.83,13.5,1.94,-,-,-,,
7,Taylor Harry Fritz,Aljaz Bedene(Q),2.115,-,1.755,,,,1.92,31.5,1.92,1.87,-1.5+,1.97,1.83,17.5,1.94,1.94,14.5,1.83,-,-,-,,
8,Pavic/Soares,Kubot/Melo(2),3.57,-,1.31,,,,1.72,24,2.17,2.07,+1.5-,1.79,2.62,12.5,1.47,3.01,13.5,1.37,-,-,-,,
9,Tom Jarvis,Dauud Cheaib,3.82,-,1.26,,,,1.95,81.5,1.85,1.95,+6.5-,1.85,1.85,36.5,1.91,1.93,40.5,1.83,-,-,-,,
10,Kariana Erden,Ludogorets II,1.25,5.19,12.7,1.016,1.144,3.71,1.792,4,2.02,1.64,-1+,2.26,3.59,3,1.27,2.25,1.5,1.62,,,,,
11,Amanda Anisimova,Jessica Pegula(LL),11,-,1.048,,,,1.864,20.5,1.975,1.864,+5.5-,1.975,1.83,7.5,1.94,5.46,13.5,1.14,-,-,-,,
12,Christina McHale(Q),Ekaterina Alexandrova,1.68,-,2.24,,,,1.79,27.5,2.07,1.68,-5.5+,2.23,1.88,14.5,1.88,1.83,11.5,1.94,-,-,-,,
13,Kristina Mladenovic,Elise Mertens(14),3.89,-,1.27,,,,2.07,20.5,1.79,1.975,+4.5-,1.864,1.83,8.5,1.94,2.12,12.5,1.69,-,-,-,,
14,Marie Bouzkova,Petra Kvitova(6),5.28,-,1.17,,,,1.92,20.5,1.92,2.41,+5.5-,1.56,1.88,7.5,1.88,1.63,12.5,2.22,-,-,-,,
15,Kuzmova/Swiatek,Muhammad/Townsend,2.06,-,1.8,,,,1.92,19.5,1.92,1.92,+0.5-,1.92,2.03,10.5,1.75,1.83,10.5,1.94,-,-,-,,
16,Imatran Kettera,Dinamo Riga,4.82,4.92,1.584,2.45,1.2,1.208,1.83,6,1.87,1.76,+1.5-,2.11,2.16,2.5,1.7,,,,-,-,,-,
17,Elva,Levadia II,1.02,17,29,-,-,10.8,1.91,4,1.89,2.11,-3+,1.73,1.99,3.5,1.78,1.98,0.5,1.79,,,,,
18,Tammeka Tartu II,Flora Tallinn II,1.53,4.56,5.07,1.15,1.18,2.415,2.045,4,1.775,1.77,-1+,2.05,2.03,2.5,1.75,2.09,1.5,1.71,,,,,
19,Ettifaq Dammam,Al-Raed,1.13,8.41,17.9,-,1.07,5.75,2.07,4,1.79,2.13,-2+,1.75,2.24,3,1.62,1.87,1,1.89,,,,,
20,Al Shabab Riyadh,Abha,1.22,6.48,11.9,1.03,1.11,4.21,1.784,3.5,2.075,1.77,-1.5+,2.1,1.77,2.5,2,1.56,0.5,2.37,,,,,
21,Trayal,Loznica,1.33,4.58,10,1.035,1.18,3.16,2.24,2,1.65,1.9,-1+,1.9,2.4,1.5,1.55,2.22,0.5,1.63,,,,,
22,Inigo Cervantes Huegun,Daniil Glinka,1.03,-,11.8,,,,1.7,18,2.15,2.04,-6+,1.78,2.88,12.5,1.36,2.14,6.5,1.63,-,-,-,,
23,Michael Geerts,Quentin Folliot,1.18,-,4.94,,,,1.84,22.5,1.97,1.71,-3.5+,2.14,1.59,12.5,2.21,1.79,9.5,1.92,-,-,-,,
24,Neman,Lida,-,10,17,-,-,17,1.95,6.5,1.85,1.83,-4.5+,1.97,1.88,5.5,1.88,,,,-,-,,-,
25,Dinamo-Maladzyechna,Pinskie Yastreby,1.27,6.41,7.84,1.064,1.1,3.55,1.95,4.5,1.85,1.87,-2+,1.83,2.09,3.5,1.71,,,,-,-,,-,
26,Skoda Plzen,Verva Litvinov,3.89,3.49,1.9,1.85,1.285,1.235,1.81,5.5,2,1.544,+1-,2.304,2.01,2.5,1.77,,,,-,-,,-,
27,PSG Zlin,Dynamo Pardubice,2.49,3.78,2.49,1.504,1.25,1.504,1.75,5.5,2.08,1.89,0,1.91,2.19,3,1.605,,,,-,-,,-,
28,Bili Tygri Liberec,Sparta Praha,1.57,5.06,4.27,1.205,1.15,2.325,1.92,5.5,1.88,1.744,-1+,1.97,2.11,3.5,1.7,,,,-,-,,-,
29,Hradec Kralove,Ocelari Trinec,3.78,4.93,1.66,2.15,1.16,1.25,1.91,8,1.79,1.825,+1-,1.87,1.96,3.5,1.8,,,,-,-,,-,
30,Slovakia U19 (Women),Belarus U19 (Women),2.82,-,1.43,,,,1.82,185.5,1.99,1.83,+6.5-,1.97,1.75,92.5,2.03,1.83,95.5,1.93,-,-,-,,
31,Croatia U19 (Women),Turkey U19 (Women),-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
32,Cercle Brugge II,RWD Molenbeek II,1.27,5.92,8.61,1.056,1.115,3.54,1.985,3.5,1.82,1.81,-1.5+,2,1.86,2.5,1.9,1.58,0.5,2.32,,,,,
33,Montana,Etar 1924 Veliko Tarnovo,1.85,3.03,5.04,1.152,1.36,1.9,2.136,2,1.71,2.77,-1+,1.45,1.68,1,2.14,1.93,0.5,1.83,,,,,
34,Gazisehir Gaziantep,Eskisehirspor,-,-,-,-,-,-,3.304,5.5,1.335,1.33,-5+,3.32,4.15,5.5,1.22,9.44,0.5,1.04,,,,,
35,Den Bosch,AZ Alkmaar II,1.5,3.74,7.48,1.075,1.255,2.5,2.24,4.5,1.65,2.29,-1+,1.62,1.96,2.5,1.8,1.66,1.5,2.16,,,,,
36,Nea Salamis,AEK Larnaca,3.26,2.63,2.61,1.464,1.456,1.315,1.736,1.5,2.1,2.15,0,1.7,1.68,0.5,2.14,2.24,1,1.62,,,,,
37,Nomme Kalju II,Tallinna Kalev II,11.4,6.8,1.2,4.27,1.09,1.025,2.035,4,1.78,1.75,+2.5-,2.08,1.74,0.5,2.04,1.86,3,1.9,,,,,
38,Kuressaare II,Viimsi II,1.14,9.68,11.5,1.02,1.04,5.27,1.965,5.5,1.84,1.98,-2.5+,1.83,2.04,4,1.74,1.96,1.5,1.81,,,,,
39,JK Poseidon Nirvaana Parnu,Pohja Sakala,10.7,8.92,1.16,4.88,1.05,1.03,1.89,4.5,1.91,1.95,+2.5-,1.85,1.93,1,1.83,2.03,3.5,1.75,,,,,
40,Kose,Viljandi Tulevik II,2.78,4.38,2.07,1.75,1.22,1.4,2.11,3.5,1.725,2.31,0,1.61,1.99,1.5,1.78,1.69,1.5,2.12,,,,,
41,Start II U19,Arendal U19,1.65,3.99,4.74,1.17,1.225,2.17,1.67,2,2.2,1.98,-1+,1.82,1.86,1.5,1.9,1.88,0.5,1.88,,,,,
42,Grorud,KFUM,3.22,3.27,2.21,1.63,1.315,1.325,2.05,2.5,1.77,2.32,0,1.61,2.03,1,1.75,2.31,1.5,1.58,,,,,
43,Ranheim,Strommen,1.08,10.1,23,-,1.035,7.07,2.152,4.5,1.7,1.9,-2.5+,1.9,2,3.5,1.77,1.58,0.5,2.33,,,,,
44,Raufoss,Ullensaker Kisa,1.71,3.96,4.29,1.2,1.23,2.07,1.825,3,1.98,2.22,-1+,1.66,2.05,2,1.74,1.77,1,2,,,,,
45,Sandnes Ulf,HamKam,2.11,3.77,3.02,1.36,1.25,1.688,1.825,3,1.98,1.64,0,2.27,1.82,1.5,1.95,2.16,1.5,1.67,,,,,
