31,Staines Town,Aldershot Town,8.15,4.07,1.43,2.72,1.22,1.06,1.75,2,2.075,2.09,+1-,1.74,2.22,0.5,1.63,1.83,1.5,1.94,,,
32,Thackley,Guiseley,6.97,3.49,1.56,2.34,1.28,1.085,2.08,2,1.75,1.72,+1-,2.12,2.22,0.5,1.63,2.12,1.5,1.69,,,
33,Totton,Eastleigh,18.5,8.72,1.11,5.96,1.05,-,1.775,5,2.04,1.76,+2-,2.06,2.06,1.5,1.73,1.92,3.5,1.85,,,
34,Fortuna Heddesheim,Dudenhofen,1.94,3.48,3.73,1.255,1.285,1.81,1.825,3,1.98,1.46,0,2.7,1.77,1.5,2.01,2.21,1.5,1.64,,,
35,Hertha BSC,PSV Eindhoven,2.09,3.81,3.05,1.355,1.245,1.7,1.94,3,1.86,1.59,0,2.37,1.82,1.5,1.95,2.31,1.5,1.58,,,
36,Samsunspor,Trabzonspor,3.89,4.66,1.67,2.13,1.175,1.235,1.72,3,2.12,1.64,+1-,2.27,1.62,1,2.24,2.02,2,1.76,,,
37,ADO Den Haag,AZ Alkmaar,5.38,3.29,1.73,2.048,1.312,1.136,1.88,3,1.92,1.8,+1-,2.01,2,1,1.78,2.01,2,1.77,,,
38,K.R.C. Gent-Zeehaven,Royal Knokke,3.05,3.81,2.09,1.7,1.245,1.355,2.08,3.5,1.75,2.32,0,1.61,1.97,1.5,1.8,1.71,1.5,2.09,,,
39,AmaZulu,Black Leopards,1.15,6.02,27,-,1.112,5.75,2.24,1.5,1.65,1.72,-1+,2.12,3.49,1.5,1.29,4,0.5,1.23,,,
40,Murray/Skupski,De Minaur/Carreno Busta,1.58,-,2.45,,,,1.92,20.5,1.92,1.864,-1.5+,1.975,1.69,11.5,2.12,1.69,9.5,2.12,-,-,-
41,Hugo Gaston,Andrea Pellegrino(Q),1.16,-,5.3,,,,1.97,25.5,1.83,1.61,-2.5+,2.31,1.81,13.5,1.89,1.84,11.5,1.86,-,-,-
42,David Poljak(Q),Borna Gojo(Q),2.1,-,1.74,,,,1.82,29,1.99,1.95,+1-,1.85,1.99,14.5,1.73,1.49,15.5,2.44,-,-,-
43,Sebastian Ofner(Q),Vit Kopriva(Q),1.56,-,2.42,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Lokomotiv Gomel,Slutsk,37,19,-,-,-,-,1.832,2.5,1.97,1.46,+2.5-,2.73,3.77,0.5,1.25,2.4,2.5,1.55,,,
45,Granit Mikashevichi,BATE Borisov,39,16.3,1.02,-,-,-,2.11,3.5,1.725,1.75,+3-,2.08,3.55,0.5,1.28,1.78,3,1.99,,,
46,Volna Pinsk,Slavia-Mozyr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
47,Esporte Clube Juventude,Botafogo Ribeirao Preto,3.13,2.32,3.13,1.34,1.575,1.34,1.656,1,2.23,1.9,0,1.9,1.87,0.5,1.89,1.87,0.5,1.89,,,
48,Sportist Svoge,Kariana Erden,2.31,3.62,2.77,1.416,1.264,1.575,1.81,2.5,2,1.77,0,2.05,2.14,1.5,1.68,1.61,1,2.26,,,
49,Hebar Pazardzhik,Septemvri Sofia,1.96,4.02,3.22,1.325,1.225,1.795,2.045,3,1.775,1.56,0,2.42,1.83,1.5,1.93,1.64,1,2.19,,,
