,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
52,0,Basel,Eintracht Frankfurt,3.78,3.64,1.99,1.875,1.32,1.3,2.136,2.5,1.744,2.77,0,1.47,1.89,1,1.91,1.89,1.5,1.91
53,1,Wolverhampton Wanderers,Olympiacos,1.26,5.2,17,1.025,1.19,4.07,1.83,2.5,2.016,1.995,-1.5+,1.85,1.84,2,1.97,1.84,0.5,1.97
54,2,Minnesota Twins,Pittsburgh Pirates,1.15,-,5.79,-,-,-,1.88,10.5,1.96,2.14,-2.5+,1.74,1.82,6.5,1.95,1.82,3.5,1.95
55,3,San Francisco Giants,Colorado Rockies,2.496,-,1.56,-,-,-,1.96,11.5,1.88,1.88,+1.5-,1.96,2.04,4.5,1.75,2.04,6.5,1.75
56,4,Texas Rangers,Oakland Athletics,2.55,-,1.54,-,-,-,1.85,8.5,2,1.85,+1.5-,2,1.81,3.5,1.95,1.81,4.5,1.95
57,5,Zamalek,Al-Masry,1.18,5.57,23,-,1.13,4.52,1.965,1.5,1.84,1.57,-1+,2.41,3.49,1.5,1.29,3.49,0.5,1.29
58,6,Lundby IF,Goteborg FF,-,-,-,-,-,-,1.79,8,2.03,1.85,-3+,1.96,2.05,5.5,1.74,2.05,2.5,1.74
59,7,Vikingur Gota,Havnar Boltfelag,30,8.33,1.09,9.46,1.048,-,2.24,3.5,1.65,1.37,+1.5-,3.08,3.13,1.5,1.34,3.13,2.5,1.34
60,8,EB Streymur,KI Klaksvik,-,-,-,-,-,-,2.05,6.5,1.77,1.49,+6.5-,2.62,2.43,0.5,1.53,2.43,6.5,1.53
61,9,St John Bosco,Templeogue United,25,5.42,1.18,4.48,1.136,-,2.5,3.5,1.535,1.83,+1-,1.98,4.02,1.5,1.23,4.02,2.5,1.23
62,10,St. Mochta's,Home Farm,1.01,24,27,-,-,-,1.73,6,2.11,1.83,-4+,1.98,1.94,5,1.83,1.94,1,1.83
63,11,Usher Celtic,Rush Athletic,2.54,3.15,2.79,1.415,1.336,1.488,1.94,2,1.86,1.83,0,1.98,2.12,1,1.69,2.12,1,1.69
64,12,St. Francis,Corduff,1.6,4.58,4.41,1.19,1.18,2.26,1.92,5,1.88,2.03,-1+,1.78,1.99,3,1.78,1.99,2,1.78
65,13,Ajax+,Zenit+,2.24,6,2.136,1.63,1.095,1.575,1.995,9,1.81,1.945,0,1.856,2.005,4.5,1.808,2.005,4.5,1.808
66,14,Liverpool+,Juventus+,2.3,6.5,2.03,-,-,-,1.895,8,1.904,2.03,0,1.784,1.875,4,1.925,1.875,4,1.925
67,15,Atletico (4х4),Tottenham (4х4),2.205,5.75,2.205,1.592,1.1,1.592,1.97,8.5,1.832,1.9,0,1.9,1.775,4,2.04,1.775,4,2.04
68,16,Wolfsburg (Amateur),Hertha (Amateur),2.216,5.61,2.216,1.59,1.105,1.59,1.865,6,1.936,1.9,0,1.9,2.17,3,1.69,2.17,3,1.69
69,17,Brazil (3x3),Holland (3x3),2.035,10,2.035,1.696,1.016,1.696,1.845,26,1.896,1.87,0,1.87,1.89,13,1.85,1.89,13,1.85
70,18,Fortuna (Amateur),Harlem (Amateur),4.11,6.86,1.44,2.57,1.07,1.19,1.775,7,2.045,1.984,+1.5-,1.82,2.12,2.5,1.72,2.12,4.5,1.72
71,19,Shakery,Kambrijcy,4.64,8.12,1.344,2.95,1.045,1.155,1.888,10,1.912,1.815,+2-,1.995,2.035,4,1.78,2.035,6,1.78
72,20,DES,ENGIN,2.96,4.78,1.875,1.825,1.145,1.344,1.73,4,2.105,2.456,0,1.55,1.99,2,1.82,1.99,2.5,1.82
73,21,Belarus (3х3),Russia (3x3),2.955,7.05,1.664,2.085,1.064,1.344,1.815,19.5,1.93,1.816,+1-,1.93,1.715,9.5,2.06,1.715,10,2.06
74,22,Belgium (TSL),Portugal (TSL),2.045,8.91,2.045,1.705,1.01,1.705,1.975,24,1.83,1.9,0,1.9,1.992,12,1.815,1.992,12,1.815
75,23,Argentina (TSL) Women,Germany (TSL) Women,1.864,8.48,2.34,1.54,1.025,1.86,1.975,17.5,1.83,2.12,-1+,1.72,2.005,9,1.808,2.005,8.5,1.808
