0,Sochi,Rubin,4.06,1.76,4.38,1.24,2.136,1.27,1.88,2.5,1.96,1.87,0,1.97,3.06,1.5,1.38,3.06,1.5,1.38,,,,,
1,Tambov,Khimki,1.496,4.1,7.7,1.11,1.265,2.71,1.9,2.5,1.94,2.152,-1+,1.73,2.31,2,1.62,2.19,1,1.68,,,,,
2,Qarabag,Sileks,1.03,15,31,1.005,1.04,10.6,2.232,3,1.68,2.195,-2.5+,1.704,1.84,2.5,1.97,3.91,0.5,1.26,,,,,
3,RoPS,Inter Turku,7.99,2.75,1.72,2.056,1.425,1.064,2.152,1.5,1.7,1.44,+1-,2.78,2.9,0.5,1.39,1.92,1,1.85,,,,,
4,Haka,HJK,8.51,3.16,1.57,2.32,1.335,1.056,1.77,1.5,2.05,1.71,+1-,2.13,2.56,0.5,1.48,2.34,1.5,1.57,,,,,
5,Arthur De Greef,Yannick Maden(10),9.55,-,1.05,,,,1.81,18,2,1.86,+6-,1.94,2.16,6.5,1.62,3.44,12.5,1.26,-,-,-,,
6,Martin Klizan(12),Elias Ymer,5.3,-,1.16,,,,1.96,20.5,1.85,1.77,+5.5-,2.05,1.91,7.5,1.8,2,12.5,1.72,-,-,-,,
7,Arends/Pel,Lehecka/Machac,3.8,-,1.27,,,,1.9,22.5,1.9,2.03,+3.5-,1.78,1.76,9.5,1.95,3.76,13.5,1.23,-,-,-,,
8,Francesco Forti,Lorenzo Musetti,5.3,-,1.16,,,,1.85,19.5,1.96,1.85,+5.5-,1.96,1.85,7.5,1.85,2.09,12.5,1.66,-,-,-,,
9,Hugo Gaston,Facundo Bagnis(5),2.82,-,1.43,,,,1.85,20.5,1.96,2.05,+3.5-,1.77,1.85,10.5,1.85,2,12.5,1.72,-,-,-,,
10,Orlando Pirates,Baroka,1.22,5.7,13.5,1.01,1.125,4.02,2.152,2.5,1.7,2.17,-1.5+,1.69,1.56,1.5,2.37,2.21,0.5,1.64,,,,,
11,Albion Montevideo,Club Atletico Atenas,4.45,1.71,3.85,1.24,2.075,1.19,1.832,2.5,1.97,2.01,0,1.8,3.28,1.5,1.32,3.13,1.5,1.34,,,,,
12,Vítkovice Ridera,PSG Zlin,1.27,5.84,8.99,1.05,1.12,3.56,2.01,6.5,1.8,1.7,-1.5+,2.16,1.9,4,1.81,,,,-,-,,-,
13,Verva Litvinov,Bili Tygri Liberec,1.78,4.13,3.76,1.25,1.216,1.98,1.66,6,2.09,2.256,-1+,1.568,2.09,3.5,1.71,,,,-,-,,-,
14,Ceske Budejovice,Sparta Praha,4.15,5.11,1.58,2.3,1.15,1.21,1.72,7,2,1.992,+1-,1.725,1.98,3,1.74,,,,-,-,,-,
15,Dynamo Pardubice,Kometa Brno,2.29,3.94,2.64,1.456,1.23,1.59,2.09,3.5,1.74,1.8,0,2.01,1.76,1.5,2.02,,,,-,-,,-,
16,Rytiri Kladno,Skoda Plzen,11.3,8.72,1.15,4.96,1.05,1.025,1.77,7.5,2.05,2.05,+2.5-,1.77,1.98,2.5,1.79,,,,-,-,,-,
17,VHK Vsetín,Koprivnice,1.3,6.49,6.9,1.088,1.096,3.355,1.792,4.5,2.02,1.936,-2+,1.77,2.09,3.5,1.71,,,,-,-,,-,
18,Zvolen,Bratislava,1.62,4.97,3.96,1.23,1.155,2.22,1.984,6,1.73,1.975,-1+,1.74,2.09,3.5,1.71,,,,-,-,,-,
19,Litomerice,Slavia Praha,1.51,4.84,4.94,1.16,1.165,2.46,1.755,5,1.952,2.03,-1.5+,1.78,1.65,3,2.105,,,,-,-,,-,
20,58 Sanok,KS Cracovia,11.6,5.25,1.26,3.63,1.144,1.02,1.81,3.5,2,1.75,+2.5-,2.08,1.77,0.5,1.93,,,,-,-,,-,
