0,Acacia Ridge (r),Taringa Rovers (r),3.60,3.00,2.15,1.62,1.35,1.25,0,2.40,0,1.50,1.5,1.55,2.30,
1,Grange Thistle (r),Bayside United (r),,,1.13,5.20,,,+1.5,2.45,-1.5,1.48,3.5,1.60,2.20,
2,Armadale U20,Perth Glory U20,,,1.02,15.00,,,+3.5,1.85,-3.5,1.85,6.5,1.63,2.13,+32
3,Balcatta U20,Inglewood United U20,6.00,5.20,1.38,2.80,1.13,1.09,+1.5,1.50,-1.5,2.40,5.5,2.08,1.67,+100
4,ECU Joondalup U20,Perth U20,38.00,11.00,1.05,7.80,1.01,,+2.5,1.78,-2.5,1.92,3.5,1.53,2.35,+103
5,Gwelup Croatia U20,Basewater City U20,1.37,4.60,7.30,1.06,1.16,2.85,-1.5,2.40,+1.5,1.50,2.5,1.65,2.10,+117
6,Peninsula Power U20,Capalaba U20,1.35,4.30,9.00,1.03,1.18,2.95,-1.5,2.20,+1.5,1.58,2.5,2.30,1.55,+62
7,Cumberland United (r),Campbelltown City (r),3.30,3.70,1.98,1.72,1.23,1.30,0,2.40,0,1.50,2.5,1.82,1.88,+7
8,Monaro Panthers U23,Gungahlin United U23,2.25,3.25,3.00,1.35,1.30,1.57,-1.5,4.00,+1.5,1.20,4.5,2.15,1.63,+141
9,Floreat Athena U20,Sorrento U20,1.83,3.10,4.70,1.15,1.32,1.87,-1.5,3.30,+1.5,1.30,3.5,1.50,2.40,+82
10,Rockingham City U20,Cockburn City U20,,,,,,,+3.5,2.12,-3.5,1.64,4.5,1.67,2.08,+72
11,Northern Tigers,Raiders,1.27,5.10,10.00,1.02,1.13,3.40,-1.5,2.20,+1.5,1.60,2.5,1.70,2.02,+117
12,Beachside,Taroona,,,1.02,13.00,,,+1.5,3.60,-1.5,1.25,2.5,2.30,1.55,+8
13,Nerang,Southport,1.60,3.95,5.00,1.13,1.20,2.20,-1.5,3.05,+1.5,1.33,4.5,1.50,2.40,+100
14,Belconnen United,Cooma Tigers,1.30,4.70,10.00,1.02,1.15,3.20,-1.5,2.35,+1.5,1.53,2.5,1.80,1.90,+115
15,Adelaide Victory,Western Strikers,1.47,5.00,4.90,1.14,1.13,2.50,-1.5,2.35,+1.5,1.53,5.5,1.53,2.35,+147
16,Seaford Rangers,Vipers,2.35,3.45,2.70,1.40,1.25,1.53,-1.5,4.10,+1.5,1.19,2.5,1.77,1.93,+206
17,Sturt Lions,West Adelaida,7.80,6.40,1.25,3.55,1.08,1.05,+1.5,1.95,-1.5,1.75,4.5,1.95,1.75,+137
18,White City,South Adelaide,2.20,3.75,2.80,1.38,1.23,1.60,-1.5,4.30,+1.5,1.18,2.5,2.05,1.68,+192
19,Kingborough Lions,Devenport City,1.27,4.20,18.00,,1.19,3.40,-1.5,6.10,+1.5,1.09,1.5,2.15,1.62,+10
20,Toronto Awaba Stags,Cooks Hill United,1.14,7.50,14.00,,1.06,4.90,-1.5,1.50,+1.5,2.40,3.5,1.70,2.02,+58
21,Thornton Redbacks,Kahibah,8.00,6.50,1.25,3.55,1.08,1.05,+1.5,2.10,-1.5,1.65,5.5,1.95,1.75,+2
22,Olimpia Warriors (R),South Hobart (r),,,,,,,,,,,,,,
23,Adelaide City,Adelaide-2 United,1.17,6.60,13.00,,1.08,4.40,-1.5,1.62,+1.5,2.15,3.5,1.95,1.75,+158
24,Adelaide Comets,Adelaide Blue Eagles,1.98,3.40,3.55,1.25,1.27,1.72,-1.5,4.05,+1.5,1.20,2.5,2.30,1.55,+196
25,Modbury,Croydon Kings,35.00,12.50,1.04,8.50,,,+2.5,2.15,-2.5,1.62,4.5,1.95,1.75,+127
26,Metrostars,Para Hills Knights,2.65,3.65,2.35,1.53,1.25,1.42,-1.5,4.70,+1.5,1.15,3.5,1.88,1.82,+164
27,Ashfield (r),Quinns (r),5.50,4.80,1.45,2.55,1.15,1.11,+1.5,1.47,-1.5,2.50,2.5,1.48,2.45,+2
28,Stirling Lions (r),UWA (r),7.30,4.00,1.45,2.55,1.20,1.06,+1.5,1.50,-1.5,2.40,2.5,2.30,1.55,+9
29,Forrestfield Un (r),Western Knights (r),,,1.16,4.60,,,+1.5,2.20,-1.5,1.60,3.5,2.02,1.70,+7
30,Logan Lightning U20,Western Pride U20,3.20,3.15,2.20,1.60,1.30,1.30,+1.5,1.23,-1.5,3.70,4.5,2.12,1.64,+109
31,Fremantle City U20,Swan United U20,1.16,6.50,15.00,,1.08,4.60,-1.5,1.70,+1.5,2.02,2.5,1.57,2.25,+111
32,Khovd,BCH Lions,4.30,3.25,1.85,1.85,1.30,1.18,+1.5,1.28,-1.5,3.35,3.5,1.50,2.40,+108
33,Southern Utd,Henderson Eels,,,,,,,+6.5,2.20,-6.5,1.60,7.5,1.67,2.07,+33
34,Dynamo K (Bombi1t0),Shakhtar D (Plevis),,,1.55,2.30,,,+1.5,1.27,-1.5,3.40,2.5,2.00,1.72,+48
35,Lokomotiv M (JKey),CSKA M (Kodak),3.30,2.25,2.95,1.35,1.57,1.30,+1.5,1.06,-1.5,7.50,1.5,2.20,1.60,+67
36,BAYER 04 LEVERKUSEN (Carlwhizzer),Borussia D (Aventon),2.30,4.80,2.30,1.55,1.15,1.55,0,1.85,0,1.85,3.5,1.95,1.75,+7
37,BORUSSIA MONCHENGLADBACH (PRAYM),FC BAYERN MUNICH (Oolanser),6.60,4.10,1.45,2.55,1.19,1.08,+1.5,1.70,-1.5,2.02,3.5,1.60,2.20,+96
38,Moscow Kremlevci,Centrovie Kulturologi,1.13,6.10,60.00,,1.11,5.50,,,,,7.5,2.85,1.40,+10
39,France (Magistr),Germany (ScRate),12.50,2.80,1.55,2.30,1.38,,+1.5,1.08,-1.5,6.50,7.5,1.90,1.80,+6
40,Bankstown,Manly Warringah Sea Eagles,,,,,,,+24.5,1.87,-24.5,1.83,156.5,1.90,1.80,+26
41,Milan (Fosters23),Barcelona (mrPanda),1.06,,7.30,,,,-7.5,1.80,+7.5,1.90,109.5,1.90,1.80,+6
42,Golden State Warriors (JoKeR),Portland Trail Blazers (KAWAI),,,,,,,-10.5,1.76,+10.5,1.94,123.5,1.87,1.83,+6
43,Dallas Mavericks (Shiva),Houston Rockets (88fireburn),1.07,,6.80,,,,-8.5,1.90,+8.5,1.80,126.5,1.92,1.78,+2
44,San Antonio Spurs (bird_033),Phoenix Suns (kirillzagay),,,,,,,,,,,,,,
45,New Taipei Footer,Taichung Thunder,1.24,,3.60,,,,-5.5,1.85,+5.5,1.85,34.5,1.85,1.85,+16
46,Toyoda Gosei,Ryukyu Corazon,1.05,,,,,8.00,-6.5,1.95,+6.5,1.75,60.5,1.95,1.75,+10
47,Toyota Motor East Japan,Toyota Boshoku Kyushu,5.10,9.00,1.29,3.30,1.03,1.13,+3.5,1.83,-3.5,1.87,57.5,1.75,1.95,+10
48,Omron (w),Osaka Lovvits (w),1.04,,,,,8.50,-5.5,1.72,+5.5,2.00,46.5,1.83,1.87,+10
49,Burevestnik (w),Greenland (w),1.85,,1.85,,,,+0.5,1.80,-0.5,1.90,86.5,1.85,1.85,+24
50,Randwick,Eastwood,1.87,20.00,1.85,,,,+1.5,1.72,-1.5,2.00,74.5,1.80,1.90,+18
51,New Zealand Warriors,Newcastle Knights,2.05,15.00,1.83,,,,+1.5,1.83,-1.5,1.98,34.5,1.90,1.90,+20
52,Port Adelaide Power,Sydney Swans,,,,,,,-19.5,1.85,+19.5,1.85,120.5,1.85,1.85,
53,Collingwood Magpies (w),GIANTS Netball (w),2.20,9.00,1.82,,,,+1.5,1.72,-1.5,2.00,121.5,1.80,1.90,+4
54,Wei Chuan Dragons 2,Fubon Guardians 2,,,,,,,0,1.15,0,4.80,13.5,1.85,1.85,+19
55,Fukuoka SoftBank Hawks,Nippon Ham Fighters,,,,,,,0,1.57,0,2.25,5.5,2.13,1.64,+20
56,Orix Buffaloes,Chiba Lotte Marines,,,,,,,0,2.45,0,1.48,7.5,2.02,1.70,+20
57,Yomiuri Giants,Chunichi Dragons,,,,,,,0,1.09,0,6.10,11.5,2.15,1.62,+22
58,Seibu (r),Yakult (r),,,,,,,0,4.50,0,1.16,12.5,1.67,2.08,+22
59,Team Rockets,WOLF,,,,,,,,,,,,,,
