0,Rotor Volgograd,Sochi,3.92,3.07,2.17,1.74,1.41,1.285,1.77,2,2.096,2.56,0,1.536,2.27,1,1.64,1.66,1,2.22,,,
1,CSKA Moscow,Rubin,1.73,3.56,5.4,1.18,1.325,2.18,2.136,2.5,1.744,2.344,-1+,1.625,1.85,1.5,1.96,1.66,0.5,2.23,,,
2,Nikola Vlasic,Ivan Ignatjev,3.41,1.65,5.82,1.12,2.165,1.296,2.01,0.5,1.8,1.54,0,2.47,2.94,0.5,1.38,3.71,0.5,1.26,,,
3,Dundee United,Celtic,11.5,4.24,1.384,3.16,1.255,1.056,1.816,2,2.035,2.195,+1-,1.704,2.45,0.5,1.55,1.79,1.5,2.02,,,
4,Liverpool,VfB Stuttgart,1.03,15,26,1.01,1.04,9.98,2.27,4,1.664,1.79,-2.5+,2.07,1.6,3,2.35,1.85,0.5,1.96,,,
5,PSV Eindhoven,Eintracht Frankfurt,4.32,3.09,1.94,1.81,1.344,1.2,2.24,2,1.65,3.02,0,1.39,1.83,0.5,1.94,1.64,1,2.2,,,
6,Twente,Go Ahead Eagles,1.4,4.34,8,1.064,1.195,2.825,1.77,2.5,2.05,1.78,-1+,2.03,2.4,2,1.54,1.61,0.5,2.26,,,
7,Valencia,Castellon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
8,Oud-Heverlee Leuven,R. Charleroi,18,6.9,1.185,5.06,1.125,1.025,1.92,3,1.92,2.085,+1.5-,1.78,1.83,0.5,1.97,2.23,2.5,1.65,,,
9,Mechelen,Cercle Brugge,1.98,3.15,4.56,1.23,1.395,1.885,2.232,2,1.68,3.07,-1+,1.395,1.69,1,2.16,1.84,0.5,1.97,,,
10,Chaika Peschanokopskoye,Volgar Astrakhan,3.74,2.09,3.09,1.345,1.7,1.25,1.94,1,1.86,2.09,0,1.74,2.31,0.5,1.58,2.06,0.5,1.73,,,
11,Slask Wroclaw,Piast Gliwice,1.01,17,102,-,1.005,14.6,2.205,2.5,1.7,2.16,-2+,1.73,4.2,2.5,1.21,3.38,0.5,1.3,,,
12,Benoit Paire,Borna Coric,2.856,-,1.448,,,,1.87,22.5,1.97,1.975,+3.5-,1.864,1.81,10.5,1.96,1.81,12.5,1.96,-,-,-
13,Kyle Edmund,Kevin Anderson,1.31,-,3.57,,,,1.89,23,1.95,1.92,-4.5+,1.92,1.63,12.5,2.22,1.86,10.5,1.9,-,-,-
14,Cameron Norrie(Q),Reilly Opelka,3.064,-,1.4,,,,2.01,26,1.84,1.82,+2.5-,2.03,1.84,12.5,1.92,2.19,13.5,1.65,-,-,-
15,Hurkacz/Isner,Purcell/Saville,2,-,1.85,,,,1.79,21.5,2.07,1.975,-0.5+,1.864,1.88,11.5,1.88,1.94,11.5,1.83,-,-,-
16,Ram/Salisbury(3),Garin/Ruud,1.305,-,3.6,,,,1.8,20,2.06,1.92,-3.5+,1.92,1.46,11.5,2.65,2.12,9.5,1.69,-,-,-
17,Behar/Golubev(1),Benchetrit/Gaston,1.38,-,3.04,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,America de Quito,Atletico Porteno,2.07,2.78,4.38,1.192,1.416,1.71,1.87,1.5,1.93,1.41,0,2.9,2.16,1,1.66,2.15,0.5,1.67,,,
19,Baroka,Chippa United,7.57,3.43,1.55,2.37,1.29,1.07,1.825,2,1.98,1.46,+1-,2.7,1.76,0.5,2.02,2.48,1.5,1.52,,,
20,Oleksandriya,Mariupol,1.87,2.94,5.62,1.144,1.408,1.936,1.816,1.5,2.04,2.81,-1+,1.46,1.66,1,2.22,2.17,0.5,1.69,,,
21,Veronika Kudermetova,Ajla Tomljanovic,2.27,-,1.66,,,,1.864,20.5,1.975,1.92,+2.5-,1.92,1.69,11.5,2.12,2.22,12.5,1.63,-,-,-
22,Maria Sakkari(13),Cori Gauff,2.33,-,1.63,,,,1.864,20.5,1.975,1.975,+2.5-,1.864,1.75,11.5,2.03,2.22,12.5,1.63,-,-,-
23,Muhammad/Townsend,Mattek-Sands/Zhang(4),5.08,-,1.18,,,,1.8,17.5,2.05,1.92,+5.5-,1.92,2.03,7.5,1.75,1.35,11.5,3.09,-,-,-
24,Perez/Sanders,Siniakova/Friedsam(7),1.58,-,2.45,,,,2.03,17.5,1.82,1.864,-2.5+,1.975,1.96,11.5,1.8,1.79,7.5,1.98,-,-,-
25,Fichman/Jurak,Hradecka/Klepac(8),3.89,-,1.27,,,,1.77,19.5,2.1,1.92,+3.5-,1.92,1.79,8.5,1.98,1.4,11.5,2.88,-,-,-
26,VERVA Warszawa,Czarni Radom,1.07,-,8.73,,,,1.71,192.5,2.13,1.88,-5.5+,1.92,1.71,98.5,2.09,1.71,93.5,2.09,-,-,-
27,Qarabag,Sabah Baku,1.14,7.53,17.4,-,1.07,5.27,1.985,2.5,1.82,1.85,-1.5+,1.95,1.91,2,1.86,2.46,0.5,1.52,,,
28,Siroki Brijeg,Borac Banja Luka,1.72,3.59,4.74,1.17,1.27,2.056,2.21,2.5,1.665,2.37,-1+,1.59,2.03,1.5,1.75,1.69,0.5,2.12,,,
29,York 9,Valour Winnipeg,2.07,3.41,3.41,1.296,1.296,1.712,1.97,2.5,1.832,1.59,0,2.36,2.12,1.5,1.69,1.88,1,1.88,,,
30,Slaven Belupo,HNK Gorica,1.6,3.68,6.13,1.12,1.275,2.31,1.87,2.5,1.97,2.425,-1+,1.59,1.82,1.5,1.95,2.11,1,1.7,,,
31,Sansare,Solola,3.39,3.39,2.14,1.7,1.315,1.315,2.016,2.5,1.832,2.555,0,1.536,1.43,0.5,2.75,2.11,1.5,1.69,,,
32,Ungmennafelagid Afturelding,Keflavík,2.44,3.31,2.8,1.41,1.31,1.525,1.7,4,2.15,1.78,0,2.03,1.79,2,1.97,1.96,2,1.81,,,
33,Sligo Rovers,Dundalk,2.09,3.09,3.74,1.25,1.345,1.7,2.05,2.5,1.77,1.49,0,2.62,2.69,1.5,1.45,1.85,1,1.91,,,
34,UNAM (Women),Toluca (Women),1.9,3.52,3.88,1.24,1.28,1.85,2.11,2.5,1.725,2.66,-1+,1.48,2.03,1.5,1.75,2.21,1,1.64,,,
35,GAIS,Orgryte,10.8,1.76,2.45,1.52,2.005,1.03,1.795,0.5,1.97,4.89,0,1.18,6.21,0.5,1.11,2.15,0.5,1.67,,,
36,Halmstads,Sundsvall,4.51,1.5,5.51,1.13,2.495,1.184,2.24,0.5,1.65,1.71,0,2.13,3.64,0.5,1.27,4.38,0.5,1.2,,,
37,Ljungskile,Osters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
38,AZS Stal Nysa,Bielsko-Biala,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Croatia U19 (Women),France U19 (Women),8.73,-,1.07,,,,1.8,183.5,2.01,1.77,+16.5-,2.05,1.78,83.5,1.99,3.77,100.5,1.25,-,-,-
40,AS Koma Elektra,WAF Brigittenau,1.01,21,31,-,-,-,1.965,4,1.84,1.76,-3+,2.06,1.87,3.5,1.89,2.69,0.5,1.45,,,
41,USV RB Weindorf St Anna,ATSV Stadl-Paura,1.53,4.83,4.83,1.165,1.165,2.42,2.08,4,1.75,1.85,-1+,1.95,2.06,2.5,1.73,2.15,1.5,1.67,,,
42,Wiener Viktoria,Trenkwalder Admira Wacker Modling II,9.71,4.86,1.31,3.264,1.165,1.04,2.24,2.5,1.65,2.31,+1-,1.61,2.06,0.5,1.73,1.7,1.5,2.1,,,
43,Reichenau,Wacker Innsbruck II,2.59,2.86,2.99,1.368,1.395,1.47,2.22,2,1.66,1.76,0,2.06,2.17,1,1.66,1.56,0.5,2.37,,,
44,Botev Vratsa,CSKA Sofia,6.98,2.49,1.9,1.848,1.504,1.085,2.405,3.5,1.57,1.33,+1-,3.32,3.13,1.5,1.34,2.25,2,1.62,,,
45,Pafos,AC Omonia,22,5.24,1.2,4.25,1.144,-,2.11,3.5,1.725,2.03,+1-,1.78,3.41,1.5,1.3,3.12,2.5,1.34,,,
46,Al-Masry,Misr El-Makasa,3.99,2.62,2.29,1.59,1.46,1.225,1.87,1.5,1.93,2.53,0,1.52,1.87,0.5,1.89,2.3,1,1.59,,,
47,Hapoel Be'er Sheva,Maccabi Haifa,4,2.3,2.6,1.465,1.584,1.225,1.656,1,2.23,2.41,0,1.57,2.21,0.5,1.64,1.77,0.5,2.01,,,
48,ASD Pink Sport Time Bari (Women),Napoli (Women),1.63,3.43,6.06,1.11,1.29,2.2,1.592,2,2.26,2.79,-1+,1.44,2.35,1.5,1.57,1.66,0.5,2.16,,,
