,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
176,0,Doosan Bears,Samsung Lions,5.55,-,1.15,-,-,-,1.7,5.5,2.15,1.34,+1.5-,3.27,2.11,2.5,1.7,2.11,3.5,1.7
177,1,KIA Tigers,LG Twins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
178,2,NC Dinos,Lotte Giants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179,3,SK Wyverns,KT Wiz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180,4,Hanwha Eagles,Kiwoom Heroes,8.59,-,1.07,-,-,-,1.88,7.5,1.92,1.3,+1.5-,3.54,2.33,3.5,1.57,2.33,4.5,1.57
181,5,Svay Rieng,Soltilo Angkor,1.57,3.38,7.38,1.075,1.3,2.325,1.92,1.5,1.88,-,-,-,3.11,1.5,1.35,3.11,0.5,1.35
182,6,SP Falcons,Khangarid Klub,1.42,4.12,8.18,1.06,1.216,2.75,1.88,2,1.92,2.01,-1+,1.8,2.08,1.5,1.72,2.08,0.5,1.72
183,7,Tokyo Yakult Swallows,Yomiuri Giants,4.2,-,1.24,-,-,-,1.52,6.5,2.61,-,-,-,1.83,3.5,1.93,1.83,3.5,1.93
184,8,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,1.03,-,13.6,-,-,-,2.04,12,1.81,2.34,-3+,1.63,2.63,7.5,1.46,2.63,4.5,1.46
185,9,Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
186,10,Portugal (3х3),Italy (3х3),2.12,7.28,2.12,1.64,1.06,1.64,1.81,10,2,1.9,0,1.9,1.888,5,1.912,1.888,5,1.912
187,11,Argentina (4х4),Russia (4х4),1.205,8.26,7.66,1.05,1.04,3.97,2.01,7.5,1.8,1.79,-2+,2.025,1.89,4.5,1.91,1.89,2.5,1.91
188,12,Germany (4х4),Italy (4х4),11.4,10,1.104,5.68,1.008,1.008,1.93,9,1.87,1.8,+3-,2.01,2.104,3,1.73,2.104,6,1.73
189,13,Falcons (white),Bears (blue),3.28,6.76,1.56,2.28,1.09,1.3,1.72,97.5,2.07,1.77,+1.5-,2.01,1.82,48.5,1.95,1.82,49.5,1.95
190,14,Brazil (3x3),USSR (3x3),1.95,8.35,2.23,1.58,1.04,1.76,1.93,23.5,1.815,1.75,0,2.008,1.89,11.5,1.85,1.89,11.5,1.85
191,15,Nijmegen (Amateur),Roda (Amateur),1.775,5.71,2.91,1.355,1.104,1.93,2.05,9,1.77,2.235,-1+,1.65,1.87,4.5,1.93,1.87,4,1.93
192,16,BIO,MED,1.37,5.07,6.48,1.08,1.13,2.848,1.696,5.5,2.16,1.67,-1+,2.208,1.58,3.5,2.375,1.58,2,2.375
193,17,Brazil (SSL) Women,England (SSL) Women,17,10,-,10,-,-,2.01,13,1.8,1.9,+4-,1.9,2.06,4.5,1.76,2.06,8.5,1.76
194,18,Athletic Bilbao (Amateur),Real Sociedad (Amateur),10,10,-,10,-,-,2.312,4.5,1.61,1.75,+3-,2.075,1.955,0.5,1.848,1.955,3.5,1.848
