0,HB Koge,Avarta,1.40,4.30,7.70,1.05,1.18,2.75,-1.5,2.15,+1.5,1.62,3.5,2.12,1.64,+164
1,Vejle,Aarhus Fremad,4.40,3.55,1.75,1.95,1.25,1.17,+1.5,1.33,-1.5,3.05,3.5,2.05,1.68,+170
2,Tsarsko Selo Sofia,Montana,2.95,2.20,3.65,1.25,1.63,1.37,-1.5,8.50,+1.5,1.06,0.5,1.40,2.85,+146
3,Metalurgi Rustavi,Aragvi Dusheti,2.45,2.40,3.80,1.22,1.50,1.48,0,1.55,0,2.30,1.5,2.45,1.48,
4,Saburtalo-2,Guria,1.28,4.50,13.00,,1.16,3.35,-1.5,3.10,+1.5,1.32,3.5,1.45,2.50,+9
5,Tukums 2000,Spartaks Jurmala,,,,,,,+2.5,2.30,-2.5,1.60,3.5,1.55,2.40,+122
6,Borac Cacak,Buducnost Dobanovci,2.40,2.65,3.50,1.25,1.42,1.50,-1.5,5.80,+1.5,1.10,3.5,1.95,1.75,+96
7,IMT Beograd U19,Partizan U19,29.00,14.00,1.04,8.50,,,+2.5,1.93,-2.5,1.77,3.5,1.58,2.25,+93
8,Al Thuqbah,Al-Bukiryah,3.25,3.40,2.10,1.65,1.27,1.30,+1.5,1.20,-1.5,3.95,2.5,1.97,1.73,+109
9,AGMK Olmaliq,Lokomotiv Tashkent,,,,,,,,,,,,,,
10,FK Batki,KZhUP Vetkovskoye,,,,,,,-1.5,1.87,+1.5,1.83,2.5,1.67,2.07,+2
11,Valencia (Pablik),Ajax (orlovsky1),2.55,2.30,3.85,1.22,1.55,1.45,-1.5,5.60,+1.5,1.11,1.5,2.00,1.72,+67
12,Man.United (Olle),Bayer L (mooneycb),3.60,2.05,3.10,1.32,1.68,1.25,+1.5,1.05,-1.5,8.50,1.5,2.40,1.50,+64
13,England (HovHar),Belgium (Harry),,,,,,,,,,,,,,
14,Belgium (Indra13_27),Brazil (Den1bravo),2.15,3.70,2.90,1.35,1.23,1.62,0,1.63,0,2.15,2.5,1.63,2.13,+7
15,Italy (Critic),Spain (Aphex),2.30,4.10,2.45,1.48,1.19,1.55,-1.5,3.95,+1.5,1.20,3.5,2.25,1.57,+98
16,Germany (Olom),France (Ishking11),2.45,3.95,2.40,1.50,1.20,1.48,-1.5,3.80,+1.5,1.22,4.5,2.20,1.60,+82
17,ARGENTINA (SKMGERY),Portugal (Iceman),1.80,4.70,3.25,1.30,1.15,1.90,-1.5,2.80,+1.5,1.38,4.5,1.65,2.10,+7
18,Motor Ceske Budejovice,Hc Kladno,2.02,4.60,2.70,1.40,1.16,1.70,-1.5,2.95,+1.5,1.35,5.5,1.80,1.90,+121
19,Montreal C.(fine_oxtail3),Anaheim (Procha-sukromka5),,,,,,,,,,,,,,
20,Norway (RedDevil),France (keks),1.03,,,,,11.50,-2.5,1.50,+2.5,2.40,4.5,1.95,1.75,+4
21,olimpi Tbilisi (w),BC Batumi (d),,,,,,,-19.5,1.80,+19.5,1.90,135.5,1.90,1.80,+6
22,BC Vikingai,Tobulejimo Akademija,1.33,,3.03,,,,-7.5,1.90,+7.5,1.80,111.5,1.90,1.80,+8
23,Al Bank Al Ahli (w),6 October (w),1.08,,6.50,,,,-14.5,1.85,+14.5,1.85,130.5,1.90,1.80,+22
24,Tyumen,KPRF,,,,,,,,,,,,,,
25,Tsitron (w),Pervomay (w),1.95,,1.75,,,,+2.5,1.75,-2.5,1.95,81.5,1.75,1.95,+4
26,4M 3-rd game. Carlsen M,Nakamura H,2.00,2.10,9.90,1.02,1.65,1.70,0,1.20,0,4.00,,,,
27,FATE,Izako Boars,,,,,,,,,,,,,,
28,AVEZ,Team Singularity,,,,,,,,,,,,,,
29,1-0. Sprout,AGO,,,,,,,,,,,,,,
30,Khan,Voldemort,,,,,,,,,,,,,,
