,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
398,0,Falcons,Khangarid,1.4,3.85,10.0,1.02,1.22,2.75,-1.5,3.15,1.5,1.3,2.5,2.75,1.4,97.0
399,1,Istaravshan,Dushanbe 83,1.73,3.65,4.4,1.17,1.25,2.0,-1.5,3.0,1.5,1.35,3.5,1.98,1.72,170.0
400,2,Kuktosh FC,Hatlon,6.5,4.2,1.45,2.55,1.19,1.08,1.5,1.5,-1.5,2.4,3.5,2.13,1.64,92.0
401,3,Ravshan Kulob,Ravshan Zafarabad,3.3,4.15,1.87,1.83,1.19,1.3,0.0,2.5,0.0,1.47,3.5,1.55,2.3,7.0
402,4,Barkchi Hisor,Khosilot,1.6,4.8,4.0,1.2,1.15,2.2,-1.5,2.6,1.5,1.45,4.5,2.1,1.65,9.0
403,5,Vahdat,FC Shokhmansur,,,,,,,-3.5,2.03,3.5,1.7,4.5,1.9,1.8,7.0
404,6,Svay Rieng,Soltilo Angkor,1.55,3.25,7.7,1.05,1.3,2.3,-1.5,2.85,1.5,1.37,1.5,1.9,1.8,52.0
405,7,Ryzhiye Lisy,Zheltie Tulpany,,,,,,,3.5,1.65,-3.5,2.1,6.5,2.25,1.57,24.0
406,8,Younost-Industriya Kemer.,Dobryy Kemerovo,1.42,7.1,4.2,1.19,1.06,2.65,-1.5,1.8,1.5,1.9,7.5,2.0,1.72,6.0
407,9,Sagitov (TES) Arsenal,Halilov (GMB) Ajax,,,,,,,,,,,,,,
408,10,Brazil (Pablik),France (dm1trena),,,,,,,,,,,,,,
409,11,Netherlands (mooneycb),England (Olle),,,,,,,,,,,,,,
410,12,Real M (DangerDim77),Man. City (d1pseN),1.4,4.15,8.5,1.04,1.19,2.75,-1.5,2.75,1.5,1.4,2.5,1.98,1.72,21.0
411,13,PSG (slezaintima),Barcelona (nikkitta),14.0,4.2,1.3,3.2,1.19,,1.5,1.35,-1.5,2.9,2.5,2.4,1.5,48.0
412,14,Dynamo K (Carlwhizzer),PSV Eindhoven (Dimqaa),,,,,,,,,,,,,,
413,15,Feyenoord Rotterdam (Mistyeye),CSKA Moscow (Quavo),,,,,,,-1.5,1.14,1.5,4.9,4.5,2.95,1.35,4.0
414,16,Sporting (Paulo),Marseille (Totti),,,,,,,,,,,,,,
415,17,Man.United (Nrek),Lokomotiv M (Archi),,,,,,,,,,,,,,
416,18,MHC Atlant,Loko Yaroslavl,6.0,1.82,2.85,1.4,1.92,1.11,1.5,1.11,-1.5,6.0,2.5,1.63,2.2,80.0
417,19,Metallurg Nk,Lada,4.2,5.3,1.55,2.35,1.14,1.2,1.5,1.65,-1.5,2.18,6.5,2.17,1.65,116.0
418,20,Ledovyy Desant,Ershistye Tigry,2.4,4.4,2.35,1.55,1.19,1.55,1.5,1.25,-1.5,3.7,6.5,1.75,2.0,59.0
419,21,Hc Slavia Praha U20,Sparta Praha U20,4.2,4.5,1.6,2.2,1.16,1.19,1.5,1.55,-1.5,2.25,3.5,1.8,1.9,108.0
420,22,Shabalin (NBF) Chicago Bl.,Zolin (PGM) N-Y Rangers,48.0,9.5,1.05,7.8,1.02,,2.5,1.4,-2.5,2.8,5.5,2.9,1.35,41.0
421,23,Vegas Golden Knights (Magistr),Toronto Maple Leafs (mrPanda),,,,,,,2.5,3.65,-2.5,1.25,7.5,1.9,1.8,8.0
422,24,Liaoning Flying Leopards,Guangdong Southern Tigers,3.15,,1.31,,,,7.5,1.8,-7.5,1.9,221.5,1.8,1.9,18.0
423,25,Zenit (BLM_Mamba),Fenerbahce (JoKeR),2.46,,1.48,,,,2.5,1.87,-2.5,1.83,83.5,1.92,1.78,6.0
424,26,Hyundai Group,Tianchen Inginnering,1.16,,4.5,,,,-11.5,1.85,11.5,1.85,147.5,1.87,1.83,8.0
425,27,Chaophraya Thunder,Mad Goat,7.3,,1.06,,,,14.5,1.8,-14.5,1.9,132.5,1.8,1.9,6.0
426,28,Houston Rockets (88fireburn),Golden State Warriors (bepado),,,,,,,-29.5,1.83,29.5,1.87,127.5,1.85,1.85,6.0
427,29,Portland Trail Blazers (Shiva),Dallas Mavericks (Goku),1.58,,2.23,,,,-2.5,1.92,2.5,1.78,133.5,1.87,1.83,6.0
428,30,Boston Celtics (Sally),Milwaukee Bucks (Readdle),,,,,,,15.0,1.8,-15.0,1.9,162.0,1.76,1.94,2.0
429,31,Philadelphia 76ers (Ellka),Houston Rockets (Reta),1.72,,2.0,,,,-1.5,1.87,1.5,1.83,197.5,1.85,1.85,2.0
430,32,Universitet Izhevsk (w),UFA Alisa (w),,,,,,,,,,,31.5,2.03,1.7,
431,33,HC Zubri,Talent Plzen,,,1.04,8.5,,,8.5,1.83,-8.5,1.87,57.5,1.9,1.8,10.0
