,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
117,0,Rotor Volgograd,Zenit Saint Petersburg,8.5,4.58,1.416,3.02,1.23,1.095,1.92,2.5,1.92,1.775,+1.5-,2.09,1.92,0.5,1.88,1.92,2,1.88
118,1,Zeljeznicar,Borac Banja Luka,1.73,3.25,5.5,1.13,1.32,2.05,1.685,2,2.18,2.41,-1+,1.57,1.71,1.5,2.08,1.71,0.5,2.08
119,2,Zorya Luhansk,Dnipro-1,1.25,4.59,19.9,-,1.18,3.74,1.63,3.5,2.28,3.47,-1.5+,1.31,2.66,2.5,1.45,2.66,1.5,1.45
120,3,Achuapa,Deportivo San Pedro,3.3,3.19,2.27,1.625,1.345,1.33,1.736,2,2.15,2.33,0,1.63,1.63,1,2.22,1.63,1,2.22
121,4,Levadia U19,Raplamaa JK U19,1.09,9.02,24,-,1.05,6.57,2.21,2.5,1.665,1.69,-1.5+,2.17,2.84,2,1.4,2.84,0.5,1.4
122,5,Nomme Kalju U19,Tallinna JK Legion U19,1.2,7.13,10.4,1.03,1.08,4.25,1.77,3.5,2.05,1.62,-1.5+,2.3,1.93,2.5,1.84,1.93,1,1.84
123,6,Samtredia,Saburtalo Tbilisi,8.31,1.31,5.3,1.14,3.26,1.06,3.264,2.5,1.34,2.52,0,1.52,4.08,1.5,1.22,4.08,1.5,1.22
124,7,BFC Daugavpils,Riga,8.66,4.59,1.36,3.01,1.18,1.055,1.87,2.5,1.93,1.69,+1.5-,2.17,2.04,0.5,1.75,2.04,2,1.75
125,8,METTA Latvijas Universitāte,Tukums 2000,1.67,4.01,4.51,1.184,1.225,2.135,1.7,2.5,2.15,2.22,-1+,1.66,2.22,1.5,1.63,2.22,1,1.63
126,9,Sweden 3х3,Turkey (3х3),-,-,-,-,-,-,2.125,8.5,1.715,1.704,-4+,2.14,3.86,6.5,1.26,3.86,2.5,1.26
127,10,Portugal (4х4),Belgium (4х4),2.3,6.5,2.03,1.7,1.08,1.544,1.895,8,1.904,2.03,0,1.784,1.875,4,1.925,1.875,4,1.925
128,11,Wolfsburg (Amateur),RB Leipzig (Amateur),17,10,-,10,-,-,1.65,5,2.235,1.9,+3-,1.9,1.82,1,1.99,1.82,4,1.99
129,12,ARCH,BIZ,13.8,3.82,1.34,2.99,1.22,-,1.76,3.5,2.064,1.448,+1-,2.768,3.32,1.5,1.33,3.32,2.5,1.33
130,13,Brazil (SSL) Women,Russia (SSL) Women,1.664,8.71,2.73,1.4,1.035,2.08,1.925,18.5,1.875,1.9,-1+,1.9,1.82,9.5,1.984,1.82,8.5,1.984
131,14,Sweden (SSL),Italy (SSL),3.64,10,1.415,2.675,1.02,1.24,1.904,17,1.896,1.9,+2-,1.9,1.95,7.5,1.85,1.95,9.5,1.85
132,15,Argentina (TSL) Women,Portugal (TSL) Women,1.06,8.94,15.5,1.016,1.016,6.6,1.992,15.5,1.816,2.125,-3+,1.72,1.75,9,2.075,1.75,6,2.075
