,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
239,0,Wuhan Zall,Chongqing Lifan,1.512,3.78,8.5,1.095,1.3,2.655,1.615,2,2.37,2.344,-1+,1.625,1.71,1.5,2.13,1.71,0.5,2.13
240,1,Erchim,Anduud City,1.04,14,25,-,1.008,9.03,1.845,5,1.96,2.1,-4+,1.73,-,-,-,-,-,-
241,2,Daejeon Citizen,Seoul E-Land,3.31,2.21,3.17,1.33,1.63,1.31,1.775,1,2.04,2.06,0,1.76,1.9,0.5,1.86,1.9,0.5,1.86
242,3,Blue Star,Up Country Lions,2.54,2.64,3.36,1.3,1.456,1.488,2.05,3.5,1.77,1.76,0,2.06,1.74,1.5,2.05,1.74,1.5,2.05
243,4,Beijing+,Shanghai+,-,-,-,-,-,-,1.83,7.5,1.97,-,-,-,2.13,5.5,1.72,2.13,2.5,1.72
244,5,Italy (3х3),Spain (3х3),1.32,8.52,4.81,1.144,1.035,3.075,1.864,12.5,1.936,1.9,-2+,1.9,1.725,7,2.11,1.725,5,2.11
245,6,Dmytro Myznikov,Dmitry Karpenko,9.11,-,1.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
246,7,Borussia (Amateur),Schalke (Amateur),1.06,11.6,9.87,-,1.005,6.24,1.845,8.5,1.96,1.725,-2.5+,2.115,2.08,6,1.75,2.08,3,1.75
247,8,Bears (blue),Falcons (white),1.48,4.28,5.34,1.14,1.18,2.49,1.78,107.5,1.99,2.37,-1.5+,1.56,2.22,54.5,1.63,2.22,53.5,1.63
248,9,Zenit (Amateur),Krasnodar (Amateur),-,-,-,-,-,-,1.936,11.5,1.864,-,-,-,-,-,-,-,-,-
249,10,Nijmegen (Amateur),Zwolle (Amateur),2.69,5.85,1.856,1.84,1.088,1.384,2.025,6.5,1.79,2.33,0,1.605,2.06,3,1.765,2.06,3.5,1.765
250,11,Grify,Volki,2,7.3,2.256,1.57,1.048,1.69,2.025,10.5,1.785,2.696,-1.5+,1.384,1.575,4.5,2.18,1.575,4.5,2.18
251,12,BIO,GEO,1.4,5.11,5.86,1.1,1.13,2.73,1.85,4,1.95,1.7,-1+,2.15,2.145,2.5,1.704,2.145,1.5,1.704
252,13,Kazakhstan (3х3),Belarus (3х3),6.33,7.92,1.256,3.52,1.035,1.07,2.016,14,1.744,1.87,+2-,1.87,2.07,6,1.704,2.07,8,1.704
253,14,Italy (SSL),Spain (SSL),1.17,10,7.17,1.06,1.008,4.41,1.94,19,1.86,1.98,-2.5+,1.81,1.83,11,1.98,1.83,8,1.98
254,15,France (SSL) Women,Russia (SSL) Women,2.264,9.09,1.89,1.815,1.03,1.62,1.984,16,1.82,2.09,0,1.74,1.88,7.5,1.915,1.88,8,1.915
255,16,Athletic Bilbao (Amateur),Sevilla (Amateur),1.79,4.49,3.34,1.28,1.15,1.87,1.97,6,1.832,2.112,-1+,1.725,1.77,3.5,2.05,1.77,2.5,2.05
256,17,Belgium (TSL) Women,Russia (TSL) Women,3.432,8.91,1.46,2.58,1.01,1.248,1.77,19.5,1.895,1.9,+2-,1.9,1.775,8.5,2.045,1.775,10.5,2.045
257,18,Russia (TSL),Argentina (TSL),3.195,8.9,1.49,2.488,1.005,1.28,1.8,26,1.86,1.9,+2-,1.9,1.92,12,1.88,1.92,14,1.88
