0,SKA-Khabarovsk,Fakel Voronezh,1.07,,,,,9.00,-1.5,6.70,+1.5,1.11,1.5,4.05,1.25,+6
1,Bayside United (r),The Gap (r),1.05,10.50,40.00,,1.01,7.80,-1.5,2.65,+1.5,1.42,3.5,2.10,1.65,+10
2,Taringa Rovers (r),Grange Thistle (r),4.70,1.25,15.00,,3.55,1.15,,,,,0.5,3.45,1.27,+8
3,Toowong (r),Acacia Ridge (r),1.10,7.70,22.00,,1.05,5.80,-1.5,1.52,+1.5,2.35,3.5,2.25,1.57,+142
4,North Star (r),Albany Creek (r),35.00,9.50,1.06,7.30,1.02,,+2.5,1.63,-2.5,2.15,3.5,2.15,1.62,+46
5,Forrestfield Un (r),Fremantle (r),,,,,,,+3.5,1.11,-3.5,5.70,5.5,3.35,1.28,+6
6,Palm Beach (r),Nerang (r),1.95,3.60,3.45,1.25,1.25,1.75,0,1.47,0,2.50,3.5,2.40,1.50,
7,Burleigh Heads (r),Surfers Paradise (r),5.40,4.10,1.53,2.35,1.19,1.12,+1.5,1.45,-1.5,2.55,3.5,2.10,1.65,+9
8,Moreton Bay Un U20,Eastern Suburbs U20,,,,,,,-1.5,1.14,+1.5,4.90,6.5,2.55,1.45,+8
9,Beerwah Glasshouse (r),Kawana (r),1.55,4.05,5.40,1.12,1.20,2.30,-1.5,2.45,+1.5,1.48,4.5,2.05,1.68,+9
10,Cockburn City U20,Balcatta U20,100.00,5.80,1.11,5.50,1.10,,+1.5,1.05,-1.5,8.50,1.5,3.75,1.23,+6
11,Sorrento U20,Armadale U20,,,,,,,-1.5,1.12,+1.5,5.30,4.5,2.90,1.35,+6
12,Basewater City U20,Rockingham City U20,1.04,,,,,9.50,-1.5,5.10,+1.5,1.13,3.5,3.65,1.25,+4
13,Inglewood United U20,Floreat Athena U20,,,,,,,+3.5,1.16,-3.5,4.60,5.5,2.65,1.43,+6
14,Perth U20,Perth Glory U20,,,,,,,,,,,2.5,4.50,1.17,
15,ECU Joondalup U20,Gwelup Croatia U20,,,,,,,-2.5,1.11,+2.5,5.50,3.5,3.55,1.25,+8
16,Subiaco (r),Ashfield (r),1.12,7.10,22.00,,1.06,5.30,-1.5,5.40,+1.5,1.12,3.5,3.10,1.32,+4
17,UWA (r),Olympic Kingway (r),1.07,,,,,6.70,-1.5,6.60,+1.5,1.08,1.5,3.75,1.23,+4
18,Ipswich City (r),Annerley (r),1.09,,,,,6.00,-1.5,6.00,+1.5,1.09,5.5,3.90,1.20,
19,New Farm Un (r),Virginia United (r),1.22,5.20,14.00,,1.13,3.85,,,,,3.5,4.00,1.20,+2
20,Monaro Panthers U23,Tuggeranong United U23,,,,,,,-4.5,1.93,+4.5,1.77,7.5,2.18,1.61,+24
21,Marconi Stallions,Western Sydney U21,1.19,5.70,15.00,,1.10,4.15,-1.5,1.78,+1.5,1.92,2.5,1.62,2.15,+143
22,Southport Warriors,Broadbeach United,,,,,,,+1.5,4.50,-1.5,1.17,2.5,2.75,1.40,+8
23,Mudgeeraba,Musgrave Green,2.65,3.45,2.40,1.50,1.25,1.42,0,1.95,0,1.75,3.5,2.10,1.65,+7
24,Fulham United,Adelaide Victory,3.10,2.55,2.70,1.40,1.45,1.32,+1.5,1.09,-1.5,6.20,5.5,2.05,1.68,+91
25,South Adelaide,Adelaide Hills,1.80,2.90,5.40,1.12,1.35,1.90,-1.5,3.65,+1.5,1.25,3.5,1.90,1.80,+103
26,West Adelaida,Seaford Rangers,,,,,,,-4.5,2.08,+4.5,1.67,5.5,2.20,1.60,+42
27,Western Strikers,Sturt Lions,4.30,2.95,1.95,1.75,1.35,1.18,+1.5,1.18,-1.5,4.30,1.5,1.85,1.85,+134
28,Playford City Patriots,Vipers,1.03,14.00,80.00,,,9.00,-2.5,2.03,+2.5,1.70,3.5,2.03,1.70,+86
29,Devonport Strikers-2,Burnie,,,,,,,-4.5,2.08,+4.5,1.65,5.5,1.58,2.25,+38
30,Launceston City,Clarence Zebras,2.25,3.90,2.60,1.45,1.20,1.57,-1.5,3.80,+1.5,1.22,2.5,1.60,2.20,+211
31,Hobart Olympia Warriors,Kingborough Lions,1.68,4.05,4.20,1.19,1.20,2.05,-1.5,2.50,+1.5,1.47,3.5,1.88,1.82,+209
32,Mindil Aces,Univercity Azzurri,1.65,4.40,4.05,1.20,1.17,2.10,-1.5,2.45,+1.5,1.48,3.5,1.73,2.00,+210
