,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
217,0,Manchester City,Lyon,1.87,3.46,4.58,1.225,1.344,1.995,2.056,3.5,1.8,2.35,-1+,1.625,2.81,2,1.44,2.81,1.5,1.44
218,1,Gremio Esportivo Brasil,Oeste,2.56,3.01,2.89,1.39,1.365,1.48,1.81,1.5,2,1.78,0,2.03,1.63,1,2.22,1.63,0.5,2.22
219,2,Palmeira de Goianinha,Sport Club Santa Cruz,1.62,3.24,6.9,1.088,1.32,2.22,2.04,1.5,1.78,3.55,-1.5+,1.3,3.12,1,1.35,3.12,0.5,1.35
220,3,Kansas City Royals,Minnesota Twins,4.34,-,1.23,-,-,-,1.888,7.5,1.955,1.74,+1.5-,2.14,2.03,2.5,1.75,2.03,4.5,1.75
221,4,Milwaukee Brewers,Chicago Cubs,2.048,-,1.808,-,-,-,1.88,8.5,1.96,1.52,+1.5-,2.6,2.04,3.5,1.75,2.04,4.5,1.75
222,5,St.Louis Cardinals,Chicago White Sox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
223,6,HFX Wanderers,Pacific,1.64,3.81,5.08,1.15,1.245,2.184,2.256,3,1.64,2.21,-1+,1.67,2.17,1.5,1.66,2.17,1,1.66
224,7,Osijek,Slaven Belupo,5.06,1.93,2.91,1.405,1.856,1.165,1.57,0.5,2.34,2.555,0,1.536,2.16,0.5,1.66,2.16,0.5,1.66
225,8,Zamalek,Misr El-Makasa,2.64,1.88,6.28,1.104,1.87,1.456,1.625,0.5,2.23,1.42,0,2.88,3.66,0.5,1.27,3.66,0.5,1.27
226,9,Moghreb Tetouan,Hassania Agadir,3.01,2.41,3.11,1.344,1.536,1.365,2.256,1.5,1.64,1.88,0,1.93,1.83,0.5,1.94,1.83,0.5,1.94
227,10,OC Safi,Youssoufia Berrechid,1.91,2.75,5.5,1.13,1.425,1.84,1.89,1.5,1.91,3.13,-1+,1.36,2.22,1,1.63,2.22,0.5,1.63
228,11,Odra Opole,Lech Poznan,22,8.8,1.1,6.29,1.05,-,1.85,3,1.95,1.9,+2-,1.9,1.87,0.5,1.89,1.87,2.5,1.89
229,12,Al Nassr,Al-Wahda Club Mecca,1.05,10.5,68,-,1.04,9.13,1.83,1.5,2.02,2.425,-1.5+,1.59,6.5,1.5,1.1,6.5,0.5,1.1
230,13,River Plate Montevideo,Club Nacional Montevideo,5.27,2.06,2.53,1.49,1.72,1.14,1.93,5,1.87,2.88,0,1.42,1.83,2.5,1.94,1.83,2.5,1.94
231,14,Spartak+,Barcelona+,-,-,-,1.23,1.06,2.32,2.14,12,1.595,-,-,-,1.98,6.5,1.7,1.98,5.5,1.7
232,15,Inter+,Liverpool+,1.56,5.58,3.83,1.22,1.096,2.21,1.256,8.5,3.18,-,-,-,-,-,-,-,-,-
233,16,Brazil (3x3),Holland (3x3),8.3,10,1.15,4.74,1.008,1.03,1.99,27,1.765,1.79,+3-,1.955,1.688,12,2.096,1.688,14.5,2.096
234,17,Argentina (TSL) Women,Germany (TSL) Women,1.625,8.92,2.8,1.39,1.016,2.09,1.775,18.5,1.89,1.975,-1.5+,1.83,1.848,10,1.955,1.848,8.5,1.955
235,18,Kyren Wilson,Ronnie O'Sullivan,12.5,-,1.03,-,-,-,-,-,-,2.05,+7.5-,1.77,-,10.5,-,-,-,-
