,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
9,Beijing+,Tokyo+,4.51,4.45,1.575,2.24,1.168,1.165,1.57,3.5,2.19,1.74,+1-,2.09,2.02,1.5,1.79,2.02,2.5,1.79
10,Austria (3х3),Turkey (3х3),1.48,4.59,5.32,1.13,1.18,2.33,1.85,5.5,1.95,1.965,-1+,1.84,2.405,3.5,1.57,2.405,2.5,1.57
11,Netherlands (4х4),Argentina (4х4),1.51,5.95,3.97,1.205,1.096,2.38,2.06,8.5,1.76,1.795,-1+,2.016,1.915,4.5,1.885,1.915,3.5,1.885
12,Portugal (4х4),Italy (4х4),1.625,5.59,3.475,1.26,1.11,2.144,1.8,8,2.01,2.005,-1+,1.805,1.86,4.5,1.94,1.86,3.5,1.94
13,Hertha (Amateur),Dynamo Dresden (Amateur),17,10,-,10,-,-,1.88,7,1.92,1.76,+3.5-,2.06,1.95,2,1.72,1.95,5.5,1.72
14,Holland (3x3),USSR (3x3),1.08,10,13.1,-,-,6.36,2.05,25,1.72,1.87,-3+,1.87,2.096,14,1.688,2.096,11,1.688
15,Zwolle (Amateur),Roda (Amateur),-,-,-,-,-,-,2.76,4.5,1.37,1.9,+3-,1.9,2.115,0.5,1.725,2.115,3.5,1.725
16,Gornyaki,Pushkari,2.008,7.42,2.23,1.58,1.056,1.715,1.835,10.5,1.968,2.7,-1.5+,1.384,1.49,4.5,2.365,1.49,4.5,2.365
17,POLICY,CHEMIST,1.35,5.56,6.24,1.085,1.11,2.94,1.99,4.5,1.816,2.032,-1.5+,1.78,2,3,1.81,2,1.5,1.81
18,Russia (3x3),Ukraine (3х3),2.875,7.9,1.648,2.11,1.05,1.365,1.89,16,1.91,1.9,+1-,1.9,1.95,7.5,1.85,1.95,8.5,1.85
19,Brazil (SSL) Women,Russia (SSL) Women,2.06,9,2.06,1.675,1.03,1.675,2,16,1.81,1.9,0,1.9,2.02,8,1.79,2.02,8,1.79
20,Athletic Bilbao (Amateur),Getafe (Amateur),8.93,7.59,1.192,-,-,-,1.568,5.5,2.2,2.256,+1.5-,1.54,1.52,1.5,2.295,1.52,3.5,2.295
21,France team (Women),Germany team (Women),-,10,17,-,-,10,2.025,5.5,1.79,-,-,-,-,-,-,-,-,-
0,Doosan Bears,Samsung Lions,5.55,-,1.15,-,-,-,1.7,5.5,2.15,1.34,+1.5-,3.27,2.11,2.5,1.7,2.11,3.5,1.7
1,KIA Tigers,LG Twins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,NC Dinos,Lotte Giants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,SK Wyverns,KT Wiz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Hanwha Eagles,Kiwoom Heroes,8.59,-,1.07,-,-,-,1.88,7.5,1.92,1.3,+1.5-,3.54,2.33,3.5,1.57,2.33,4.5,1.57
5,Svay Rieng,Soltilo Angkor,1.57,3.38,7.38,1.075,1.3,2.325,1.92,1.5,1.88,-,-,-,3.11,1.5,1.35,3.11,0.5,1.35
6,SP Falcons,Khangarid Klub,1.42,4.12,8.18,1.06,1.216,2.75,1.88,2,1.92,2.01,-1+,1.8,2.08,1.5,1.72,2.08,0.5,1.72
7,Tokyo Yakult Swallows,Yomiuri Giants,4.2,-,1.24,-,-,-,1.52,6.5,2.61,-,-,-,1.83,3.5,1.93,1.83,3.5,1.93
8,Tohoku Rakuten Golden Eagles,Saitama Seibu Lions,1.03,-,13.6,-,-,-,2.04,12,1.81,2.34,-3+,1.63,2.63,7.5,1.46,2.63,4.5,1.46
9,Hokkaido Nippon-Ham Fighters,Chiba Lotte Marines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Portugal (3х3),Italy (3х3),2.12,7.28,2.12,1.64,1.06,1.64,1.81,10,2,1.9,0,1.9,1.888,5,1.912,1.888,5,1.912
11,Argentina (4х4),Russia (4х4),1.205,8.26,7.66,1.05,1.04,3.97,2.01,7.5,1.8,1.79,-2+,2.025,1.89,4.5,1.91,1.89,2.5,1.91
12,Germany (4х4),Italy (4х4),11.4,10,1.104,5.68,1.008,1.008,1.93,9,1.87,1.8,+3-,2.01,2.104,3,1.73,2.104,6,1.73
13,Falcons (white),Bears (blue),3.28,6.76,1.56,2.28,1.09,1.3,1.72,97.5,2.07,1.77,+1.5-,2.01,1.82,48.5,1.95,1.82,49.5,1.95
14,Brazil (3x3),USSR (3x3),1.95,8.35,2.23,1.58,1.04,1.76,1.93,23.5,1.815,1.75,0,2.008,1.89,11.5,1.85,1.89,11.5,1.85
15,Nijmegen (Amateur),Roda (Amateur),1.775,5.71,2.91,1.355,1.104,1.93,2.05,9,1.77,2.235,-1+,1.65,1.87,4.5,1.93,1.87,4,1.93
16,BIO,MED,1.37,5.07,6.48,1.08,1.13,2.848,1.696,5.5,2.16,1.67,-1+,2.208,1.58,3.5,2.375,1.58,2,2.375
17,Brazil (SSL) Women,England (SSL) Women,17,10,-,10,-,-,2.01,13,1.8,1.9,+4-,1.9,2.06,4.5,1.76,2.06,8.5,1.76
18,Athletic Bilbao (Amateur),Real Sociedad (Amateur),10,10,-,10,-,-,2.312,4.5,1.61,1.75,+3-,2.075,1.955,0.5,1.848,1.955,3.5,1.848
0,Elena-Teodora Cadar,Livia Cirnu,1.04,-,10.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Lucas Gerch,Alexander Mannapov,1.07,-,8.59,1.96,17.5,1.85,-,-6.5+,-,1.91,12.5,1.8,1.91,5.5,1.8,-,-,-
2,Ronald Slobodchikov,Jim Walder,1.24,-,4.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Elmar Ejupovic,Yanki Erel,1.43,-,2.82,1.9,20.5,1.9,-,-3.5+,-,1.85,12.5,1.85,1.85,10.5,1.85,-,-,-
4,Alexey Dubinin,Artem Kshenin,2.34,-,1.52,1.864,40.5,1.856,-,+2.5-,-,-,-,-,-,-,-,-,-,-
5,Olimp,Impuls,1.58,-,2.385,1.93,183.5,1.87,-,-4.5+,-,1.9,94.5,1.9,1.9,91.5,1.9,-,-,-
6,Gennady Tishkin,Sergey Ivliev,2.56,-,1.46,1.856,109.5,1.885,-,+4.5-,-,1.864,53.5,1.875,1.864,56.5,1.875,-,-,-
7,Pavel Nechaev,Kirill Nazarov,2.17,-,1.66,1.84,110.5,1.9,-,+2.5-,-,1.86,55.5,1.88,1.86,56.5,1.88,-,-,-
8,Stanislav Oshkin,Grigorii Solovov,1.216,-,3.88,1.87,103.5,1.87,-,-8.5+,-,2.04,55.5,1.72,2.04,51.5,1.72,-,-,-
9,Elevation,Ural Academy,1.9,-,1.9,1.91,183.5,1.89,-,-0.5+,-,1.904,93.5,1.896,1.904,93.5,1.896,-,-,-
10,Vladimir Sandrkin,Ivan Getmancev,5.39,-,1.11,1.995,19.5,1.74,-,+5.5-,-,-,-,-,-,-,-,-,-,-
11,Krutov/Usevich,Guryanov/Kuzmichev,-,-,-,2.02,20.5,1.725,-,-6.5+,-,-,-,-,-,-,-,-,-,-
12,Alexander Esaulov,Yaroslav Godunov,4.13,-,1.195,1.845,77.5,1.9,-,+1.5-,-,1.992,40.5,1.76,1.992,39.5,1.76,-,-,-
13,Inna Karmaeva,Alexandra Nizhegorodtseva,-,-,-,2.32,58.5,1.57,-,+9.5-,-,-,24.5,-,-,-,-,-,-,-
14,South Korea (Amateur) Women,China (Amateur) Women,1.408,-,2.616,1.83,85.5,1.83,-,-5.5+,-,1.845,42.5,1.816,1.845,42.5,1.816,-,-,-
15,Iran (Kung),China (Kung),1.59,-,2.152,1.82,79.5,1.84,-,-3.5+,-,2.06,42.5,1.65,2.06,42.5,1.65,-,-,-
16,South Korea (Kung),India (Kung),1.496,-,2.355,1.85,79.5,1.81,-,-4.5+,-,2.12,42.5,1.61,2.12,42.5,1.61,-,-,-
17,Elena Glagoleva,Ilya Voronov,2.315,-,1.525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Traktor (4х4),Arsenal (4х4),1.49,-,2.696,1.915,100.5,1.885,-,-4.5+,-,1.94,51.5,1.86,1.94,50.5,1.86,-,-,-
19,Red Lions,Green Snakes,9.34,-,1.06,1.9,167.5,1.9,-,+11.5-,-,1.9,76.5,1.9,1.9,85.5,1.9,-,-,-
20,Angelina Paskhalidi,Alina Konchakova,2.19,-,1.59,1.76,30.5,1.99,-,+0.5-,-,-,-,-,-,-,-,-,-,-
21,Malaysia (Amateur),Thailand (Amateur),2.105,-,1.616,1.895,104.5,1.77,-,-2.5+,-,1.835,55.5,1.825,1.835,49.5,1.825,-,-,-
0,Manchester City,Lyon,1.87,3.46,4.58,1.225,1.344,1.995,2.056,3.5,1.8,2.35,-1+,1.625,2.81,2,1.44,2.81,1.5,1.44
1,Gremio Esportivo Brasil,Oeste,2.56,3.01,2.89,1.39,1.365,1.48,1.81,1.5,2,1.78,0,2.03,1.63,1,2.22,1.63,0.5,2.22
2,Palmeira de Goianinha,Sport Club Santa Cruz,1.62,3.24,6.9,1.088,1.32,2.22,2.04,1.5,1.78,3.55,-1.5+,1.3,3.12,1,1.35,3.12,0.5,1.35
3,Kansas City Royals,Minnesota Twins,4.34,-,1.23,-,-,-,1.888,7.5,1.955,1.74,+1.5-,2.14,2.03,2.5,1.75,2.03,4.5,1.75
4,Milwaukee Brewers,Chicago Cubs,2.048,-,1.808,-,-,-,1.88,8.5,1.96,1.52,+1.5-,2.6,2.04,3.5,1.75,2.04,4.5,1.75
5,St.Louis Cardinals,Chicago White Sox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,HFX Wanderers,Pacific,1.64,3.81,5.08,1.15,1.245,2.184,2.256,3,1.64,2.21,-1+,1.67,2.17,1.5,1.66,2.17,1,1.66
7,Osijek,Slaven Belupo,5.06,1.93,2.91,1.405,1.856,1.165,1.57,0.5,2.34,2.555,0,1.536,2.16,0.5,1.66,2.16,0.5,1.66
8,Zamalek,Misr El-Makasa,2.64,1.88,6.28,1.104,1.87,1.456,1.625,0.5,2.23,1.42,0,2.88,3.66,0.5,1.27,3.66,0.5,1.27
9,Moghreb Tetouan,Hassania Agadir,3.01,2.41,3.11,1.344,1.536,1.365,2.256,1.5,1.64,1.88,0,1.93,1.83,0.5,1.94,1.83,0.5,1.94
10,OC Safi,Youssoufia Berrechid,1.91,2.75,5.5,1.13,1.425,1.84,1.89,1.5,1.91,3.13,-1+,1.36,2.22,1,1.63,2.22,0.5,1.63
11,Odra Opole,Lech Poznan,22,8.8,1.1,6.29,1.05,-,1.85,3,1.95,1.9,+2-,1.9,1.87,0.5,1.89,1.87,2.5,1.89
12,Al Nassr,Al-Wahda Club Mecca,1.05,10.5,68,-,1.04,9.13,1.83,1.5,2.02,2.425,-1.5+,1.59,6.5,1.5,1.1,6.5,0.5,1.1
13,River Plate Montevideo,Club Nacional Montevideo,5.27,2.06,2.53,1.49,1.72,1.14,1.93,5,1.87,2.88,0,1.42,1.83,2.5,1.94,1.83,2.5,1.94
14,Spartak+,Barcelona+,-,-,-,1.23,1.06,2.32,2.14,12,1.595,-,-,-,1.98,6.5,1.7,1.98,5.5,1.7
15,Inter+,Liverpool+,1.56,5.58,3.83,1.22,1.096,2.21,1.256,8.5,3.18,-,-,-,-,-,-,-,-,-
16,Brazil (3x3),Holland (3x3),8.3,10,1.15,4.74,1.008,1.03,1.99,27,1.765,1.79,+3-,1.955,1.688,12,2.096,1.688,14.5,2.096
17,Argentina (TSL) Women,Germany (TSL) Women,1.625,8.92,2.8,1.39,1.016,2.09,1.775,18.5,1.89,1.975,-1.5+,1.83,1.848,10,1.955,1.848,8.5,1.955
18,Kyren Wilson,Ronnie O'Sullivan,12.5,-,1.03,-,-,-,-,-,-,2.05,+7.5-,1.77,-,10.5,-,-,-,-
0,Calgary Flames,Dallas Stars,5.06,4.35,1.6,2.344,1.22,1.17,2.096,4.5,1.77,-,+1-,-,1.85,1.5,1.95,-,-,-
1,Devils Team,Penguins Team,2.04,4.39,2.76,1.39,1.17,1.69,1.72,5.5,2.115,-,0,-,1.93,3,1.88,-,-,-
2,Severstal Team,Dinamo Team,2.395,6.25,1.984,1.73,1.085,1.504,1.945,7.5,1.856,-,0,-,1.91,3.5,1.89,-,-,-
0,Wuhan Zall,Chongqing Lifan,1.512,3.78,8.5,1.095,1.3,2.655,1.615,2,2.37,2.344,-1+,1.625,1.71,1.5,2.13,1.71,0.5,2.13
1,Erchim,Anduud City,1.04,14,25,-,1.008,9.03,1.845,5,1.96,2.1,-4+,1.73,-,-,-,-,-,-
2,Daejeon Citizen,Seoul E-Land,3.31,2.21,3.17,1.33,1.63,1.31,1.775,1,2.04,2.06,0,1.76,1.9,0.5,1.86,1.9,0.5,1.86
3,Blue Star,Up Country Lions,2.54,2.64,3.36,1.3,1.456,1.488,2.05,3.5,1.77,1.76,0,2.06,1.74,1.5,2.05,1.74,1.5,2.05
4,Beijing+,Shanghai+,-,-,-,-,-,-,1.83,7.5,1.97,-,-,-,2.13,5.5,1.72,2.13,2.5,1.72
5,Italy (3х3),Spain (3х3),1.32,8.52,4.81,1.144,1.035,3.075,1.864,12.5,1.936,1.9,-2+,1.9,1.725,7,2.11,1.725,5,2.11
6,Dmytro Myznikov,Dmitry Karpenko,9.11,-,1.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Borussia (Amateur),Schalke (Amateur),1.06,11.6,9.87,-,1.005,6.24,1.845,8.5,1.96,1.725,-2.5+,2.115,2.08,6,1.75,2.08,3,1.75
8,Bears (blue),Falcons (white),1.48,4.28,5.34,1.14,1.18,2.49,1.78,107.5,1.99,2.37,-1.5+,1.56,2.22,54.5,1.63,2.22,53.5,1.63
9,Zenit (Amateur),Krasnodar (Amateur),-,-,-,-,-,-,1.936,11.5,1.864,-,-,-,-,-,-,-,-,-
10,Nijmegen (Amateur),Zwolle (Amateur),2.69,5.85,1.856,1.84,1.088,1.384,2.025,6.5,1.79,2.33,0,1.605,2.06,3,1.765,2.06,3.5,1.765
11,Grify,Volki,2,7.3,2.256,1.57,1.048,1.69,2.025,10.5,1.785,2.696,-1.5+,1.384,1.575,4.5,2.18,1.575,4.5,2.18
12,BIO,GEO,1.4,5.11,5.86,1.1,1.13,2.73,1.85,4,1.95,1.7,-1+,2.15,2.145,2.5,1.704,2.145,1.5,1.704
13,Kazakhstan (3х3),Belarus (3х3),6.33,7.92,1.256,3.52,1.035,1.07,2.016,14,1.744,1.87,+2-,1.87,2.07,6,1.704,2.07,8,1.704
14,Italy (SSL),Spain (SSL),1.17,10,7.17,1.06,1.008,4.41,1.94,19,1.86,1.98,-2.5+,1.81,1.83,11,1.98,1.83,8,1.98
15,France (SSL) Women,Russia (SSL) Women,2.264,9.09,1.89,1.815,1.03,1.62,1.984,16,1.82,2.09,0,1.74,1.88,7.5,1.915,1.88,8,1.915
16,Athletic Bilbao (Amateur),Sevilla (Amateur),1.79,4.49,3.34,1.28,1.15,1.87,1.97,6,1.832,2.112,-1+,1.725,1.77,3.5,2.05,1.77,2.5,2.05
17,Belgium (TSL) Women,Russia (TSL) Women,3.432,8.91,1.46,2.58,1.01,1.248,1.77,19.5,1.895,1.9,+2-,1.9,1.775,8.5,2.045,1.775,10.5,2.045
18,Russia (TSL),Argentina (TSL),3.195,8.9,1.49,2.488,1.005,1.28,1.8,26,1.86,1.9,+2-,1.9,1.92,12,1.88,1.92,14,1.88
19,France team (Women),Germany team (Women),1.504,4.82,4.8,1.144,1.144,2.405,1.77,4,2.05,1.9,-1+,1.9,1.94,2.5,1.864,1.94,1.5,1.864
