,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
4,Nikolay Shirokov,Artem Kshenin,3.275,-,1.285,1.936,36.5,1.79,-,+3.5-,-,-,-,-,-,-,-,-,-,-
5,Nikita Kukarin,Kirill Nazarov,1.664,-,2.16,1.895,117.5,1.848,-,-5.5+,-,1.85,61.5,1.89,1.85,57.5,1.89,-,-,-
6,Ruslan Samerhanov,Stanislav Oshkin,2.07,-,1.725,1.875,118.5,1.865,-,+1.5-,-,1.86,59.5,1.88,1.86,60.5,1.88,-,-,-
7,Impuls,Fakel,1.14,-,5.75,2.032,193.5,1.784,-,-1.5+,-,2.032,97.5,1.784,2.032,96.5,1.784,-,-,-
8,Dmitriy Zaharkin,Aleksandr Kuzmichev,-,-,-,1.896,19.5,1.825,-,-4.5+,-,-,-,-,-,-,-,-,-,-
9,Infiniti,Freedom,3.57,-,1.296,1.9,185.5,1.9,-,+7.5-,-,1.84,91.5,1.96,1.84,95.5,1.96,-,-,-
10,Andrey Kondrashkin,Dmitri Popov S.,2.26,-,1.61,1.88,110.5,1.86,-,+3.5-,-,1.88,54.5,1.86,1.88,56.5,1.86,-,-,-
11,Anna Derzkova,Julia Filatova,3.16,-,1.32,1.89,108.5,1.85,-,+7.5-,-,1.875,52.5,1.864,1.875,56.5,1.864,-,-,-
12,Russia (Kung),Sweden (Kung),1.17,-,4.23,1.84,97.5,1.82,-,-3.5+,-,1.856,45.5,1.805,1.856,48.5,1.805,-,-,-
13,France (Kung),Germany (Kung),-,-,-,1.83,73.5,1.83,-,+10.5-,-,5.86,31.5,1.085,5.86,42.5,1.085,-,-,-
14,Alexander Kremnev,Alexey Kremnev,1.12,-,5.19,-,-,-,-,-4.5+,-,-,-,-,-,-,-,-,-,-
15,Yellow Brocks,Green Snakes,1.64,-,2.26,1.9,185.5,1.9,-,-0.5+,-,2.06,93.5,1.765,2.06,95.5,1.765,-,-,-
16,Ruslan Lavrentiev,Vadim Raitsov,6.01,-,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Semen Sharlay,Yuriy Maksimenko,1.304,-,3.395,1.98,23.5,1.77,-,-3.5+,-,-,-,-,-,-,-,-,-,-
18,Sirius,Hermes,3.18,-,1.355,1.89,180.5,1.91,-,+11.5-,-,1.92,85.5,1.88,1.92,95.5,1.88,-,-,-
0,Basel,Eintracht Frankfurt,3.78,3.64,1.99,1.875,1.32,1.3,2.136,2.5,1.744,2.77,0,1.47,1.89,1,1.91,1.89,1.5,1.91
1,Wolverhampton Wanderers,Olympiacos,1.26,5.2,17,1.025,1.19,4.07,1.83,2.5,2.016,1.995,-1.5+,1.85,1.84,2,1.97,1.84,0.5,1.97
2,Minnesota Twins,Pittsburgh Pirates,1.15,-,5.79,-,-,-,1.88,10.5,1.96,2.14,-2.5+,1.74,1.82,6.5,1.95,1.82,3.5,1.95
3,San Francisco Giants,Colorado Rockies,2.496,-,1.56,-,-,-,1.96,11.5,1.88,1.88,+1.5-,1.96,2.04,4.5,1.75,2.04,6.5,1.75
4,Texas Rangers,Oakland Athletics,2.55,-,1.54,-,-,-,1.85,8.5,2,1.85,+1.5-,2,1.81,3.5,1.95,1.81,4.5,1.95
5,Zamalek,Al-Masry,1.18,5.57,23,-,1.13,4.52,1.965,1.5,1.84,1.57,-1+,2.41,3.49,1.5,1.29,3.49,0.5,1.29
6,Lundby IF,Goteborg FF,-,-,-,-,-,-,1.79,8,2.03,1.85,-3+,1.96,2.05,5.5,1.74,2.05,2.5,1.74
7,Vikingur Gota,Havnar Boltfelag,30,8.33,1.09,9.46,1.048,-,2.24,3.5,1.65,1.37,+1.5-,3.08,3.13,1.5,1.34,3.13,2.5,1.34
8,EB Streymur,KI Klaksvik,-,-,-,-,-,-,2.05,6.5,1.77,1.49,+6.5-,2.62,2.43,0.5,1.53,2.43,6.5,1.53
9,St John Bosco,Templeogue United,25,5.42,1.18,4.48,1.136,-,2.5,3.5,1.535,1.83,+1-,1.98,4.02,1.5,1.23,4.02,2.5,1.23
10,St. Mochta's,Home Farm,1.01,24,27,-,-,-,1.73,6,2.11,1.83,-4+,1.98,1.94,5,1.83,1.94,1,1.83
11,Usher Celtic,Rush Athletic,2.54,3.15,2.79,1.415,1.336,1.488,1.94,2,1.86,1.83,0,1.98,2.12,1,1.69,2.12,1,1.69
12,St. Francis,Corduff,1.6,4.58,4.41,1.19,1.18,2.26,1.92,5,1.88,2.03,-1+,1.78,1.99,3,1.78,1.99,2,1.78
13,Ajax+,Zenit+,2.24,6,2.136,1.63,1.095,1.575,1.995,9,1.81,1.945,0,1.856,2.005,4.5,1.808,2.005,4.5,1.808
14,Liverpool+,Juventus+,2.3,6.5,2.03,-,-,-,1.895,8,1.904,2.03,0,1.784,1.875,4,1.925,1.875,4,1.925
15,Atletico (4х4),Tottenham (4х4),2.205,5.75,2.205,1.592,1.1,1.592,1.97,8.5,1.832,1.9,0,1.9,1.775,4,2.04,1.775,4,2.04
