0,Zamalek SC,Al Ahly,,,,,,,,,,,4.5,9.00,1.06,
1,HUSA Agadir,CAYB Berrechid,1.80,3.10,4.80,1.15,1.32,1.90,-1.5,3.50,+1.5,1.25,2.5,2.35,1.52,+192
2,Olimpique De Safi,Rapide Oued Zem,1.97,2.90,4.40,1.17,1.35,1.73,-1.5,4.80,+1.5,1.14,1.5,1.65,2.10,+180
3,Botafogo SP,Figueirense,36.00,4.20,1.22,3.85,1.19,,+1.5,1.13,-1.5,5.10,1.5,2.15,1.62,+65
4,Nautico Capibaribe,Juventude Caxias do Sul,27.00,4.90,1.19,4.15,1.14,,+1.5,1.30,-1.5,3.15,5.5,1.68,2.05,+59
5,Ferroviario,Vila Nova,1.40,3.55,11.50,1.01,1.25,2.75,-1.5,3.10,+1.5,1.32,2.5,2.50,1.47,+102
6,Nauas,Atletico Acreano,6.20,3.75,1.53,2.35,1.23,1.09,+1.5,1.40,-1.5,2.75,3.5,1.60,2.20,+104
7,Forge,Pacific,2.65,2.70,3.00,1.35,1.40,1.42,-1.5,6.10,+1.5,1.09,3.5,1.82,1.88,+100
8,Cerro Porteno,12 de Octubre,1.13,7.60,19.00,,1.07,5.50,-1.5,1.60,+1.5,2.25,2.5,1.55,2.35,+176
9,Penarol,CA Rentistas,1.28,4.80,13.00,1.01,1.17,3.50,-1.5,2.15,+1.5,1.67,2.5,1.75,2.00,+173
10,Lille (Fleshka77),Monaco (Baphomet),2.85,2.65,2.85,1.37,1.42,1.37,0,1.85,0,1.85,3.5,2.08,1.65,
11,PSG (Supernova),Olympique Lyonnais (Skripp),3.00,2.65,2.70,1.40,1.42,1.35,+1.5,1.09,-1.5,6.10,1.5,1.85,1.85,+35
12,Chetyre Ledokola,Six Trolls,1.33,4.20,13.00,1.01,1.20,3.20,-1.5,2.75,+1.5,1.42,4.5,2.35,1.57,+14
13,Anaheim (Procha-sukromka5),New Jersey Dev.(berg_2394),2.30,7.50,1.95,1.75,1.06,1.55,+1.5,1.43,-1.5,2.65,5.5,2.00,1.72,+120
14,Miami Heat,Indiana Pacers,1.04,,11.00,,,,-15.5,1.90,+15.5,1.90,237.5,1.87,1.93,+22
15,Chicago (w),Indiana (w),1.21,,3.90,,,,-9.5,1.85,+9.5,1.85,169.5,1.85,1.85,+24
16,Las Palmitas,Las Ferias,3.30,,1.28,,,,+6.5,1.80,-6.5,1.90,89.5,1.83,1.87,+8
17,GOLDEN STATE WARRIORS (IAMDEVILWALK),Los Angeles Clippers (Tranquil),,,,,,,,,,,,,,
18,PORTLAND TRAIL BLAZERS (ZO0M),Dallas Mavericks (Aphex),,,,,,,-13.5,1.87,+13.5,1.83,118.5,1.90,1.80,
19,Pit Pirates,Mil Brewers,1.65,,2.10,,,,-1.5,2.50,+1.5,1.47,7.5,2.00,1.72,+20
20,Oak Athletics,Los Angeles Angels,4.40,,1.17,,,,+3.5,1.82,-3.5,1.88,11.5,1.80,1.90,+17
21,Ruslan Fayfer,Alexey Papin,1.95,18.00,1.95,,,,,,,,10.5,1.37,2.85,+2
22,forZe,Gambit Youngsters,,,,,,,,,,,,,,
23,FURIA Esports,Gen.G,1.10,,5.90,,,,-5.5,1.96,+5.5,1.75,59.5,1.84,1.86,
24,MAJESTY,The Dice,4.50,,1.17,,,,,,,,,,,
25,Atlanta FaZe,Chicago Huntsmen,1.65,,2.10,,,,,,,,,,,
