0,Anji Makhachkala,Krasnodar-3,10.00,3.50,1.45,2.55,1.25,1.02,+1.5,1.12,-1.5,5.30,1.5,1.62,2.15,+84
1,Borussia Dortmund,Sc Paderborn 07,1.20,6.00,14.00,,1.11,4.30,-1.5,1.80,+1.5,1.95,3.5,2.50,1.50,+156
2,Feyenoord,Hamburger,2.70,3.25,2.50,1.47,1.30,1.40,+1.5,1.15,-1.5,4.80,1.5,1.48,2.45,+183
3,Tottenham,Reading,1.25,6.10,9.50,1.04,1.11,3.75,-1.5,1.70,+1.5,2.10,3.5,1.97,1.77,+199
4,Istanbul Basaksehir U19,Umraniyespor U19,,,,,,,-2.5,3.50,+2.5,1.25,2.5,2.25,1.58,+10
5,Arsenal Dzerzhinsk,Smolevichi-STI,3.50,1.52,7.20,1.06,2.35,1.25,0,1.40,0,2.70,2.5,1.92,1.78,+62
6,Vilnius BFA B,Vidzgiris,1.16,7.40,11.50,1.01,1.06,4.60,-1.5,1.57,+1.5,2.25,3.5,1.75,1.95,+2
7,Olimpia Zambruw,Ruch Wysokie Mazowieckie,2.35,3.60,2.60,1.45,1.25,1.53,-1.5,4.90,+1.5,1.14,2.5,1.87,1.83,+200
8,Tek Sloga,Radnicki Obrenovac,2.20,3.55,2.90,1.35,1.25,1.60,-1.5,4.40,+1.5,1.17,2.5,1.85,1.85,+203
9,Chaika Vyshgorod,Polissya Zhytomyr,5.40,3.35,1.67,2.07,1.28,1.12,+1.5,1.30,-1.5,3.30,1.5,1.55,2.25,+23
10,Karpaty Halych,Niva Ternopol,7.50,3.50,1.50,2.40,1.25,1.06,+1.5,1.42,-1.5,2.65,1.5,1.48,2.45,+187
11,Kuala Lumpur,UKM Malaisia,1.13,6.80,19.00,,1.07,5.10,-1.5,2.80,+1.5,1.38,1.5,1.80,1.90,+72
12,Negeri Sembilan,Terengganu-2,5.90,1.65,3.25,1.30,2.10,1.10,0,2.55,0,1.45,0.5,1.90,1.80,+80
13,Felda United,UiTM,12.00,4.10,1.33,3.05,1.19,,+1.5,1.18,-1.5,4.30,1.5,1.72,2.00,+80
14,Pahang,Johor Darul Takzim,33.00,5.50,1.15,4.70,1.11,,+1.5,1.35,-1.5,3.00,5.5,1.75,1.95,+60
15,Perak,Melaka United,10.00,4.00,1.35,2.95,1.20,1.02,+1.5,1.17,-1.5,4.50,1.5,1.70,2.02,+80
16,Bunyodkor,Qizilqum,1.13,7.10,18.00,,1.06,5.10,-1.5,1.67,+1.5,2.08,2.5,1.88,1.82,+110
17,Navbahor Namangan,Kokand,3.65,2.25,2.75,1.40,1.57,1.25,+1.5,1.05,-1.5,8.00,1.5,2.65,1.42,+152
18,Sogdiana Jizzakh,Termez Surkhon,2.25,2.75,3.65,1.25,1.40,1.57,-1.5,4.90,+1.5,1.14,1.5,1.67,2.07,+93
19,Metallourg Bekabad U21,Mashal U21,2.55,1.80,7.40,1.06,1.90,1.45,0,1.28,0,3.35,2.5,1.80,1.90,+4
20,Zelenie Berety,Krasnie Maki,1.46,3.80,7.50,1.06,1.22,2.52,-1.5,2.60,+1.5,1.44,6.5,1.55,2.30,+16
21,Man.United (mooneycb),Ajax (dm1trena),2.35,2.70,3.50,1.25,1.40,1.53,-1.5,5.10,+1.5,1.13,1.5,1.50,2.40,+75
22,Valencia (Olle),Porto (TAKA),2.55,2.95,2.85,1.37,1.35,1.45,0,1.75,0,1.95,2.5,1.82,1.88,+7
23,Urazbakhtin (DAG) Milan,Ordinartsev (frZ) Real,6.30,3.95,1.50,2.40,1.20,1.08,+1.5,1.38,-1.5,2.80,2.5,1.62,2.15,+60
24,PSG (FEARGGWP),Napoli (Flewless_phoenix),90.00,10.00,1.04,8.50,1.02,,+1.5,3.40,-1.5,1.27,2.5,1.75,1.95,+25
25,RB Leipzig (Totti),Ajax (Diablo),1.45,5.10,5.10,1.13,1.13,2.55,-2.5,2.10,+2.5,1.65,3.5,1.65,2.10,+2
26,Porto (Nrek),Inter M (Tigo),2.60,5.00,2.00,1.72,1.13,1.45,+1.5,1.33,-1.5,3.00,5.5,1.70,2.02,
27,Arsenal (Aventon),MANCHESTER UNITED (OLOM),3.25,1.80,4.70,1.15,1.90,1.30,0,1.58,0,2.25,2.5,1.68,2.05,+7
28,Bayer L (Specialist),Inter M (OoLancer),100.00,7.60,1.06,7.30,1.05,,+1.5,1.40,-1.5,2.80,3.5,2.00,1.72,+4
29,SEVILLA (Spursmax),Porto (Oliver),,,,,,,+4.5,1.42,-4.5,2.65,4.5,1.55,2.30,+23
30,Wolverhampton Wanderers (Den1Bravo),Borussia Monchengladbach (Kit),9.00,3.95,1.40,2.75,1.20,1.03,+1.5,1.19,-1.5,4.10,1.5,1.57,2.25,
31,K-Vantaa,Dynamo Riga,15.00,8.50,1.13,5.50,1.05,,+2.5,1.90,-2.5,1.85,5.5,2.20,1.63,+93
32,Dizelist,Hockey Academy Mikhailov,1.60,4.20,4.60,1.16,1.19,2.20,-1.5,2.12,+1.5,1.64,3.5,1.95,1.75,+105
33,HS Riga,HK Riga,6.50,2.40,2.00,1.75,1.55,1.10,+1.5,1.33,-1.5,3.20,3.5,2.00,1.75,+62
34,Sokol Krasnoyarsk,Ermak,,,,,,,,,,,,,,
35,Lada,Yuzny Ural,1.43,5.30,5.60,1.13,1.14,2.70,-1.5,1.80,+1.5,1.95,5.5,1.90,1.85,+186
36,Krasnyye Krylya,Ershistye Tigry,2.90,3.15,2.45,1.52,1.33,1.40,0,2.05,0,1.75,6.5,2.25,1.60,+40
37,Prsherov U20,Kromeriz U20,1.68,4.30,3.95,1.20,1.18,2.05,-1.5,2.05,+1.5,1.68,5.5,2.10,1.65,+118
38,Chrudim U20,Havlickov Brod U20,1.75,5.20,3.20,1.30,1.13,1.95,-1.5,2.18,+1.5,1.61,6.5,1.90,1.80,+165
39,Gladiators Trnava U20,Skalica U20,1.70,5.30,3.25,1.30,1.12,2.02,-1.5,2.25,+1.5,1.55,8.5,2.10,1.65,+157
40,Washington (Dmitry_gavr13),Anaheim (Procha-sukromka5),1.50,6.60,3.90,1.20,1.08,2.40,-1.5,1.77,+1.5,1.93,6.5,1.80,1.90,+120
41,Shabalin (NBF) Chicago Bl.,Mitrakov (D1S) Colorado,,,,,,,,,,,,,,
42,Switzerland (Aphex),Poland (RedDevil),1.04,,,,,9.50,-2.5,1.65,+2.5,2.10,5.5,1.12,5.40,+4
43,Belarus (JET),Italy (Zazabak),,,,,,,+4.5,2.20,-4.5,1.60,7.5,1.50,2.45,+40
44,Leningrad,Drakons,1.85,,1.85,,,,-1.5,1.95,+1.5,1.75,188.5,1.85,1.85,+8
45,Guizhou Tongkang Law Firm,Jialin Building Materials,1.31,,3.15,,,,-5.5,1.83,+5.5,1.87,79.5,1.80,1.90,+8
46,Energia Ivanovo (w),Dynamo-Farm Kursk (w),4.70,,1.15,,,,+10.5,1.90,-10.5,1.80,121.5,1.80,1.90,+8
47,Zalgiris (Ash),Panathinaikos (JoKeR),1.50,,2.40,,,,-3.5,1.87,+3.5,1.83,108.5,1.87,1.83,+6
48,Toronto Raptors (Shiva),Boston Celtics (ZOD),4.90,,1.14,,,,+8.5,1.92,-8.5,1.78,116.5,1.90,1.80,+6
49,Philadelphia 76ers (HURRICANE),Atlanta Hawks (SLAMDUNKVV),1.75,,1.95,,,,-1.5,1.90,+1.5,1.80,119.5,1.80,1.90,+6
50,Los Angeles Lakers (Flame),Boston Celtics (Della),1.09,,6.10,,,,-13.5,1.80,+13.5,1.90,188.5,1.85,1.85,+6
51,Brooklyn Nets (Ellka),Dallas Mavericks (Sally),,,,,,,-15.5,1.80,+15.5,1.90,198.5,1.90,1.80,+6
52,Utah Jazz (Answer2208),Memphis Grizzlies (aLikan_),,,,,,,-36.5,1.80,+36.5,1.90,136.5,1.87,1.83,+6
53,Mosonmagyarovari KCSE (w),Vasas SC (w),,,,,,,-12.5,1.90,+12.5,1.80,55.5,1.82,1.88,+10
54,Hellvig/Ahman,Grimalt M/Grimalt E,5.70,,1.10,,,,+8.5,1.82,-8.5,1.88,77.5,1.87,1.83,+2
55,Tsitron (w),Gorchitsa (w),,,,,,,,,,,,,,
56,Spartak Varna,Vereya,1.14,,,,,4.90,-3.5,2.00,+3.5,1.72,9.5,1.93,1.77,+20
57,Bulava,Bogatyri,1.68,18.00,2.15,,,,-1.5,1.83,+1.5,1.87,39.5,1.83,1.87,+18
58,Ireland (JohnnySize),Japan (Elgy),10.00,20.00,1.06,,,,+15.5,1.90,-15.5,1.80,38.5,1.90,1.80,+20
59,LG Twins,KT Wiz,,,,,,,,,,,,,,
60,ESPADA,Dignitas,1.09,,6.00,,,,,,,,,,,
61,G2 Esports,OG,1.22,,3.85,,,,,,,,,,,+3
62,Team Liquid,FlyToMoon,1.75,,1.95,,,,,,,,,,,
63,Electrify Esports,ACT,2.35,4.10,2.35,,,,-2.5,3.05,+2.5,1.33,11.5,2.08,1.65,+17
