,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
164,0,Khimki-2,Sakhalin,1.45,4.3,6.4,1.08,1.18,2.55,-1.5,2.55,1.5,1.45,3.5,2.5,1.47,185.0
165,1,Shanghai Shenhua,Dalian Yifang,1.45,4.2,6.8,1.09,1.2,2.65,-1.5,2.65,1.5,1.45,2.5,1.52,2.45,179.0
166,2,Brisbane Roar FC,Sydney FC,3.15,2.7,2.75,1.45,1.47,1.35,1.5,1.12,-1.5,6.4,3.5,1.97,1.83,165.0
167,3,Tallebudgera Valley FC,Robina City 2 Sunday,,,,,,,-7.5,1.65,7.5,2.1,7.5,1.5,2.4,2.0
168,4,Jeju United,Asan Mugunghwa,1.53,3.9,5.9,1.1,1.2,2.35,-1.5,2.55,1.5,1.45,2.5,2.05,1.68,192.0
169,5,Kataller Toyama,SC Sagamihara,1.04,11.0,50.0,,1.01,8.5,-2.5,2.35,2.5,1.52,3.5,1.98,1.72,94.0
170,6,Defenders,Super Sun,1.04,18.0,18.0,,,8.5,-3.5,2.3,3.5,1.55,4.5,2.0,1.72,125.0
171,7,Ryzhiye Lisy,Sinie Ptitsy,3.5,2.35,2.75,1.4,1.52,1.26,0.0,2.07,0.0,1.67,7.5,2.0,1.72,12.0
172,8,Gumi Sportstoto (w),Boeun Sangmu (w),1.14,5.6,36.0,,1.11,4.9,-1.5,3.6,1.5,1.25,1.5,2.05,1.68,8.0
173,9,Seoul Amazones (w),Gyeongiu KHNP (w),11.5,1.8,2.3,1.55,1.9,1.01,1.5,1.07,-1.5,6.7,2.5,1.75,1.95,10.0
174,10,Suwon (w),Hwacheon KSPO (w),12.5,3.45,1.4,2.75,1.25,,1.5,1.09,-1.5,6.0,1.5,1.83,1.87,12.0
175,11,JEF United Chiba (w),Ehime (w),2.9,1.58,10.0,1.02,2.25,1.35,0.0,1.23,0.0,3.75,0.5,2.2,1.6,10.0
176,12,Man. City (mooneycb),Liverpool (slezaintima),2.3,2.85,3.35,1.28,1.37,1.55,-1.5,5.0,1.5,1.13,2.5,2.25,1.57,92.0
177,13,Arsenal L (Olle),Man.United (dm1trena),2.85,2.4,3.25,1.3,1.5,1.37,-1.5,5.6,1.5,1.11,2.5,2.1,1.65,91.0
178,14,Bayern (Tigo),Piemonte Calcio (Paulo),1.75,3.4,4.5,1.16,1.27,1.95,0.0,1.3,0.0,3.15,3.5,1.55,2.3,
179,15,Man. City (Harry),Atletico M (Nrek),1.25,5.3,11.5,1.01,1.12,3.55,-1.5,1.93,1.5,1.77,2.5,1.5,2.4,
180,16,Napoli (HovHar),Liverpool (Archi),2.02,3.0,3.9,1.2,1.35,1.7,0.0,1.43,0.0,2.65,1.5,1.75,1.95,
181,17,Feyenoord (Dimqaa),CSKA M (Praym),1.37,4.3,8.5,1.04,1.18,2.85,-1.5,2.7,1.5,1.4,2.5,1.95,1.75,
182,18,Roma (Fasqer),Wolverhampton (Skmgery),,,1.02,15.0,,,2.5,2.2,-2.5,1.6,5.5,1.75,1.95,45.0
183,19,Neftekhimik,Severstal,2.3,3.7,2.75,1.42,1.25,1.58,-1.5,3.6,1.5,1.27,3.5,1.93,1.83,174.0
184,20,Sputnik Almetyevsk,Stalnye Lisy,,,,,,,-3.5,2.7,3.5,1.43,4.5,1.85,1.9,58.0
185,21,Neftyanik Almetyevsk,Udmurtiya,1.45,5.0,5.8,1.12,1.15,2.65,-1.5,1.87,1.5,1.88,3.5,1.75,2.0,116.0
186,22,Proletarians of Hockey,Belye Ldiny,,,,,,,,,,,,,,
187,23,Zolin (PGM) N-Y Rangers,Davydov (ILY) Arizona,,,,,,,,,,,,,,
188,24,Toronto (nazar4ik99),Boston Bruins (Joker),1.33,3.6,18.0,,1.25,3.05,-1.5,3.8,1.5,1.22,5.5,1.65,2.1,27.0
189,25,Anadolu Efes (Fosters23),Zenit (BLM_Mamba),2.3,,1.55,,,,1.5,1.92,-1.5,1.78,112.5,1.83,1.87,6.0
190,26,Golden State Warriors (Siegfried),Portland Trail Blazers (BoBBY),,,,,,,9.5,1.75,-9.5,1.95,129.5,1.9,1.8,6.0
191,27,Dallas Mavericks (SLAMDUNKVV),Houston Rockets (Spenish),,,,,,,-17.5,2.03,17.5,1.7,,,,
192,28,Atlanta Hawks (Galka_khv),Houston Rockets (Dokto_rmom),1.55,,2.3,,,,-3.5,1.85,3.5,1.85,105.5,1.85,1.85,6.0
193,29,Scotland (Elgy),France (GenaBukin),,,,,,,,,,,52.5,1.4,2.72,
194,30,Hiroshima Carp,Chunichi Dragons,,,,,,,0.0,1.05,0.0,7.9,6.5,1.7,2.02,25.0
195,31,Yokohama Baystars,Hanshin Tigers,,,,,,,0.0,1.15,0.0,4.7,7.5,1.9,1.8,22.0
196,32,Galaxy Racer Esports,lvlUP,,,,,,,,,,,,,,
197,33,AVANT,Paradox,1.43,,2.6,,,,,,,,,,,
198,34,Neon Esports,496 Gaming,,,,,,,,,,,,,,
