0,Incheon KAL Jumbos,Seoul Woori Card Hansae,1.27,-,3.89,1.95,180.5,1.89,1.89,-9.5+,1.95,1.88,94.5,1.88,1.88,84.5,1.88,-,-,-,,,,,
1,Hubei,Tianjin,1.15,-,5.71,2.13,187.5,1.75,3.89,-9.5+,1.27,2.09,98.5,1.71,2.09,89.5,1.71,-,-,-,,,,,
2,Stefan Palosi,Henri Squire,2.82,-,1.43,1.9,20.5,1.9,1.96,+3.5-,1.85,1.85,10.5,1.85,2.09,12.5,1.66,-,-,-,,,,,
3,Abedz,Padideh Javan,2.08,3.72,3.12,2.01,2.5,1.8,1.62,0,2.29,1.99,1.5,1.78,1.74,1,2.04,,,,1.256,1.34,1.704,,
4,Anna Depenau,Natalia Siedliska,15,-,1.01,1.95,15.5,1.85,1.98,+8.5-,1.83,1.89,3.5,1.81,4.31,12.5,1.18,-,-,-,,,,,
5,Ekaterina Makarova Vl.,Charlotte Klasen,1.3,-,3.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
6,Lisa Matviyenko,Elena-Teodora Cadar,2.24,-,1.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
7,Hyundai Group,Samsung Communications,-,-,-,1.94,113.5,1.81,1.89,-23.5+,1.85,1.91,68.5,1.76,1.81,44.5,1.85,-,,-,,,,-,
8,Semyon Rakov,Andrey Sokolov,8.13,-,1.05,1.875,31.5,1.845,1.64,+8.5-,2.145,-,-,-,-,-,-,-,-,-,,,,,
9,Switzerland Team,USA Team,1.18,8.46,8.65,1.8,10.5,1.98,1.752,-2+,2.075,2.06,6.5,1.77,,,,-,,-,1.04,1.035,4.27,,-
10,Severstal Team,Jokerit Team,-,-,-,1.68,6,2.18,1.9,+3-,1.9,1.78,1.5,2.04,,,,-,,-,-,-,-,,-
11,Dmitriy Tsibikdorzhiev,Sergei Shmelyov,2.008,-,1.77,1.848,108.5,1.896,1.912,+4.5-,1.83,1.856,53.5,1.885,1.9,57.5,1.84,-,-,-,,,,,
12,Gremio+,Flamengo+,2.4,4.04,2.4,1.715,5,2.125,1.9,0,1.9,1.9,2.5,1.9,1.9,2.5,1.9,,,,1.184,1.504,1.48,,
13,Titan (White),Wolfs (Black),2.07,10,1.848,1.92,90.5,1.88,1.86,+1.5-,1.94,1.81,44.5,1.89,1.82,45.5,1.88,-,,-,,,,-,
14,Fakel (4х4),Lokomotiv (4x4),1.085,-,7.69,1.82,89.5,1.985,1.864,-10.5+,1.936,2.664,50.5,1.47,1.82,39.5,1.985,-,-,-,,,,,
15,China (3х3),Thailand (3х3),1.016,10.1,14.1,1.97,14.5,1.832,1.885,-3.5+,1.896,2.13,9.5,1.7,2.13,5.5,1.7,,,,-,-,10,,
16,Real (4х4),Barcelona (4х4),1.016,10.1,13.7,1.87,8,1.93,1.94,-2.5+,1.85,1.99,5.5,1.82,1.81,2.5,2,,,,-,-,10,,
17,Manchester United (4х4),Juventus (4х4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,
18,Nets,Raptors,2.585,10.5,1.59,1.92,56.5,1.88,1.86,+3.5-,1.94,1.83,26.5,1.87,1.81,29.5,1.89,-,,-,,,,-,
19,Peresmeshniki,Strazhy Galaktiki,-,-,-,1.93,8.5,1.87,-,-,-,2.38,2.5,1.58,,,,-,,-,-,-,-,,-
20,Golden Knights,City Devils,4.85,8.5,1.32,1.936,16.5,1.864,1.9,+2-,1.9,1.775,7,2.04,,,,-,,-,1.035,3.09,1.144,,-
21,Ural Riders,Ural University,-,-,-,1.84,133.5,1.965,1.95,-16.5+,1.85,10.1,75.5,1.005,1.84,58.5,1.965,-,-,-,,,,,
22,Skyline (Women),Astra (Women),2.645,-,1.48,1.896,201.5,1.904,1.875,-2.5+,1.925,1.87,103.5,1.93,1.96,97.5,1.845,-,-,-,,,,,
23,Borussia (Amateur),Bayern (Amateur),4.71,5.24,1.475,1.752,6.5,2.07,2.01,+1-,1.8,1.69,2.5,2.17,2.16,4,1.696,,,,1.11,2.48,1.136,,
24,Dmitriy Zaharkin,Denis Lukyanov,-,-,-,1.85,18.5,1.87,1.784,-5.5+,1.944,-,-,-,-,-,-,-,-,-,,,,,
25,Tishin/Usevich,Klinkov/Novikov,2.205,-,1.61,1.81,23.5,1.91,1.93,+1.5-,1.792,-,-,-,-,-,-,-,-,-,,,,,
26,Switzerland (Amateur),USA (Amateur),2.696,3.045,2.62,2.04,6,1.78,1.925,0,1.875,2.06,3,1.76,,,,-,,-,1.33,1.43,1.408,,-
27,Maxim Knyazkin,Dmitri Popov S.,4.9,-,1.145,1.89,75.5,1.85,1.664,+7.5-,2.13,1.86,34.5,1.885,1.832,39.5,1.91,-,-,-,,,,,
28,Ural (Amateur),Spartak (Amateur),-,-,-,1.92,7.5,1.88,1.19,+2-,3.67,2.13,3.5,1.712,1.86,4,1.94,,,,-,-,-,,
29,Semen Sharlay,Mark Pashukevich,1.89,-,1.91,2.24,26.5,1.65,1.888,+0.5-,1.912,-,-,-,-,-,-,-,-,-,,,,,
30,Ozon,Stellar,2.7,10,1.56,1.92,124.5,1.88,1.89,+3.5-,1.91,1.86,60.5,1.84,1.79,63.5,1.91,-,,-,,,,-,
