0,Sven Happek,Dauud Cheaib,10.5,-,1.04,2.01,53.5,1.8,2.15,+13.5-,1.7,2.03,20.5,1.75,2.25,33.5,1.62,-,-,-,,,,,
1,Veronika Melkueva,Anastasiya Sharyi,2.07,-,1.72,1.85,120.5,1.895,1.86,+5.5-,1.88,1.805,58.5,1.94,1.875,63.5,1.865,-,-,-,,,,,
2,Severstal Team,Jokerit Team,2.04,6.15,2.33,1.775,7,2.045,1.78,0,2.035,1.81,3.5,1.995,,,,-,,-,-,1.09,1.53,1.69,
3,Dmitriy Tsibikdorzhiev,Evgeny Permyakov,4.41,-,1.175,1.832,109.5,1.905,1.875,+11.5-,1.864,1.89,50.5,1.85,1.92,60.5,1.825,-,-,-,,,,,
4,Argentina+,Mexico+,-,-,-,1.616,8.5,2.112,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
5,Sao Paulo+,Gremio+,2.37,6.04,2.03,1.83,5.5,1.975,2.06,0,1.765,2.12,3,1.61,1.91,3,1.89,,,,,1.1,1.67,1.475,
6,Ded (Yellow),Che (Blue),2.69,8.51,1.65,2.19,18.5,1.68,-,-,-,1.94,8.5,1.77,-,-,-,-,,-,,,,,-
7,Amur (Blue),Bulls (Green),1.35,9,3.31,1.98,35.5,1.82,1.84,-3.5+,1.97,1.75,20.5,1.96,1.98,16.5,1.74,-,,-,,,,,-
8,Fakel (4х4),Lokomotiv (4x4),3.68,-,1.28,1.95,95.5,1.856,1.744,+7.5-,2.085,1.95,44.5,1.856,1.936,50.5,1.864,-,-,-,,,,,
9,Real (4х4),Barcelona (4х4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,
10,Juventus (4х4),Borussia (4х4),2.04,5.71,2.405,1.755,8,2.07,1.752,0,2.07,1.765,4,2.056,1.97,4,1.832,,,,,1.104,1.504,1.76,
11,Peresmeshniki,Strazhy Galaktiki,-,-,-,1.96,6.5,1.845,-,-,-,1.91,3,1.888,,,,-,,-,-,-,-,-,
12,Elevation,Ural Academy,3.8,-,1.265,1.9,178.5,1.9,2.1,+10.5-,1.736,1.9,84.5,1.9,1.955,92.5,1.848,-,-,-,,,,,
13,Magnum (Women),Skyline (Women),2.825,-,1.43,1.91,187.5,1.89,1.89,+2.5-,1.91,1.81,97.5,2,1.96,95.5,1.845,-,-,-,,,,,
14,Angels (Women),Foxes (Women),2.22,7.13,1.97,1.77,70.5,2.01,1.46,+1.5-,2.56,2,35.5,1.77,1.83,35.5,1.93,,,,,1.08,1.74,1.59,
15,Aces (Women),Storm (Women),2.21,11.3,1.755,1.9,70.5,1.9,1.83,+2.5-,1.98,1.87,34.5,1.83,1.93,36.5,1.78,-,,-,,,,,-
16,Dmitriy Klinkov,Alexander Tishin,3,-,1.33,1.51,29.5,2.425,2.35,+1.5-,1.54,-,-,-,-,-,-,-,-,-,,,,,
17,Viktoria Glotova,Maria Kozlova,1.215,-,3.75,1.912,20.5,1.81,2.005,-4.5+,1.736,-,-,-,-,-,-,-,-,-,,,,,
18,Switzerland (Amateur),USA (Amateur),1.184,7.76,9.13,1.89,8,1.905,1.9,-2+,1.9,1.85,5,1.95,,,,-,,-,-,1.05,1.03,4.19,
