0,Riteriai,Derry City,6.2,1.5,4.68,1.22,2.704,1.145,2.53,4.5,1.544,2.24,0,1.68,4.43,2.5,1.21,3.55,2.5,1.3,,,,
1,Arsenal Tula,Khimki,1.87,3.56,4.4,1.24,1.325,1.995,1.775,2,2.09,2.735,-1+,1.48,2.18,1.5,1.68,1.68,0.5,2.18,,,,
2,SKA Saint Petersburg,Kunlun Red Star,1.17,6.47,15.9,-,1.1,4.6,1.76,4,1.95,1.98,-2.5+,1.83,2.2,3.5,1.64,,,,-,-,-,
3,Black Leopards,SuperSport United,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
4,Angered BK,Falkoping,1.18,7.05,16.5,1.01,1.1,4.94,1.94,3,1.9,1.82,-1.5+,2.03,2.22,2.5,1.66,1.87,0.5,1.93,,,,
5,Halmia,Lindome,2.52,3.63,2.62,1.495,1.29,1.53,2.11,3,1.76,1.896,0,1.944,2.02,1.5,1.79,2.02,1.5,1.79,,,,
6,Enkopings,IFK Haninge,6.65,4.43,1.48,2.664,1.21,1.11,1.7,4,2.15,2.144,+1-,1.74,2.05,1.5,1.77,1.77,2.5,2.05,,,,
7,S.L. Benfica U19,Real Madrid U19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
8,Central Espanol,Albion Montevideo,2.46,3.21,2.85,1.4,1.325,1.515,1.925,2,1.875,1.78,0,2.03,2.1,1,1.7,2.38,1,1.56,,,,
9,Karen Khachanov(11),Roberto Bautista-Agut(8),1.49,-,2.704,,,,1.92,24.5,1.92,1.864,-2.5+,1.975,1.69,12.5,2.12,1.88,12.5,1.88,,-,-,-
10,Johnson/Krajicek,Kubot/Melo(2),1.85,-,2,,,,1.27,18.5,3.89,1.864,+0.5-,1.975,2.03,9.5,1.75,1.83,9.5,1.94,,-,-,-
11,Jessica Pegula(LL),Aryna Sabalenka(5),2.555,-,1.536,,,,1.975,21.5,1.864,1.864,+3.5-,1.975,1.83,11.5,1.94,2.03,12.5,1.75,,-,-,-
12,Johanna Konta(8),Vera Zvonareva(Q),1.24,-,4.23,,,,1.79,22.5,2.07,1.864,-3.5+,1.975,1.75,12.5,2.03,1.75,9.5,2.03,,-,-,-
13,Carter/Stefani,Perez/Sanders,4.2,-,1.24,,,,2.02,20.5,1.83,1.85,+4.5-,2,1.81,8.5,1.96,3.01,12.5,1.37,,-,-,-
