14,Jokipojat,Dinamo Riga,6.2,1.63,3.55,1.3,2.3,1.12,2.3,0.5,1.63,-,-,-,-,-,-,,,,-,-,-,
15,Rytiri Kladno,Slavia Praha,1.22,4.67,29,-,1.175,4.04,1.645,5.5,2.25,2.3,-1.5+,1.62,2.03,3.5,1.75,,,,-,-,-,
16,Benatky nad Jizerou,Baník Sokolov,1.02,18.9,26,-,-,9,1.985,9.5,1.82,2.16,-3.5+,1.7,2.23,6.5,1.62,,,,-,-,-,
17,Dukla Trencin,36 Skalica,-,-,-,-,-,-,2.08,7.5,1.75,1.73,-3.5+,2.11,1.88,5.5,1.88,,,,-,-,-,
18,Slovan Usti nad Labem,Stadion Vrchlabí,1.47,3.84,7.88,1.064,1.24,2.59,2.14,5,1.63,1.656,-1+,2.09,2.045,3,1.7,,,,-,-,-,
19,Frýdek-Místek,Horacka Slavia Trebic,2.38,3.03,3.13,1.34,1.36,1.545,2.01,10.5,1.8,1.68,0,2.19,2.19,5.5,1.65,,,,-,-,-,
20,AZ Havirov,Unia Oswiecim,2.27,2.72,3.83,1.245,1.43,1.595,1.97,4,1.74,1.54,0,2.47,1.61,2,2.175,,,,-,-,-,
21,Bobri Valasske Mezirici,Novy Jicin,-,-,-,-,-,-,2.275,7.5,1.63,1.536,-4+,2.325,1.675,5.5,2.11,,,,-,-,-,
22,Havlickuv Brod,Kolín,17,10,-,17,-,-,2.256,9.5,1.64,1.8,+3.5-,2.01,2.36,3,1.525,,,,-,-,-,
23,Dukla Jihlava,RT TORAX Poruba,1.39,4.24,8.59,1.056,1.205,2.86,1.792,2.5,2.02,2.13,-1.5+,1.72,2.152,2,1.63,,,,-,-,-,
24,Koprivnice,Slezan Opava,1.02,13.3,67,-,-,9,1.736,4.5,2.1,2.06,-3+,1.68,1.58,3.5,2.3,,,,-,-,-,
25,Rodos Dvur Kralove,Tabor,17,10,-,13,-,-,2.24,5.5,1.65,2.09,+3-,1.66,1.835,1,1.864,,,,-,-,-,
26,Salith Sumperk,Zdar nad Sazavou,-,-,-,-,-,-,1.664,5,2.085,1.7,-3.5+,2.16,2.02,4.5,1.76,,,,-,-,-,
27,Jestrabi Prostejov,VHK Vsetín,1.56,3.62,6.54,1.096,1.264,2.344,2.112,5,1.645,1.896,-1+,1.808,2.285,3,1.56,,,,-,-,-,
28,Lev Benesov,Lední Medvědi Pelhřimov,35,13.9,1.03,8.5,-,-,1.93,8,1.775,2.075,+3-,1.665,2.2,2.5,1.64,,,,-,-,-,
29,Herning Blue Fox,Sonderjyske,3.96,4.21,1.73,2.048,1.208,1.23,1.67,9,2.07,1.67,+1-,2.075,1.67,4,2.08,,,,-,-,-,
30,Ajax,Hertha BSC,1.24,5.64,11.3,1.025,1.125,3.79,2.24,3.5,1.65,1.85,-1.5+,1.95,2.08,2.5,1.72,1.59,0.5,2.31,,,,
31,Crystal Palace,Oxford United,4.32,3.19,1.9,1.848,1.33,1.2,2.05,2.5,1.77,2.9,0,1.41,1.96,1,1.8,2.48,1.5,1.52,,,,
32,Al-Arabi Kuwait,Al-Nasr SC,1.04,10.9,51,-,1.025,9.07,3.13,1.5,1.365,1.31,-1+,3.47,4.02,1.5,1.23,8.02,0.5,1.06,,,,
33,Al-Hilal Riyadh,Al-Faisaly Harmah,2.44,1.83,9.84,1.05,1.96,1.545,1.68,0.5,2.14,1.2,0,4.82,2.11,0.5,1.69,5.54,0.5,1.13,,,,
34,Dhamk,Al-Ahli Jeddah,1.47,3.6,10.1,1.048,1.285,2.66,2.38,4,1.61,3.26,-1+,1.36,2.92,2.5,1.39,1.99,1.5,1.78,,,,
35,Altug Celikbilek,Karlo Cubelic,1.12,-,6.25,,,,2.62,22.5,1.49,1.98,-4+,1.83,2.72,13.5,1.4,2.68,9.5,1.41,,-,-,-
36,Robin Stanek,Flemming Peters,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
37,ASK-BSC Bruck Leitha,Wiener Viktoria,1.07,11.4,22,-,1.025,7.52,1.985,4.5,1.82,1.83,-2.5+,1.98,1.97,3.5,1.8,1.56,0.5,2.36,,,,
38,FCM Traiskirchen,Mannsdorf,3.04,4.05,2.03,1.744,1.22,1.355,1.685,2.5,2.1,2.36,0,1.59,1.65,1,2.18,1.88,1.5,1.88,,,,
39,Lommel United II,Royal Antwerp II,3.35,3.5,2.06,1.72,1.28,1.304,2.01,2.5,1.8,2.53,0,1.52,2.08,1,1.71,2.15,1.5,1.67,,,,
40,Herlufsholm GF (Women),Solrod (Women),-,-,-,-,-,-,1.86,4,1.94,1.75,-3.5+,2.08,2.14,4,1.68,4.52,0.5,1.19,,,,
41,Fredensborg (Women),Ballerup-Skovlunde Fodbold (Women),3.07,2.82,2.57,1.475,1.405,1.35,1.92,3.5,1.88,2.05,0,1.77,1.75,1.5,2.03,1.68,1.5,2.14,,,,
42,Deportivo Cuenca,Orense Sporting Club,1.69,3.46,5.59,1.14,1.304,2.145,1.864,2,1.98,2.34,-1+,1.63,2.06,1.5,1.73,1.87,0.5,1.89,,,,
43,Kiffen 08,Viikingit,-,25,25,-,-,-,1.7,5,2.15,1.98,-4+,1.83,1.87,4.5,1.89,1.96,0.5,1.81,,,,
44,Viktoria 1889,Optik,1.07,10.4,27,-,1.03,7.52,2.035,3,1.78,1.8,-2+,2.01,1.96,2.5,1.81,2.56,0.5,1.48,,,,
45,HK Kopavogur U19,Afturelding Hviti U19,2.37,4.12,2.47,1.51,1.216,1.55,1.792,5,2.02,1.85,0,1.95,1.74,2.5,2.05,1.95,2.5,1.81,,,,
46,Floy U19,IK Start U19,2.43,4.86,2.21,1.63,1.165,1.525,2.01,4.5,1.8,2.01,0,1.8,1.8,2,1.96,1.69,2,2.12,,,,
47,EM Deportivo Binacional,Academia Deportiva Cantolao,1.33,3.75,19,-,1.25,3.15,1.832,3.5,1.97,2.53,-1+,1.52,3.87,2.5,1.24,2.56,1.5,1.48,,,,
48,Zemplin,ViOn Zlate Moravce,1.304,5.3,11,1.056,1.18,3.64,1.82,2.5,2.03,2.275,-1.5+,1.66,2.13,2,1.71,1.79,0.5,2.02,,,,
