,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
475,0,Ман.С.-Лион. De Bruyne K,Depay M,4.0,1.4,8.0,1.05,2.75,1.2,0.0,1.43,0.0,2.62,0.5,2.4,1.5,4.0
476,1,Ман.С.-Лион. Sterling R,Jesus G,3.35,2.1,3.35,1.28,1.65,1.28,0.0,1.85,0.0,1.85,0.5,1.42,2.65,4.0
477,2,Manchester City,Lyon,1.9,3.6,4.05,1.25,1.3,1.9,-1.5,3.4,1.5,1.32,3.5,2.05,1.77,235.0
478,3,Odra Opole,Lech Poznan,17.0,8.0,1.11,5.5,1.05,,1.5,2.35,-1.5,1.52,2.5,1.5,2.45,118.0
479,4,Osijek,Slaven Belupo,4.5,1.95,3.05,1.35,1.8,1.18,1.5,1.06,-1.5,9.0,0.5,1.55,2.35,74.0
480,5,Podgorica FC,Titograd,3.0,1.6,8.5,1.04,2.2,1.35,0.0,1.28,0.0,3.35,0.5,1.98,1.72,23.0
481,6,Sutjeska,OFK Petrovac,1.04,,,,,9.0,-1.5,1.9,1.5,1.8,5.5,1.53,2.35,7.0
482,7,Zeta,Iskra Danilovgrad,5.7,1.5,4.1,1.19,2.4,1.1,0.0,2.17,0.0,1.62,0.5,2.15,1.63,80.0
483,8,Re United,Viimsi Lovid,,,,,,,,,,,,,,
484,9,Zamalek SC,Misr El Makasa,2.55,1.97,6.1,1.11,1.77,1.48,-1.5,7.7,1.5,1.07,0.5,1.57,2.3,111.0
485,10,MAT Tetouan,HUSA Agadir,3.1,2.35,3.0,1.35,1.53,1.32,1.5,1.06,-1.5,7.6,1.5,2.3,1.55,162.0
486,11,Olimpique De Safi,CAYB Berrechid,2.03,2.6,5.0,1.13,1.45,1.7,-1.5,5.0,1.5,1.14,1.5,2.03,1.7,164.0
487,12,Al Nasr Riyadhh,Al Wahda,1.05,9.5,67.0,,1.02,7.8,-1.5,2.35,1.5,1.53,1.5,1.87,1.83,12.0
488,13,Tombense,Sao Jose PA,2.5,2.45,3.9,1.23,1.52,1.5,-1.5,7.2,1.5,1.08,1.5,2.2,1.63,160.0
