0,Zelenie Berety,Zheltie Tulpany,1.70,3.55,4.70,1.15,1.25,2.03,-1.5,2.75,+1.5,1.40,3.5,1.65,2.10,+18
1,Arsenal L (d1pseN),Man.United (nikkitta),11.50,3.60,1.40,2.75,1.25,1.01,+1.5,1.28,-1.5,3.30,2.5,2.70,1.40,+17
2,Liverpool (DangerDim77),Man. City (Boulevard_Pr.),3.95,1.70,4.15,1.19,2.02,1.20,0,1.80,0,1.90,0.5,1.70,2.02,
3,Atletico M (Kodak),Sevilla (Bombi1t0),2.70,2.85,2.80,1.38,1.37,1.40,-1.5,6.00,+1.5,1.09,1.5,1.55,2.30,+85
4,Real M (Skromnuy),Valencia (Arcos),3.10,2.65,2.65,1.42,1.42,1.32,+1.5,1.12,-1.5,5.40,2.5,2.30,1.55,+91
5,Man. City (Steven),Napoli (Zayn),1.92,5.10,2.75,1.40,1.13,1.78,-1.5,2.90,+1.5,1.35,4.5,1.65,2.10,+50
6,Man. United (Dimqaa),Arsenal (Oolancer),,,,,,,+2.5,2.25,-2.5,1.58,4.5,2.50,1.47,+7
7,Leicester City (Iceman),Everton (Olom),1.65,4.80,3.75,1.23,1.15,2.10,-1.5,2.60,+1.5,1.43,4.5,2.10,1.65,+85
8,Man. City (Carlwhizzer),Tottenham Hotspur (Stig),1.70,3.40,5.20,1.13,1.27,2.02,-1.5,2.85,+1.5,1.37,2.5,2.35,1.52,+9
9,Kalinin Front,Belye Ldiny,2.40,4.90,2.25,1.60,1.16,1.55,+1.5,1.35,-1.5,3.10,7.5,1.80,1.95,+66
10,Russia (nazar4ik99),Finland (Joker),3.35,4.05,1.87,1.83,1.20,1.28,+1.5,1.30,-1.5,3.25,4.5,1.75,1.95,+87
11,Canada (mrPanda),RUSSIA (JET),1.04,,,,,10.00,-2.5,2.30,+2.5,1.55,4.5,1.30,3.20,+4
12,Sweden (RedDevil),United States (Zazabak),,,1.13,5.10,,,+1.5,1.37,-1.5,2.85,3.5,1.67,2.08,+29
13,Dafeng Printing,Hyundai Group,1.47,,2.50,,,,-4.5,1.92,+4.5,1.78,126.5,2.10,1.65,+8
14,Shinhan Sbirds (w),Woori Bank (w),1.30,,3.20,,,,-3.5,1.80,+3.5,1.90,129.5,1.83,1.87,+4
15,Real M (ScRate),CSKA Moscow (BLM_Mamba),1.98,,1.73,,,,+1.5,1.80,-1.5,1.90,114.5,1.78,1.92,+6
16,Indiana Pacers (McQueen),Cleveland Cavaliers (Goku),2.46,,1.48,,,,+3.5,1.83,-3.5,1.87,98.5,1.90,1.80,+2
17,Chicago Bulls (Siegfried),Miami Heat (SLAMDUNKVV),1.62,,2.15,,,,-2.5,1.87,+2.5,1.83,107.5,1.80,1.90,+6
18,Los Angeles Clippers (Stella),Dallas Mavericks (Potter),,,,,,,,,,,,,,
19,Toronto Raptors (xDefab1ex),Sacramento Kings (aLikan_),3.45,,1.26,,,,+4.5,1.92,-4.5,1.78,123.5,1.83,1.87,+6
20,Burevestnik (w),Greenland (w),1.40,,2.75,,,,-7.5,1.82,+7.5,1.88,98.5,1.85,1.85,+8
21,Ireland (JohnnySize),Australia (Kisha),,,,,,,,,,,50.5,1.60,2.20,
22,Team Aspirations,Venture,,,,,,,,,,,,,,
23,Execration,EHOME.immortal,,,,,,,,,,,,,,
24,TNC Predator,Team Adroit,,,,,,,,,,,,,,
