,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
1,1,Roda,FC Eindhoven,2.1,3.55,3.1,1.32,1.25,1.65,-1.5,4.1,1.5,1.2,2.5,1.98,1.72,202.0
2,2,Liepaja,FC Riga,,,,,,,2.5,1.55,-2.5,2.25,4.5,1.48,2.45,64.0
3,3,Asker U19,Oppsal U19,2.7,4.5,2.07,1.67,1.16,1.4,1.5,1.25,-1.5,3.5,4.5,1.97,1.73,52.0
4,4,Kvik Halden,Valerenga-2,,,,,,,-3.5,1.95,3.5,1.75,4.5,2.7,1.4,63.0
5,5,Univers. Craiova CS,Cfr Cluj,4.7,2.2,2.5,1.5,1.63,1.17,1.5,1.08,-1.5,7.2,3.5,2.6,1.45,112.0
6,6,IF Elfsborg,Sirius IK,2.65,2.15,4.4,1.19,1.65,1.45,-1.5,7.1,1.5,1.08,6.5,1.42,2.75,88.0
7,7,Norrkoping IFK,Mjallby AIF,2.12,2.17,7.4,1.07,1.65,1.68,-1.5,5.9,1.5,1.11,2.5,1.47,2.6,89.0
8,8,IK Brage,Trelleborg FF,,,,,,,-3.5,3.4,3.5,1.3,3.5,1.65,2.17,68.0
9,9,Orgryte,Vasteras,19.0,4.7,1.25,3.75,1.17,,1.5,1.35,-1.5,3.05,1.5,1.55,2.35,116.0
10,10,Ramtha SC,Al Ahli,1.58,2.8,11.5,1.01,1.38,2.25,-1.5,3.3,1.5,1.28,3.5,2.15,1.63,90.0
11,11,Zelenie Berety,Ryzhiye Lisy,2.15,3.3,3.2,1.3,1.29,1.62,0.0,1.57,0.0,2.25,7.5,2.25,1.57,18.0
12,12,Urozhaynaya,University,3.65,1.55,6.2,1.09,2.3,1.25,0.0,1.5,0.0,2.45,6.5,2.08,1.65,
13,13,Gazprom Minsk,Orbita Minsk,,,,,,,,,,,3.5,4.4,1.17,2.0
14,14,Eskilstuna (w),Uppsala (w),13.0,6.8,1.17,4.4,1.07,,1.5,1.72,-1.5,2.0,5.5,2.65,1.42,71.0
15,15,Kopparbergs/Goteborg(w),Linkoping (w),,,,,,,-2.5,1.88,2.5,1.88,3.5,2.45,1.5,83.0
16,16,Kostin (NFC) Chelsea,Zaporozhets (VEG) Bayern M,,,,,,,,,,,,,,
17,17,Barcelona (Inquisitor),Man. City (dm1trena),4.8,1.48,5.0,1.13,2.45,1.15,0.0,1.8,0.0,1.9,0.5,2.2,1.6,38.0
18,18,Argentina (Raiden),England (Black),3.0,2.25,3.3,1.3,1.57,1.35,0.0,1.77,0.0,1.93,5.5,2.5,1.45,7.0
19,19,Italy (Wizard),France (Tekashi),,,,,,,2.5,1.35,-2.5,2.95,8.5,1.7,2.02,
20,20,Spain (Zayn),Netherlands (Leo),,,,,,,-1.5,1.42,1.5,2.65,2.5,1.55,2.3,
21,21,Udinese (Olom),Sassuolo (Bobby),,,,,,,,,,,,,,
22,22,Sampodria (Spursmax),Fiorentina (Stdm),,,,,,,-3.5,5.8,3.5,1.1,3.5,3.25,1.3,
23,23,LAZIO (SPECIALIST),Juventus (Unknown),,,,,,,,,,,,,,
24,24,Carolina Hurricanes,NY Rangers,1.03,,,,,13.0,-2.5,2.25,2.5,1.6,5.5,3.15,1.35,50.0
25,25,Molotoboytsy,Chetyre Ledokola,5.1,3.7,1.67,2.15,1.25,1.15,1.5,1.4,-1.5,2.9,5.5,1.93,1.82,45.0
26,26,Energetik Minsk,Epam Ice Needles-2,1.45,6.1,4.5,1.16,1.09,2.55,-1.5,1.73,1.5,2.0,7.5,2.12,1.64,127.0
27,27,Les Canadiens de Montréal (fine_oxtail3),Florida Panthers (aa0912200),2.5,2.7,3.15,1.3,1.4,1.47,-1.5,5.9,1.5,1.1,9.5,2.05,1.68,54.0
28,28,Miami Heat,Toronto Raptors,2.7,,1.47,,,,4.5,1.95,-4.5,1.85,208.5,1.9,1.9,24.0
29,29,Barcelona (Fosters23),Milan (mrPanda),2.75,,1.39,,,,5.5,1.83,-5.5,1.87,110.5,1.78,1.92,2.0
30,30,Vostok 121,VSS,9.0,,1.03,,,,17.5,1.87,-17.5,1.83,160.5,1.9,1.8,14.0
31,31,Minyor 2015,North West-Global Test,1.23,,3.7,,,,-7.5,1.85,7.5,1.85,187.5,1.87,1.83,8.0
32,32,Nemuno Banga KK,VK Vilnius,1.05,,7.77,,,,-17.5,1.87,17.5,1.83,131.5,1.83,1.87,6.0
33,33,Dallas Mavericks (Shiva),Philadelphia 76 (Spenish),1.24,,3.6,,,,-7.5,1.8,7.5,1.9,109.5,1.85,1.85,6.0
34,34,GS Warriors (bad_trip),Toronto Rap. (SLAMDUNKVV),1.65,,2.1,,,,-2.5,1.87,2.5,1.83,124.5,1.87,1.83,6.0
35,35,Denver Nugget (Milla),San Antonio Spurs (Potter),3.9,,1.21,,,,10.5,1.87,-10.5,1.83,203.5,1.83,1.87,6.0
36,36,Indiana Pacers (Sphynx),Golden State Warriors (Harden),2.36,,1.52,,,,3.5,1.85,-3.5,1.85,173.5,1.85,1.85,6.0
37,37,Portland Trail Blazers (Lily),Utah Jazz (Jasmine),4.9,,1.14,,,,9.5,1.83,-9.5,1.87,180.5,1.85,1.85,6.0
38,38,Minnesota Timberwolves (Allka),Miami Heat (Elsa),3.7,,1.23,,,,7.5,1.85,-7.5,1.85,203.5,1.87,1.83,6.0
39,39,New Orleans Pelicans (mcdonals999),San Antonio Spurs (nikitos349),1.55,,2.3,,,,-2.5,1.9,2.5,1.8,133.5,1.76,1.94,6.0
40,40,DIVIZON,Team Secret,,10.5,1.03,,,,,,,,,,,13.0
41,41,KWK,Mouseplayz,1.6,4.3,4.2,,,,-2.5,1.92,2.5,1.78,11.5,2.15,1.63,15.0
42,42,Oldenburg Avengers,Ahoi Bois,,,,,,,,,,,,,,
43,43,Игра 2. Oldenburg Avengers,Ahoi Bois,2.65,3.7,2.3,1.55,1.23,1.42,0.0,2.0,0.0,1.72,3.5,2.25,1.57,18.0
