,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
8,Molde,Brann,1.50,4.10,6.30,1.10,1.22,2.50,-1.5,2.35,+1.5,1.57,4.5,1.80,1.95,+169
9,Kungsangens IF,Skiljebo,,,1.02,14.00,,,+3.5,1.77,-3.5,1.93,5.5,2.20,1.60,+52
10,Al Faisaly,Al Hussein,2.00,2.20,7.60,1.05,1.60,1.72,-1.5,5.50,+1.5,1.11,2.5,1.43,2.65,+81
11,Al Jazeera,Al Acaba,1.02,,,,,15.00,-2.5,3.00,+2.5,1.35,2.5,1.78,1.92,+62
12,Al Hilal Riyadh,Al Fateh,1.10,7.60,22.00,,1.05,5.80,-1.5,1.57,+1.5,2.25,2.5,1.62,2.15,+108
13,Al Wahda,Al Majd,1.13,6.40,27.00,,1.08,5.10,-1.5,1.95,+1.5,1.75,2.5,2.35,1.53,+105
14,Kostin (NFC) Chelsea,Zaporozhets (VEG) Bayern M,,,,,,,,,,,,,,
15,Arsenal L (FEARGGWP),Tottenham (Flewless_ph.),3.05,2.15,3.50,1.25,1.62,1.33,0,1.75,0,1.95,0.5,1.45,2.55,+60
16,SS LAZIO (OOLANCER),Atalanta (Quavo),1.87,3.50,3.80,1.22,1.25,1.83,-1.5,3.30,+1.5,1.28,2.5,2.05,1.68,+84
17,Juventus (Kiser),Napoli (Unknown),2.70,3.30,2.45,1.48,1.30,1.40,-1.5,4.70,+1.5,1.15,3.5,2.10,1.65,
18,Fiorentina (Skripp),SASSUOLO (SPURSMAX),1.20,6.00,12.00,,1.09,4.05,-1.5,1.70,+1.5,2.02,3.5,1.92,1.78,+33
19,PARMA CALCIO 1913 (FLESHKA77),Udinese (Supernova),27.00,14.00,1.04,8.50,,,+3.5,1.50,-3.5,2.40,5.5,1.85,1.85,+47
20,AlmazsFrends,Kosmos Saint Petersburg,1.50,4.90,4.80,1.15,1.14,2.40,-1.5,1.80,+1.5,1.90,6.5,1.97,1.73,+117
21,Florida Panthers (aa0912200),Les Canadiens de Montréal (fine_oxtail3),,,,,,,+4.5,1.62,-4.5,2.15,6.5,1.98,1.72,+60
22,Montreal Can. (Aphex),New Jersey Devils(Zazabak),7.60,7.60,1.22,3.85,1.05,1.05,+2.5,1.93,-2.5,1.77,6.5,2.00,1.72,+105
23,Colorado Avalan. (JoKeR),Chicago Blackh. (JET),1.27,6.80,6.90,1.07,1.07,3.40,-2.5,2.08,+2.5,1.65,5.5,1.80,1.90,+107
24,Pho Suns,Okc Thunder,1.70,,2.15,,,,-2.5,1.93,+2.5,1.87,225.5,1.90,1.90,+24
25,Milan (ZOD),Olympiacos (Fosters23),,,,,,,+19.5,1.92,-19.5,1.78,94.5,1.85,1.85,+6
26,Vivacom,Arrrows,,,,,,,-32.5,1.85,+32.5,1.85,193.5,1.87,1.83,+6
27,Toronto Raptors (Sleepy),Philadelphia 76(SLAMDUNKVV,1.60,,2.20,,,,-2.5,1.80,+2.5,1.90,97.5,1.80,1.90,+6
28,Boston Celtics (Shiva),Portland Tr.Bl. (Spenish),2.50,,1.47,,,,+4.5,1.80,-4.5,1.90,104.5,1.90,1.80,+6
29,Miami Heat (Stella),Portland Trail (Jasmine),,,,,,,+16.5,1.83,-16.5,1.87,197.5,1.83,1.87,+6
30,San Antonio Spurs (Sphynx),GS Warriors (Potter),,,,,,,+11.5,1.90,-11.5,1.80,199.5,1.83,1.87,+6
31,Utah Jazz (Allka),Denver Nuggets (Lily),1.65,,2.10,,,,-1.5,1.78,+1.5,1.92,218.5,1.83,1.87,+6
32,Ballerz-terpilka7(белые),Ringers-hatetw (black),3.90,,1.21,,,,+3.5,1.73,-3.5,1.98,,,,+2
33,Aramis,Dunaferr DF,1.24,6.50,8.50,1.04,1.08,3.65,-1.5,1.62,+1.5,2.15,5.5,2.03,1.70,+23
34,Georgia (JohnneSize),Russia (GenaBukin),1.15,20.00,5.10,,,,-11.5,1.85,+11.5,1.85,44.5,1.90,1.80,+20
35,YEAH GAMING,Cloud9,1.91,,1.80,,,,,,,,,,,
0,Ротор-Зенит. Dzyuba A,Azmoun S,2.90,2.30,3.35,1.28,1.55,1.36,0,1.75,0,1.95,1.5,2.60,1.44,+4
1,Ротор-Зенит. Malcom,Driussi S,3.90,1.65,4.50,1.16,2.10,1.21,0,1.72,0,2.00,0.5,1.87,1.83,+4
2,Rotor-Volgograd,Zenit St. Petersburg,8.50,4.70,1.38,3.05,1.19,1.07,+1.5,1.70,-1.5,2.15,2.5,1.93,1.87,+272
3,Zarya Lugansk,Dnipro-1,1.25,4.60,20.00,,1.18,3.75,-1.5,3.45,+1.5,1.30,3.5,1.70,2.10,+74
4,Zeljeznicar Sarajevo,Borac Banja Luka,1.75,3.35,4.90,1.14,1.28,1.95,-1.5,3.15,+1.5,1.30,2.5,2.20,1.60,+194
5,Samtredia,Saburtalo Tbilisi,7.00,1.38,5.00,1.15,2.90,1.08,0,2.20,0,1.63,2.5,2.85,1.40,+4
6,Aragvi Dusheti,Shevardeni 1906,,,,,,,+1.5,5.40,-1.5,1.12,4.5,3.30,1.28,
7,Zugdidi,Metalurgi Rustavi,,,,,,,-2.5,6.20,+2.5,1.09,4.5,3.75,1.23,+6
8,Gori FC,Meshakhte Tkibuli,1.04,,,,,9.50,-1.5,6.60,+1.5,1.08,1.5,4.40,1.17,+6
9,BFK Daugavpils,FC Riga,6.70,4.60,1.40,2.75,1.16,1.07,+1.5,1.65,-1.5,2.10,2.5,1.75,1.95,+191
10,FS Metta/LU,Tukums 2000,1.73,3.75,4.20,1.19,1.23,2.00,-1.5,2.85,+1.5,1.35,2.5,1.75,1.95,+202
11,Troitsk,Krylya Sovetov-Alyans,,,,,,,-4.5,2.25,+4.5,1.57,4.5,1.72,2.00,+2
12,Nika Moscow,Boradigyakh,1.88,4.20,3.20,1.30,1.19,1.82,0,1.50,0,2.45,3.5,2.20,1.60,
13,Zheleznodorozhnik,Energosoyuz,,,,,,,-3.5,2.40,+3.5,1.50,4.5,2.40,1.50,
14,Nomme United U19,Tabasalu U19,,,,,,,-3.5,1.63,+3.5,2.15,4.5,1.93,1.77,+7
15,Kalju Nomme U19,Tallinna Legion U19,1.10,,,,,5.70,-1.5,1.65,+1.5,2.10,3.5,1.80,1.90,+7
16,Levadia U19,Raplamaa U19,1.06,8.50,48.00,,1.04,7.30,-1.5,1.55,+1.5,2.30,2.5,1.95,1.75,+38
17,Achuapa,Deportivo San Pedro,2.55,3.05,2.75,1.40,1.33,1.45,-1.5,5.40,+1.5,1.12,2.5,2.10,1.65,+196
18,Zelenie Berety,Zheltie Tulpany,9.00,6.50,1.21,3.90,1.08,1.03,+2.5,1.60,-2.5,2.20,8.5,2.00,1.72,+22
19,Energetik-SGK,Periskop,,,,,,,+3.5,1.85,-3.5,1.85,6.5,2.10,1.65,+30
20,Pro Teplo,Parma Tyumen,1.60,4.70,4.00,1.20,1.15,2.20,-1.5,2.30,+1.5,1.55,8.5,1.83,1.87,
21,Lokomotiv Moskow (w),Enisey Krasnoyarsk (w),1.11,8.50,16.00,,1.04,5.50,-2.5,2.30,+2.5,1.55,2.5,1.60,2.20,+174
22,Ryazan-VDV (w),Zenit SPb (w),2.00,3.30,3.65,1.25,1.30,1.72,-1.5,4.30,+1.5,1.18,1.5,1.70,2.02,+179
23,CSKA (w),Krasnodar (w),1.25,5.10,11.50,1.01,1.13,3.55,-1.5,2.00,+1.5,1.72,2.5,2.17,1.62,+181
24,Halilov (GMB) Ajax,Zhukov (RUB) Liverpool,1.85,3.75,3.60,1.25,1.23,1.85,-1.5,3.30,+1.5,1.30,2.5,1.80,1.90,+42
25,Napoli (FEARGGWP),PSG (Chellovekk),2.85,2.10,3.95,1.20,1.65,1.37,-1.5,7.80,+1.5,1.06,0.5,1.40,2.70,+63
26,Real M (SALAYYY),Bayern (BlackStar98),4.30,2.25,2.45,1.48,1.57,1.18,+1.5,1.07,-1.5,6.70,3.5,2.50,1.48,+49
27,Portugal (Spursmax),Argentina (Den1Bravo),,,,,,,,,,,,,,
28,Greece (Vito),Sweden (Olom),,,,,,,,,,,,,,
29,Uruguay (Jenko),England (Indra13_27),3.90,3.90,1.77,1.93,1.20,1.20,0,2.85,0,1.37,2.5,1.55,2.30,
30,Greece (Vito),Ireland (Kiser),4.00,4.10,1.70,2.02,1.19,1.20,+1.5,1.40,-1.5,2.70,3.5,2.15,1.62,+9
31,Izhstal,Neftyanik Almetyevsk,6.30,5.90,1.35,3.05,1.11,1.10,+1.5,2.07,-1.5,1.70,6.5,1.75,2.00,+109
32,Metallurg Magnitogorsk,Sibir Novosibirsk,1.11,8.00,23.00,,1.06,6.00,-2.5,1.88,+2.5,1.88,3.5,1.53,2.40,+121
33,Salavat Yulayev,Neftekhimik,1.09,10.00,19.00,,1.03,6.70,-2.5,1.58,+2.5,2.30,5.5,1.95,1.80,+141
34,Krasnyye Krylya,Ledovyy Desant,1.70,5.70,3.35,1.30,1.12,2.10,-1.5,2.20,+1.5,1.63,8.5,1.90,1.85,+59
35,Pardubice,Hradec Kralove,2.20,4.50,2.50,1.47,1.16,1.60,-1.5,3.10,+1.5,1.32,4.5,1.78,1.92,+124
36,Hc O Trinec,Zlin,1.72,4.70,3.65,1.25,1.17,2.05,-1.5,2.30,+1.5,1.58,6.5,1.62,2.25,+135
37,Toronto (Kumaaa1998),Edmonton Oilers (MartyART),3.75,2.50,2.45,1.48,1.47,1.23,+1.5,1.17,-1.5,4.40,5.5,1.60,2.20,+67
38,Mitrakov (D1S) Colorado,Davydov (ILY) Arizona,,,,,,,+2.5,3.10,-2.5,1.32,3.5,1.55,2.30,+15
39,Canada (Supernova),USA (Magistr),,,,,,,,,,,,,,
40,Maccabi Fox (jema11),Panathinaikos (BLM_Mamba),,,,,,,+16.5,1.78,-16.5,1.92,111.5,1.85,1.85,+6
41,Orlando Magic (bad_trip),Miami Heat (Tranquil),3.03,,1.33,,,,+3.5,1.90,-3.5,1.80,92.5,1.80,1.90,+6
42,Brooklin Nets (Shiva),Cleveland Cavaliers (iamdevilwalk),,,,,,,+10.5,1.83,-10.5,1.87,119.5,1.80,1.90,+6
43,LA Clippers (Allka),Brooklin Nets (Stella),1.52,,2.36,,,,-3.5,1.83,+3.5,1.87,192.5,1.87,1.83,+2
44,Boston Celtics (Lily),Philadelphia 76 (Potter),,,,,,,+27.5,1.83,-27.5,1.87,212.5,1.85,1.85,+6
45,Dallas Maver. (Sphynx),Houston Rockets (Elsa),,,,,,,-20.5,1.87,+20.5,1.83,189.5,1.80,1.90,+6
46,Dallas Mavericks (broccolicabbage0),Portland Trail Blazers (Answer2208),2.65,,1.42,,,,+2.5,1.78,-2.5,1.92,108.5,1.87,1.83,
47,Gazprom burenie,Orghim NN,4.30,5.10,1.55,2.30,1.13,1.18,+1.5,1.60,-1.5,2.20,5.5,1.90,1.80,+25
48,PSP,Caucasus International Un.,,,,,,,+2.5,1.83,-2.5,1.87,5.5,2.40,1.50,+16
49,Orange (w),Gorchitsa (w),1.30,,3.25,,,,-4.5,1.68,+4.5,2.05,92.5,2.02,1.70,+2
50,3M 2-nd game. Carlsen M,Ding Liren,1.15,5.50,33.00,,1.11,4.70,,,,,,,,
51,3M 2-nd game. Nakamura H,Dubov D,2.20,2.10,6.80,1.07,1.65,1.60,0,1.20,0,4.00,,,,
52,Nexus,SJ,1.69,,2.05,,,,,,,,,,,
53,BIG,Heroic,1.11,,5.50,,,,,,,,,,,
54,Team Unique,Cyberium.S,,,,,,,,,,,,,,
0,Rubin Kazan,Lokomotiv Moscow,,,,,,,+2.5,1.12,-2.5,6.20,2.5,4.40,1.20,+6
1,Рубин-Локомо. Ignatiev I,Smolov F,,,,,,,,,,,,,,
2,Dundee Utd,Hibernian,,,1.05,9.50,,,+1.5,1.07,-1.5,7.50,1.5,4.80,1.16,+6
3,Schwarz-Weiss Spandau,Teutonia 1899,,,1.02,13.00,,,+2.5,1.40,-2.5,2.65,4.5,1.55,2.25,
4,Sparta Bilk,Turu 1880 Dusseldorf,7.20,2.55,1.80,1.90,1.45,1.06,+1.5,1.20,-1.5,3.95,3.5,2.55,1.45,+95
5,Balma,Bergerac,1.15,5.30,41.00,,1.12,4.70,-1.5,4.20,+1.5,1.18,3.5,2.25,1.58,+6
6,Borgfeld,Verden 04,5.10,3.30,1.72,2.00,1.30,1.13,+1.5,1.30,-1.5,3.25,7.5,1.55,2.30,+29
7,SVU Steirerfl. Wolfsberg,Flavia Solva,45.00,10.50,1.05,7.80,1.01,,+1.5,2.95,-1.5,1.35,7.5,2.70,1.40,+22
8,Trivieres,RUS Binche,7.10,4.05,1.45,2.55,1.20,1.06,+1.5,1.25,-1.5,3.45,6.5,2.40,1.50,+79
9,Bad Vilbel,Dortelweil,1.02,,,,,14.00,-2.5,1.88,+2.5,1.82,5.5,2.13,1.64,+13
10,GVVV,VVOG Harderwijk,1.30,4.50,10.00,1.02,1.16,3.20,-1.5,1.95,+1.5,1.75,2.5,2.25,1.55,+137
11,Barendrecht,Excelsior Maassluis,3.40,3.05,2.25,1.60,1.35,1.30,+1.5,1.19,-1.5,4.40,3.5,1.55,2.40,+105
12,SV Spakenburg,DHSC Utrecht,,,,,,,-3.5,2.00,+3.5,1.72,4.5,2.00,1.72,+31
13,Ijsselmeervogels,USV Hercules,2.02,3.60,3.25,1.30,1.25,1.70,-1.5,3.60,+1.5,1.25,3.5,1.92,1.78,+15
14,Alfter,GKSC Hurth,1.03,,,,,10.50,-2.5,1.70,+2.5,2.02,3.5,1.65,2.10,+14
15,TEC Tiel,Den Bosch,2.05,3.05,4.00,1.22,1.35,1.73,-1.5,4.90,+1.5,1.16,2.5,1.70,2.08,+118
16,SV Hall,Worgl,,,,,,,,,,,,,,
17,Telfs,Kitzbuhel,2.50,3.00,2.90,1.35,1.35,1.47,-1.5,5.30,+1.5,1.12,1.5,1.72,2.00,+151
18,Siroki Brijeg,Velez Mostar,,,,,,,,,,,,,,
19,Beitar Jerusalem,Hapoel Tel Aviv,1.70,2.55,10.50,1.01,1.45,2.02,-1.5,3.85,+1.5,1.22,1.5,2.50,1.47,+125
20,Cork City,Longford Town,2.13,3.15,3.40,1.27,1.30,1.65,-1.5,4.15,+1.5,1.19,2.5,2.35,1.52,+208
21,Dundalk,Waterford United,1.50,3.75,6.90,1.07,1.23,2.40,-1.5,2.45,+1.5,1.48,2.5,2.05,1.68,+204
22,Kfum Oslo,Lillestrom,,,,,,,,,,,3.5,7.00,1.08,
23,Tsentavr,Ssh-4 Legion,2.20,4.70,2.40,1.50,1.15,1.60,0,1.80,0,1.90,4.5,2.00,1.72,+7
24,Voronezh-oil,PSG Voronezh,,,,,,,-3.5,2.25,+3.5,1.57,6.5,2.77,1.39,
25,Slovan Bratislava,Zemplin Michalovce,1.05,11.50,64.00,,1.02,9.00,-2.5,2.25,+2.5,1.60,2.5,1.55,2.35,+100
26,Sazan,Lider Dnepr,,,,,,,+3.5,1.63,-3.5,2.15,4.5,1.50,2.40,
27,KI Klaksvik,Fuglafjordur,,,,,,,-6.5,2.35,+6.5,1.52,6.5,1.80,1.90,+10
28,Vinbergs,Varbergs GIF,,,,,,,,,,,,,,
29,Tallinna FC Pocarr,Re United,1.25,5.10,12.50,,1.13,3.55,-1.5,2.00,+1.5,1.72,2.5,1.65,2.10,+9
30,U.S. Monastir,Hammam-Lif,1.12,7.40,18.00,,1.06,5.30,-1.5,1.78,+1.5,1.92,4.5,2.35,1.53,+81
31,Zhukov (RUB) Liverpool,Kostin (NFC) Chelsea,,,,,,,,,,,,,,
32,Tottenham (BlackStar98),Man.United (FEARGGWP),,,,,,,,,,,,,,
33,Man. City (Chellovekk),Arsenal L (Flewless_ph.),6.40,1.30,6.30,1.08,3.20,1.08,0,1.85,0,1.85,0.5,2.95,1.35,
34,Espanyol (Thunder),Athletic Bilbao (Leo),2.45,3.25,2.75,1.40,1.30,1.48,-1.5,4.20,+1.5,1.19,5.5,2.00,1.72,
35,Real Sociedad (Zayn),Sevilla (Raiden),,,1.02,15.00,,,+2.5,2.05,-2.5,1.68,3.5,1.90,1.80,+7
36,UDINESE CALCIO (KISER),UC SAMPDORIA (UNKNOWN),1.09,,,,,6.20,-1.5,5.80,+1.5,1.10,3.5,3.25,1.30,+4
37,ATALANTA (INDRA13_27),JUVENTUS (STDM),,,,,,,-3.5,4.30,+3.5,1.18,5.5,2.30,1.55,+4
38,Napoli (Den1Bravo),INTER MILAN (Spursmax),,,,,,,-2.5,4.30,+2.5,1.18,4.5,2.40,1.50,+4
39,SASSUOLO (OLOM),Fiorentina (Vito),4.40,1.35,9.00,1.03,2.95,1.17,0,1.40,0,2.70,2.5,2.90,1.35,+4
40,Rappersvil,Thurgau,,,,,,,-4.5,1.77,+4.5,1.93,6.5,1.85,1.85,+66
41,Visp,Langental,1.15,7.90,12.00,,1.05,4.70,-2.5,1.80,+2.5,1.90,6.5,1.70,2.02,+128
42,Royals Saint Petersburg,Bonava Saint Petersburg,1.11,9.50,13.00,,1.02,5.50,-3.5,2.15,+3.5,1.63,7.5,1.65,2.10,+93
43,St. Louis Blues (shuval13DGL),Toronto Maple Leafs (Kumaaa1998),,,,,,,,,,,,,,
44,Orlando Magic,Brooklyn Nets,,,,,,,+9.5,2.75,-9.5,1.45,207.5,1.72,2.12,+24
45,SA Spurs,Houston Rockets,1.18,,4.90,,,,-9.5,1.90,+9.5,1.90,232.5,1.93,1.87,+24
46,Ridikas,Craptors,1.67,,2.07,,,,-2.5,1.87,+2.5,1.83,143.5,1.85,1.85,+8
47,NRG,Kurband Kiev,1.04,,8.30,,,,-18.5,1.83,+18.5,1.87,140.5,1.87,1.83,+6
48,Manazeh,Bizertin,,,,,,,-26.5,1.87,+26.5,1.83,138.5,1.87,1.83,
49,Utah Jazz (Sphynx),Denver Nuggets (Potter),2.65,,1.42,,,,+5.5,1.80,-5.5,1.90,190.5,1.87,1.83,+6
50,San Antonio Sp. (Jasmine),GS Warriors (Elsa),,,,,,,-5.5,1.83,+5.5,1.87,197.5,1.87,1.83,+6
51,Minnesota Timb. (Allka),Indiana Pacers (Lily),1.57,,2.25,,,,-3.5,1.90,+3.5,1.80,209.5,1.87,1.83,+6
52,Dallas Mavericks (broccolicabbage0),Portland Trail Blazers (Answer2208),2.65,,1.42,,,,+3.5,1.75,-3.5,1.95,109.5,1.83,1.87,+6
53,Ballerz-hatetw (white),Ringers-terpilka7(черные),1.35,,2.90,,,,-3.5,1.85,+3.5,1.85,37.5,1.85,1.85,+2
54,NNI Basket,Dragons Mława,,,,,,,,,,,,,,
55,Bystron Ostrava,TJ Znojmo,,,,,,,-7.5,1.83,+7.5,1.87,16.5,1.70,2.03,+46
56,Ze Pug Godz,Triumph,,,,,,,,,,,,,,
57,CR4ZY,Infamous,,,,,,,,,,,,,,
58,Team Caspium,Team Nova,,,,,,,,,,,,,,
0,Irtysh Omsk,Chertanovo,25.00,6.60,1.16,5.20,1.11,,+1.5,2.00,-1.5,1.80,2.5,2.00,1.80,+163
1,Orenburg,Alania Vladikavkaz,1.65,3.75,5.10,1.15,1.25,2.17,-1.5,3.00,+1.5,1.37,2.5,2.10,1.70,+194
2,Olymp Dolgoprudny,Zenit Irkutsk,1.92,2.70,5.30,1.12,1.40,1.78,-1.5,5.00,+1.5,1.14,1.5,2.55,1.45,+124
3,FC Tver,Chita,1.50,3.90,6.40,1.08,1.20,2.40,-1.5,2.45,+1.5,1.48,2.5,2.05,1.68,+184
4,Borussia Monchengladbach,Sc Verl,1.13,7.30,18.00,,1.06,5.10,-2.5,2.10,+2.5,1.65,3.5,1.85,1.85,+37
5,BKV Elore,MTE 1904,3.70,3.60,1.87,1.83,1.25,1.23,+1.5,1.30,-1.5,3.25,2.5,1.75,1.95,+204
6,Gagra,Samgurali Tskaltubo,2.90,2.35,3.15,1.30,1.53,1.35,0,1.80,0,1.90,1.5,2.20,1.60,+7
7,Merani Martvili,VIT Tbilisi,1.80,2.65,6.60,1.08,1.42,1.90,-1.5,4.15,+1.5,1.19,1.5,2.17,1.62,+31
8,Letniy Dozhdik,SSh-75 Savelovskaya,5.90,3.80,1.55,2.30,1.22,1.10,+1.5,1.50,-1.5,2.40,3.5,2.20,1.60,+206
9,Shakhter Korkino,Torpedo Miass,6.10,4.40,1.45,2.55,1.17,1.09,+1.5,1.67,-1.5,2.07,2.5,1.85,1.85,+185
10,Brodarac U19,Trajal U19,,,,,,,-4.5,2.05,+4.5,1.68,4.5,1.65,2.10,+2
11,Avangard Kramatorsk U19,Slovyansk,1.30,6.90,6.10,1.09,1.07,3.20,-1.5,1.63,+1.5,2.13,4.5,1.65,2.10,+6
12,Sandviken,Team TG FF,1.30,5.30,8.50,1.04,1.12,3.20,-1.5,1.82,+1.5,1.88,3.5,1.90,1.80,+196
13,Ajax Cape Town,Richards Bay,2.12,2.18,6.70,1.07,1.60,1.65,-1.5,5.80,+1.5,1.10,0.5,1.42,2.65,+121
14,Taguatinga,Bosque Formosa Esporte Cl.,4.15,2.55,2.25,1.57,1.45,1.19,+1.5,1.11,-1.5,5.60,1.5,2.05,1.68,+162
15,Capital FC,Real FC,3.80,3.25,1.95,1.75,1.30,1.22,+1.5,1.20,-1.5,4.10,2.5,2.25,1.55,+194
16,Istiklol Dushanbe,Fayzkand,,,,,,,-2.5,2.03,+2.5,1.70,2.5,1.50,2.40,+35
17,Baobab Queens (w),Ruvuma Queens (w),3.45,2.90,2.25,1.57,1.35,1.25,0,2.30,0,1.55,1.5,1.77,1.93,+7
18,Rodina Moscow-2,Heracleion,3.25,2.85,2.35,1.53,1.37,1.30,0,2.17,0,1.62,2.5,1.63,2.15,+7
19,Lokomotiv-M-LFK,Smena Moscow,2.25,4.50,2.40,1.50,1.16,1.57,0,1.80,0,1.90,3.5,1.67,2.08,+7
20,Zheltie Tulpany,Sinie Ptitsy,2.35,4.30,2.35,1.52,1.18,1.52,0,1.85,0,1.85,5.5,1.85,1.85,+28
21,Armada,Rayse of Rise,1.38,5.80,5.50,1.11,1.10,2.80,-1.5,1.75,+1.5,1.95,6.5,1.85,1.85,+34
22,Estonia (w),Latvia (w),2.17,3.10,3.35,1.28,1.32,1.62,-1.5,5.20,+1.5,1.13,1.5,1.58,2.25,+184
23,Benev (WCU) Borussia D,Klenov (KAB) Inter,3.30,2.00,3.65,1.25,1.72,1.30,-1.5,8.00,+1.5,1.05,3.5,2.55,1.45,+50
24,Bayern (FEARGGWP),Tottenham (BlackStar98),,,,,,,,,,,,,,
25,Napoli (Flewless_phoenix),Real M (Inquisitor),86.00,6.30,1.10,5.80,1.08,,+1.5,1.08,-1.5,6.60,1.5,3.30,1.30,+6
26,Olympique Lyonnais (Critic),Monaco (Jenko),,,,,,,,,,,,,,
27,Capitan Stupino,Loko Yaroslavl,6.60,6.30,1.32,3.25,1.10,1.09,+1.5,2.20,-1.5,1.63,5.5,2.15,1.67,+116
28,Stalker,Krasnyye Krylya,2.45,4.60,2.25,1.60,1.18,1.52,+1.5,1.30,-1.5,3.35,5.5,1.73,2.05,+71
29,Karlovy Vary U20,Koln U20,1.50,5.20,4.60,1.16,1.13,2.40,-1.5,1.90,+1.5,1.80,5.5,1.95,1.75,+119
30,Montreal C.(fine_oxtail3),Florida Panthers(aa0912200,1.80,6.00,2.80,1.38,1.09,1.90,-1.5,2.50,+1.5,1.47,5.5,2.03,1.70,+118
31,Maccabi Fox (BLM_Mamba),Panathinaikos (Ash),1.69,,2.04,,,,-1.5,1.94,+1.5,1.76,127.5,1.90,1.80,
32,Cleveland Cavaliers (Shiva),Miami Heat (88fireburn),3.55,,1.25,,,,+3.5,1.92,-3.5,1.78,122.5,1.87,1.83,+6
33,Chicago Bulls (SLAMDUNKVV),Indiana Pacers (ZOD),,,,,,,-6.5,1.83,+6.5,1.87,,,,
34,Los Angeles Clippers (Jasmine),Dallas Mavericks (Allka),,,,,,,-17.5,1.85,+17.5,1.85,189.5,1.85,1.85,+6
35,Philadelphia 76ers (Stella),Los Angeles Lakers (Lily),5.30,,1.12,,,,+10.5,1.83,-10.5,1.87,172.5,1.87,1.83,+6
36,Phoenix Suns (broccolicabbage0),Washington Wizards (uskov9713),,,,,,,,,,,,,,
37,Astrahanochka (w),Stavropolje (w),,,,,,,-6.5,1.87,+6.5,1.83,64.5,1.77,1.93,+6
38,Lada Togliatti (w),Universitet Izhevsk (w),,,,,,,-10.5,1.85,+10.5,1.85,44.5,1.85,1.85,+10
39,Moyra-Budaors Handball (w),Kispest NKK-Vajk (w),1.08,,,,,6.50,-7.5,1.87,+7.5,1.83,57.5,1.80,1.90,+10
40,Orange (w),Gorchitsa (w),2.00,,1.72,,,,+0.5,1.97,-0.5,1.73,81.5,1.80,1.90,+28
41,Bogatyri,Krasny Yar,,,,,,,+43.5,1.85,-43.5,1.85,57.5,1.90,1.80,+14
42,Australia (Kisha),Japan (JTD),,,,,,,+8.5,2.50,-8.5,1.47,64.5,2.36,1.52,+4
43,Fubon Guardians,Rakuten Monkeys,1.55,,2.30,,,,,,,,,,,
44,4M 1-st game. Carlsen M,Ding Liren,2.40,2.00,6.10,1.09,1.70,1.50,0,1.32,0,3.10,,,,
45,Izako Boars,Apeks,2.12,,1.64,,,,,,,,,,,
46,Rooster,AVANT,4.50,,1.16,,,,,,,,,,,
47,Complexity Gaming,OG,1.32,,3.10,,,,,,,,63.5,1.84,1.86,+18
48,EXTREMUM,Voldemort,,,,,,,,,,,,,,
0,Falcons,Khangarid,1.40,3.85,10.00,1.02,1.22,2.75,-1.5,3.15,+1.5,1.30,2.5,2.75,1.40,+97
1,Istaravshan,Dushanbe 83,1.73,3.65,4.40,1.17,1.25,2.00,-1.5,3.00,+1.5,1.35,3.5,1.98,1.72,+170
2,Kuktosh FC,Hatlon,6.50,4.20,1.45,2.55,1.19,1.08,+1.5,1.50,-1.5,2.40,3.5,2.13,1.64,+92
3,Ravshan Kulob,Ravshan Zafarabad,3.30,4.15,1.87,1.83,1.19,1.30,0,2.50,0,1.47,3.5,1.55,2.30,+7
4,Barkchi Hisor,Khosilot,1.60,4.80,4.00,1.20,1.15,2.20,-1.5,2.60,+1.5,1.45,4.5,2.10,1.65,+9
5,Vahdat,FC Shokhmansur,,,,,,,-3.5,2.03,+3.5,1.70,4.5,1.90,1.80,+7
6,Svay Rieng,Soltilo Angkor,1.55,3.25,7.70,1.05,1.30,2.30,-1.5,2.85,+1.5,1.37,1.5,1.90,1.80,+52
7,Ryzhiye Lisy,Zheltie Tulpany,,,,,,,+3.5,1.65,-3.5,2.10,6.5,2.25,1.57,+24
8,Younost-Industriya Kemer.,Dobryy Kemerovo,1.42,7.10,4.20,1.19,1.06,2.65,-1.5,1.80,+1.5,1.90,7.5,2.00,1.72,+6
9,Sagitov (TES) Arsenal,Halilov (GMB) Ajax,,,,,,,,,,,,,,
10,Brazil (Pablik),France (dm1trena),,,,,,,,,,,,,,
11,Netherlands (mooneycb),England (Olle),,,,,,,,,,,,,,
12,Real M (DangerDim77),Man. City (d1pseN),1.40,4.15,8.50,1.04,1.19,2.75,-1.5,2.75,+1.5,1.40,2.5,1.98,1.72,+21
13,PSG (slezaintima),Barcelona (nikkitta),14.00,4.20,1.30,3.20,1.19,,+1.5,1.35,-1.5,2.90,2.5,2.40,1.50,+48
14,Dynamo K (Carlwhizzer),PSV Eindhoven (Dimqaa),,,,,,,,,,,,,,
15,Feyenoord Rotterdam (Mistyeye),CSKA Moscow (Quavo),,,,,,,-1.5,1.14,+1.5,4.90,4.5,2.95,1.35,+4
16,Sporting (Paulo),Marseille (Totti),,,,,,,,,,,,,,
17,Man.United (Nrek),Lokomotiv M (Archi),,,,,,,,,,,,,,
