,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
195,0,Elena-Teodora Cadar,Livia Cirnu,1.04,-,10.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
196,1,Lucas Gerch,Alexander Mannapov,1.07,-,8.59,1.96,17.5,1.85,-,-6.5+,-,1.91,12.5,1.8,1.91,5.5,1.8,-,-,-
197,2,Ronald Slobodchikov,Jim Walder,1.24,-,4.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198,3,Elmar Ejupovic,Yanki Erel,1.43,-,2.82,1.9,20.5,1.9,-,-3.5+,-,1.85,12.5,1.85,1.85,10.5,1.85,-,-,-
199,4,Alexey Dubinin,Artem Kshenin,2.34,-,1.52,1.864,40.5,1.856,-,+2.5-,-,-,-,-,-,-,-,-,-,-
200,5,Olimp,Impuls,1.58,-,2.385,1.93,183.5,1.87,-,-4.5+,-,1.9,94.5,1.9,1.9,91.5,1.9,-,-,-
201,6,Gennady Tishkin,Sergey Ivliev,2.56,-,1.46,1.856,109.5,1.885,-,+4.5-,-,1.864,53.5,1.875,1.864,56.5,1.875,-,-,-
202,7,Pavel Nechaev,Kirill Nazarov,2.17,-,1.66,1.84,110.5,1.9,-,+2.5-,-,1.86,55.5,1.88,1.86,56.5,1.88,-,-,-
203,8,Stanislav Oshkin,Grigorii Solovov,1.216,-,3.88,1.87,103.5,1.87,-,-8.5+,-,2.04,55.5,1.72,2.04,51.5,1.72,-,-,-
204,9,Elevation,Ural Academy,1.9,-,1.9,1.91,183.5,1.89,-,-0.5+,-,1.904,93.5,1.896,1.904,93.5,1.896,-,-,-
205,10,Vladimir Sandrkin,Ivan Getmancev,5.39,-,1.11,1.995,19.5,1.74,-,+5.5-,-,-,-,-,-,-,-,-,-,-
206,11,Krutov/Usevich,Guryanov/Kuzmichev,-,-,-,2.02,20.5,1.725,-,-6.5+,-,-,-,-,-,-,-,-,-,-
207,12,Alexander Esaulov,Yaroslav Godunov,4.13,-,1.195,1.845,77.5,1.9,-,+1.5-,-,1.992,40.5,1.76,1.992,39.5,1.76,-,-,-
208,13,Inna Karmaeva,Alexandra Nizhegorodtseva,-,-,-,2.32,58.5,1.57,-,+9.5-,-,-,24.5,-,-,-,-,-,-,-
209,14,South Korea (Amateur) Women,China (Amateur) Women,1.408,-,2.616,1.83,85.5,1.83,-,-5.5+,-,1.845,42.5,1.816,1.845,42.5,1.816,-,-,-
210,15,Iran (Kung),China (Kung),1.59,-,2.152,1.82,79.5,1.84,-,-3.5+,-,2.06,42.5,1.65,2.06,42.5,1.65,-,-,-
211,16,South Korea (Kung),India (Kung),1.496,-,2.355,1.85,79.5,1.81,-,-4.5+,-,2.12,42.5,1.61,2.12,42.5,1.61,-,-,-
212,17,Elena Glagoleva,Ilya Voronov,2.315,-,1.525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
213,18,Traktor (4х4),Arsenal (4х4),1.49,-,2.696,1.915,100.5,1.885,-,-4.5+,-,1.94,51.5,1.86,1.94,50.5,1.86,-,-,-
214,19,Red Lions,Green Snakes,9.34,-,1.06,1.9,167.5,1.9,-,+11.5-,-,1.9,76.5,1.9,1.9,85.5,1.9,-,-,-
215,20,Angelina Paskhalidi,Alina Konchakova,2.19,-,1.59,1.76,30.5,1.99,-,+0.5-,-,-,-,-,-,-,-,-,-,-
216,21,Malaysia (Amateur),Thailand (Amateur),2.105,-,1.616,1.895,104.5,1.77,-,-2.5+,-,1.835,55.5,1.825,1.835,49.5,1.825,-,-,-
