0,Ryzhiye Lisy,Zelenie Berety,,,,,,,-2.5,1.62,+2.5,2.15,5.5,2.30,1.55,+23
1,Man. City (d1pseN),Arsenal L (nikitta),11.50,3.45,1.42,2.65,1.25,1.01,+1.5,1.33,-1.5,3.05,2.5,2.50,1.47,+48
2,Man.United (slezaintima),Tottenham (DangerDim77),10.50,3.90,1.37,2.85,1.20,1.01,+1.5,1.35,-1.5,2.90,2.5,2.18,1.61,+50
3,Barcelona (Plevis),Real M (JKey),,,,,,,,,,,,,,
4,Valencia (Bombi1t0),Atletico M (Mr.Jab),,,,,,,,,,,,,,
5,Sevilla (vrico),Real M (JKey),3.10,2.60,2.70,1.40,1.45,1.32,+1.5,1.11,-1.5,5.60,2.5,2.40,1.50,+91
6,Celta (Tekashi),Sevilla (Steven),,,,,,,-3.5,3.65,+3.5,1.25,3.5,2.18,1.61,
7,Real Sociedad (Conqueror),Athletic Bilbao (Thunder),1.06,,,,,7.10,-1.5,4.00,+1.5,1.20,5.5,2.70,1.40,
8,Valencia (Zayn),Betis (Wizard),5.50,1.25,9.00,1.03,3.55,1.11,0,1.50,0,2.40,0.5,3.25,1.30,
9,Borussia Monchengladbach (Oolancer),Bayern Munich (Praym),1.75,3.65,4.30,1.18,1.25,1.95,-1.5,2.85,+1.5,1.37,2.5,1.80,1.90,+9
10,RB Leipzig (Dimqaa),Borussia D (Walker),3.05,3.35,2.20,1.60,1.28,1.33,+1.5,1.18,-1.5,4.30,2.5,2.25,1.57,+82
11,Eintracht Frankfurt (Critic),Koln (Hurricane),1.25,6.00,9.50,1.02,1.09,3.55,-1.5,1.67,+1.5,2.07,3.5,1.60,2.20,+7
12,Hoffenheim (Bobby),Wolfsburg (Miller),,,1.50,2.40,,,+1.5,1.60,-1.5,2.20,3.5,1.72,2.00,+7
13,Proletarians of Hockey,Kalinin Front,2.35,4.80,2.35,1.55,1.17,1.55,-1.5,3.35,+1.5,1.30,8.5,1.87,1.88,+62
14,Russia (nazar4ik99),Finland (Joker),10.50,6.70,1.20,4.05,1.07,1.01,+2.5,1.63,-2.5,2.15,5.5,2.05,1.68,+88
15,USA (lalkoff),Sweden (Yarik_SH),8.50,6.40,1.25,3.55,1.08,1.04,+1.5,2.20,-1.5,1.60,4.5,1.87,1.83,+94
16,Canada (Mistyeye),Sweden (Haxxpower),1.20,5.80,13.00,,1.10,4.05,-1.5,4.50,+1.5,1.16,5.5,2.30,1.55,+28
17,USA (ScRate),Russia (Shket),10.00,3.85,1.38,2.80,1.22,1.02,+1.5,1.35,-1.5,2.90,4.5,2.65,1.43,+56
18,Tianshi Group,Yilian Investment,1.50,,2.40,,,,-3.5,1.80,+3.5,1.90,120.5,1.62,2.15,+8
19,Anadolu Efes (BLM_Mamba),Real Madrid (Ash),2.60,,1.43,,,,+3.5,1.87,-3.5,1.83,96.5,1.90,1.80,+6
20,Atlanta Hawks (McQueen),Boston Celtics (Goku),2.30,,1.55,,,,+2.5,1.87,-2.5,1.83,112.5,1.80,1.90,+6
21,Toronto Raptors (Siegfried),Philadelphia 76ers (SLAMDUNKVV),1.26,,3.45,,,,-5.5,1.80,+5.5,1.90,112.5,1.83,1.87,+6
22,Los Angeles Clippers (Jasmine),Dallas Mavericks (Lily),,,,,,,,,,,,,,
23,Boston Celtics (Galka_khv),Memphis Grizzlies (aLikan_),5.30,,1.12,,,,+8.5,1.83,-8.5,1.87,99.5,1.85,1.85,+6
24,Burevestnik (w),Greenland (w),,,,,,,,,,,,,,
25,Ireland (JohnnySize),Wales (Kisha),1.28,20.00,3.45,,,,-5.5,1.87,+5.5,1.83,33.5,1.85,1.85,+20
26,BOOM Esports,Team Adroit,,,,,,,,,,,,,,
