,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
99,0,Belyye Rozy,Ryzhiye Lisy,,,,,,,-2.5,3.05,2.5,1.33,6.5,1.42,2.65,14.0
100,1,Benev (WCU) Borussia D,Amoyan (EZ1) Atletico M,2.45,3.85,2.45,1.48,1.22,1.48,-1.5,3.85,1.5,1.22,3.5,1.7,2.02,109.0
101,2,Netherlands (slezaintima),Italy (Foggy),5.5,4.4,1.5,2.4,1.17,1.11,1.5,1.35,-1.5,3.0,4.5,1.53,2.35,56.0
102,3,Brazil (DangerDim77),England (orlovsky1),3.15,2.15,3.35,1.28,1.62,1.3,-1.5,7.9,1.5,1.05,1.5,2.15,1.62,67.0
103,4,Bayern (Kodak),RB Leipzig (Boulevard_Pr.),3.5,2.5,2.55,1.45,1.47,1.25,1.5,1.11,-1.5,5.5,2.5,2.35,1.53,91.0
104,5,Borussia M (Skromnuy),Bayer L (vrico),2.7,2.7,3.0,1.35,1.4,1.4,-1.5,5.4,1.5,1.12,2.5,2.08,1.65,92.0
105,6,Atletico M (Praym),Valencia (Dimqaa),,,,,,,,,,,,,,
106,7,REAL SOCIEDAD (GERNAUT),VILLARREAL (FASQER),,,,,,,,,,,,,,
107,8,ATHLETIC CLUB (CRITIC),GETAFE CF (BOBBY),,,,,,,,,,,,,,
108,9,Molot-Prikamje,Izhstal,2.2,3.6,3.0,1.35,1.27,1.63,-1.5,3.4,1.5,1.3,3.5,1.85,1.9,108.0
109,10,Davydov (ILY) Arizona,Ponomarev(4M3)Detroit R.W.,2.0,4.8,2.7,1.4,1.15,1.72,-1.5,2.7,1.5,1.4,5.5,2.05,1.68,119.0
110,11,Finland (Joker),Russia (nazar4ik99),,,,,,,,,,,,,,
111,12,Brooklyn Nets (Moana),LA Lakers (Willow),,,,,,,-9.5,2.0,9.5,1.72,,,,
112,13,LA Clippers (Ellka),Houston Rockets (Sally),,,,,,,,,,,,,,
113,14,Dallas Mavericks (Reta),Philadelphia 76 (Readdle),,,,,,,,,,,,,,
114,15,Portland Trail Blazers (amuralex),Memphis Grizzlies (alex_007_m),8.3,,1.04,,,,14.5,1.78,-14.5,1.92,125.5,1.8,1.9,6.0
115,16,Ruch Chorzow U19 (w),Pawonkow U19 (w),,,,,,,,,,,,,,
116,17,BHT Piotrkow Trybunalski U19 (w),SPR Olkusz U19 (w),,,,,,,,,,,,,,
117,18,Ostrava (w),FAT PIPE Florbal Chodov (w),,,1.05,8.0,,,2.5,2.07,-2.5,1.67,5.5,2.0,1.72,27.0
118,19,Kralovske Vinohrady 2 (w),Rot-Weis-Rot (w),1.62,4.3,4.3,1.18,1.18,2.15,-1.5,2.4,1.5,1.5,4.5,1.77,1.93,25.0
119,20,Traverza Mukařov,Orka Celakovice,,,,,,,-3.5,1.62,3.5,2.15,7.5,1.57,2.25,24.0
120,21,Ireland (JohnnySize),Scotland (Elgy),7.0,20.0,1.09,,,,17.5,1.8,-17.5,1.9,49.5,1.83,1.87,20.0
121,22,Collingwood,Sydney Swans,1.7,,2.0,,,,-2.5,1.85,2.5,1.85,112.5,1.85,1.85,4.0
122,23,496 Gaming,Execration,,,,,,,,,,,,,,
123,24,IG Vitality,black,,,,,,,,,,,,,,
124,25,DAMWON Gaming,Gen.G,,,,,,,,,,,,,,
