0,Arminia Bielefeld,Feyenoord,2.55,2.55,3.50,1.28,1.48,1.48,-1.5,6.30,+1.5,1.10,1.5,2.10,1.70,+162
1,Red Bull Salzburg,Liverpool,1.35,6.10,6.80,1.10,1.13,3.20,-1.5,1.97,+1.5,1.83,4.5,2.35,1.58,+186
2,Unirea Alba Iulia,Viitorul Selimbar,4.40,2.90,1.97,1.73,1.35,1.17,0,2.85,0,1.37,3.5,1.72,2.00,+7
3,Bnei Sakhnin U19,Maccabi Netanya U19,23.00,13.00,1.05,7.80,,,+2.5,1.63,-2.5,2.13,3.5,1.80,1.90,+99
4,Zheleznodorozhnik,Sberbank Kurgan,,,,,,,-3.5,5.80,+3.5,1.10,3.5,3.20,1.30,+12
5,Flora Tallinn U19,Kalju Nomme U19,,,,,,,+3.5,2.40,-3.5,1.50,7.5,1.95,1.75,
6,Tallinna Legion U19,Raplamaa U19,1.02,,,,,12.50,-2.5,1.80,+2.5,1.90,3.5,2.40,1.50,+2
7,ENPPI,Aswan,2.05,2.95,4.20,1.20,1.37,1.73,-1.5,4.30,+1.5,1.20,2.5,2.40,1.53,+195
8,Tractor Sazi Tabriz,Naft Mased Soleiman,1.75,2.80,6.60,1.08,1.38,1.95,-1.5,3.55,+1.5,1.25,1.5,1.80,1.90,+184
9,Al Tadamon,Al Horriya,6.50,3.20,1.63,2.15,1.30,1.08,+1.5,1.20,-1.5,4.05,2.5,2.13,1.64,+9
10,Shorta Hama,Ifrin,3.00,2.40,3.00,1.35,1.50,1.35,0,1.85,0,1.85,1.5,2.45,1.48,+7
11,AGMK Olmaliq,Navbahor Namangan,3.05,2.90,2.45,1.48,1.35,1.33,+1.5,1.10,-1.5,5.80,2.5,1.70,2.02,+116
12,Termez Surkhon,Metallourg Bekabad,1.80,3.20,4.70,1.15,1.30,1.90,-1.5,4.40,+1.5,1.17,2.5,2.00,1.72,+111
13,Porto (Inquisitor),Man.United (TAKA),,,,,,,+2.5,1.27,-2.5,3.40,2.5,1.77,1.93,
14,Ajax (mooneycb),Bayer L (Olle),3.75,1.55,5.70,1.10,2.30,1.23,0,1.55,0,2.25,2.5,2.05,1.68,+7
15,Pavlenko (iNA) PSV,Pelehatsky (PWR) Man Un,27.00,5.30,1.17,4.40,1.12,,+1.5,1.55,-1.5,2.30,7.5,1.38,2.80,+7
16,Napoli (BlackStar98),Real M (FEARGGWP),1.65,3.40,5.40,1.12,1.27,2.10,-1.5,4.20,+1.5,1.18,2.5,1.58,2.25,+58
17,PSG (Chellovekk),Tottenham (Flewless_ph.),3.45,2.70,2.40,1.50,1.40,1.25,+1.5,1.12,-1.5,5.30,1.5,1.57,2.25,+73
18,Argentina (HovHar),Belgium (Diablo),2.50,5.10,2.07,1.67,1.13,1.47,+1.5,1.30,-1.5,3.15,5.5,1.63,2.15,
19,Portugal (Totti),France (Nrek),2.00,4.70,2.75,1.40,1.15,1.72,0,1.60,0,2.20,4.5,2.10,1.65,+7
20,Spain (Archi),England (Tigo),,,1.05,8.50,,,+3.5,1.88,-3.5,1.82,5.5,1.88,1.82,
21,Benfica (Unknown),RB Salzburg (OLOM),3.10,4.70,1.87,1.83,1.15,1.32,0,2.40,0,1.50,3.5,2.15,1.62,+110
22,Shakhtar D (Walker),Olympiacos (Quavo),2.75,4.20,2.10,1.65,1.19,1.40,0,2.10,0,1.65,3.5,2.08,1.67,+7
23,Atalanta (Libra),Galatasaray (Critic),2.30,4.30,2.40,1.50,1.18,1.55,0,1.82,0,1.88,2.5,1.60,2.20,
24,Tychy,Cracovia Krakow,1.63,4.70,3.95,1.20,1.15,2.15,-1.5,2.10,+1.5,1.65,5.5,1.85,1.85,+117
25,Zvezda Moscow,Gornyak Uchaly,1.82,3.70,4.05,1.22,1.25,1.92,-1.5,3.05,+1.5,1.35,2.5,1.62,2.20,+148
26,Ledovyy Desant,Stalker,2.30,5.10,2.30,1.58,1.15,1.58,-1.5,3.20,+1.5,1.32,7.5,1.88,1.88,+68
27,Vitkovice U20,Havirov U20,1.40,4.60,6.60,1.08,1.16,2.75,-1.5,1.92,+1.5,1.78,6.5,2.25,1.58,+94
28,Kometa Brno U20,HK Trinec U20,2.15,4.40,2.60,1.45,1.17,1.62,-1.5,3.25,+1.5,1.30,6.5,2.00,1.72,+103
29,St Louis Blues(shuval13DGL,Baffalo Sabres (Dia4790),1.35,6.10,5.80,1.10,1.09,2.95,-2.5,2.13,+2.5,1.64,8.5,1.92,1.78,+90
30,Finland (Aphex),Czech Republic (Magistr),,,1.08,6.50,,,+2.5,2.13,-2.5,1.64,4.5,1.57,2.25,+41
31,Germany (keks),USA (JET),7.80,4.70,1.35,2.95,1.15,1.05,+1.5,1.82,-1.5,1.88,5.5,2.00,1.72,+45
32,Neptunas,Prometey,1.90,,1.80,,,,+1.5,1.78,-1.5,1.92,175.5,1.85,1.85,+24
33,Cannes Club,Tongren City Fire Brigade,1.13,,5.10,,,,-8.5,1.87,+8.5,1.83,107.5,1.90,1.80,+8
34,Maccabi Fox (ZOD),Barcelona (JoKeR),2.03,,1.70,,,,+1.5,1.87,-1.5,1.83,94.5,1.83,1.87,+6
35,Indiana Pacers (88fireburn),Miami Heat (iamdevilwalk),,,,,,,+18.5,1.90,-18.5,1.80,109.5,1.90,1.80,+6
36,Cleveland Cavaliers (BoBBY),Chicago Bulls (bad_trip),1.67,,2.07,,,,-2.5,1.90,+2.5,1.80,120.5,1.87,1.83,+2
37,Houston Rockets (Hayley),Milwaukee Bucks (Ellka),,,,,,,,,,,,,,
38,Brooklyn Nets (Sally),Dallas Mavericks (Wind),4.70,,1.15,,,,+4.5,1.85,-4.5,1.85,195.5,1.80,1.90,
39,Philadelphia 76ers (Flame),Los Angeles Clippers (Della),,,,,,,,,,,184.5,1.83,1.87,
40,Los Angeles Lakers (Reta),Boston Celtics (Readdle),1.07,,6.80,,,,-6.5,1.94,+6.5,1.76,177.5,1.83,1.87,
41,Detroit Pistons (Answer2208),Cleveland Cavaliers (mcdonals999),1.31,,3.15,,,,-6.5,1.85,+6.5,1.85,108.5,1.76,1.94,+6
42,Universitet Izhevsk (w),CSKA (w),,,,,,,+19.5,1.80,-19.5,1.90,52.5,1.90,1.80,+10
43,CYEB Budakalasz,Oroshazi FKSE,1.35,11.00,3.90,1.21,1.02,2.95,-3.5,1.85,+3.5,1.85,57.5,1.95,1.75,+10
44,Kolstad Handball,Fyllingen Bergen,1.10,,,,,5.80,-4.5,1.85,+4.5,1.85,58.5,1.77,1.93,+10
45,KPRF,Gazprom-Ygra,1.40,5.30,5.50,1.11,1.12,2.75,-1.5,1.93,+1.5,1.77,5.5,2.15,1.62,+27
46,Orange (w),Gorchitsa (w),1.90,,1.80,,,,+0.5,1.85,-0.5,1.85,86.5,1.87,1.83,+24
47,Apeks,MAD Lions,4.10,,1.19,,,,,,,,,,,
48,HellRaisers,Cyberium.S,,,,,,,,,,,,,,
