,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
235,0,Ротор-Зенит. Dzyuba A,Azmoun S,2.9,2.3,3.35,1.28,1.55,1.36,0.0,1.75,0.0,1.95,1.5,2.6,1.44,4.0
236,1,Ротор-Зенит. Malcom,Driussi S,3.9,1.65,4.5,1.16,2.1,1.21,0.0,1.72,0.0,2.0,0.5,1.87,1.83,4.0
237,2,Rotor-Volgograd,Zenit St. Petersburg,8.5,4.7,1.38,3.05,1.19,1.07,1.5,1.7,-1.5,2.15,2.5,1.93,1.87,272.0
238,3,Zarya Lugansk,Dnipro-1,1.25,4.6,20.0,,1.18,3.75,-1.5,3.45,1.5,1.3,3.5,1.7,2.1,74.0
239,4,Zeljeznicar Sarajevo,Borac Banja Luka,1.75,3.35,4.9,1.14,1.28,1.95,-1.5,3.15,1.5,1.3,2.5,2.2,1.6,194.0
240,5,Samtredia,Saburtalo Tbilisi,7.0,1.38,5.0,1.15,2.9,1.08,0.0,2.2,0.0,1.63,2.5,2.85,1.4,4.0
241,6,Aragvi Dusheti,Shevardeni 1906,,,,,,,1.5,5.4,-1.5,1.12,4.5,3.3,1.28,
242,7,Zugdidi,Metalurgi Rustavi,,,,,,,-2.5,6.2,2.5,1.09,4.5,3.75,1.23,6.0
243,8,Gori FC,Meshakhte Tkibuli,1.04,,,,,9.5,-1.5,6.6,1.5,1.08,1.5,4.4,1.17,6.0
244,9,BFK Daugavpils,FC Riga,6.7,4.6,1.4,2.75,1.16,1.07,1.5,1.65,-1.5,2.1,2.5,1.75,1.95,191.0
245,10,FS Metta/LU,Tukums 2000,1.73,3.75,4.2,1.19,1.23,2.0,-1.5,2.85,1.5,1.35,2.5,1.75,1.95,202.0
246,11,Troitsk,Krylya Sovetov-Alyans,,,,,,,-4.5,2.25,4.5,1.57,4.5,1.72,2.0,2.0
247,12,Nika Moscow,Boradigyakh,1.88,4.2,3.2,1.3,1.19,1.82,0.0,1.5,0.0,2.45,3.5,2.2,1.6,
248,13,Zheleznodorozhnik,Energosoyuz,,,,,,,-3.5,2.4,3.5,1.5,4.5,2.4,1.5,
249,14,Nomme United U19,Tabasalu U19,,,,,,,-3.5,1.63,3.5,2.15,4.5,1.93,1.77,7.0
250,15,Kalju Nomme U19,Tallinna Legion U19,1.1,,,,,5.7,-1.5,1.65,1.5,2.1,3.5,1.8,1.9,7.0
251,16,Levadia U19,Raplamaa U19,1.06,8.5,48.0,,1.04,7.3,-1.5,1.55,1.5,2.3,2.5,1.95,1.75,38.0
252,17,Achuapa,Deportivo San Pedro,2.55,3.05,2.75,1.4,1.33,1.45,-1.5,5.4,1.5,1.12,2.5,2.1,1.65,196.0
253,18,Zelenie Berety,Zheltie Tulpany,9.0,6.5,1.21,3.9,1.08,1.03,2.5,1.6,-2.5,2.2,8.5,2.0,1.72,22.0
254,19,Energetik-SGK,Periskop,,,,,,,3.5,1.85,-3.5,1.85,6.5,2.1,1.65,30.0
255,20,Pro Teplo,Parma Tyumen,1.6,4.7,4.0,1.2,1.15,2.2,-1.5,2.3,1.5,1.55,8.5,1.83,1.87,
256,21,Lokomotiv Moskow (w),Enisey Krasnoyarsk (w),1.11,8.5,16.0,,1.04,5.5,-2.5,2.3,2.5,1.55,2.5,1.6,2.2,174.0
257,22,Ryazan-VDV (w),Zenit SPb (w),2.0,3.3,3.65,1.25,1.3,1.72,-1.5,4.3,1.5,1.18,1.5,1.7,2.02,179.0
258,23,CSKA (w),Krasnodar (w),1.25,5.1,11.5,1.01,1.13,3.55,-1.5,2.0,1.5,1.72,2.5,2.17,1.62,181.0
259,24,Halilov (GMB) Ajax,Zhukov (RUB) Liverpool,1.85,3.75,3.6,1.25,1.23,1.85,-1.5,3.3,1.5,1.3,2.5,1.8,1.9,42.0
260,25,Napoli (FEARGGWP),PSG (Chellovekk),2.85,2.1,3.95,1.2,1.65,1.37,-1.5,7.8,1.5,1.06,0.5,1.4,2.7,63.0
261,26,Real M (SALAYYY),Bayern (BlackStar98),4.3,2.25,2.45,1.48,1.57,1.18,1.5,1.07,-1.5,6.7,3.5,2.5,1.48,49.0
262,27,Portugal (Spursmax),Argentina (Den1Bravo),,,,,,,,,,,,,,
263,28,Greece (Vito),Sweden (Olom),,,,,,,,,,,,,,
264,29,Uruguay (Jenko),England (Indra13_27),3.9,3.9,1.77,1.93,1.2,1.2,0.0,2.85,0.0,1.37,2.5,1.55,2.3,
265,30,Greece (Vito),Ireland (Kiser),4.0,4.1,1.7,2.02,1.19,1.2,1.5,1.4,-1.5,2.7,3.5,2.15,1.62,9.0
266,31,Izhstal,Neftyanik Almetyevsk,6.3,5.9,1.35,3.05,1.11,1.1,1.5,2.07,-1.5,1.7,6.5,1.75,2.0,109.0
267,32,Metallurg Magnitogorsk,Sibir Novosibirsk,1.11,8.0,23.0,,1.06,6.0,-2.5,1.88,2.5,1.88,3.5,1.53,2.4,121.0
268,33,Salavat Yulayev,Neftekhimik,1.09,10.0,19.0,,1.03,6.7,-2.5,1.58,2.5,2.3,5.5,1.95,1.8,141.0
269,34,Krasnyye Krylya,Ledovyy Desant,1.7,5.7,3.35,1.3,1.12,2.1,-1.5,2.2,1.5,1.63,8.5,1.9,1.85,59.0
270,35,Pardubice,Hradec Kralove,2.2,4.5,2.5,1.47,1.16,1.6,-1.5,3.1,1.5,1.32,4.5,1.78,1.92,124.0
271,36,Hc O Trinec,Zlin,1.72,4.7,3.65,1.25,1.17,2.05,-1.5,2.3,1.5,1.58,6.5,1.62,2.25,135.0
272,37,Toronto (Kumaaa1998),Edmonton Oilers (MartyART),3.75,2.5,2.45,1.48,1.47,1.23,1.5,1.17,-1.5,4.4,5.5,1.6,2.2,67.0
273,38,Mitrakov (D1S) Colorado,Davydov (ILY) Arizona,,,,,,,2.5,3.1,-2.5,1.32,3.5,1.55,2.3,15.0
274,39,Canada (Supernova),USA (Magistr),,,,,,,,,,,,,,
275,40,Maccabi Fox (jema11),Panathinaikos (BLM_Mamba),,,,,,,16.5,1.78,-16.5,1.92,111.5,1.85,1.85,6.0
276,41,Orlando Magic (bad_trip),Miami Heat (Tranquil),3.03,,1.33,,,,3.5,1.9,-3.5,1.8,92.5,1.8,1.9,6.0
277,42,Brooklin Nets (Shiva),Cleveland Cavaliers (iamdevilwalk),,,,,,,10.5,1.83,-10.5,1.87,119.5,1.8,1.9,6.0
278,43,LA Clippers (Allka),Brooklin Nets (Stella),1.52,,2.36,,,,-3.5,1.83,3.5,1.87,192.5,1.87,1.83,2.0
279,44,Boston Celtics (Lily),Philadelphia 76 (Potter),,,,,,,27.5,1.83,-27.5,1.87,212.5,1.85,1.85,6.0
280,45,Dallas Maver. (Sphynx),Houston Rockets (Elsa),,,,,,,-20.5,1.87,20.5,1.83,189.5,1.8,1.9,6.0
281,46,Dallas Mavericks (broccolicabbage0),Portland Trail Blazers (Answer2208),2.65,,1.42,,,,2.5,1.78,-2.5,1.92,108.5,1.87,1.83,
282,47,Gazprom burenie,Orghim NN,4.3,5.1,1.55,2.3,1.13,1.18,1.5,1.6,-1.5,2.2,5.5,1.9,1.8,25.0
283,48,PSP,Caucasus International Un.,,,,,,,2.5,1.83,-2.5,1.87,5.5,2.4,1.5,16.0
284,49,Orange (w),Gorchitsa (w),1.3,,3.25,,,,-4.5,1.68,4.5,2.05,92.5,2.02,1.7,2.0
285,50,3M 2-nd game. Carlsen M,Ding Liren,1.15,5.5,33.0,,1.11,4.7,,,,,,,,
286,51,3M 2-nd game. Nakamura H,Dubov D,2.2,2.1,6.8,1.07,1.65,1.6,0.0,1.2,0.0,4.0,,,,
287,52,Nexus,SJ,1.69,,2.05,,,,,,,,,,,
288,53,BIG,Heroic,1.11,,5.5,,,,,,,,,,,
289,54,Team Unique,Cyberium.S,,,,,,,,,,,,,,
