0,Cfr Cluj,Dynamo Zagreb,,,,,,,,,,,,,,
1,Legia Warsaw,FC Omonoia,,,,,,,,,,,,,,
2,extra time. Cfr Cluj,Dynamo Zagreb,,,,,,,,,,,,,,
3,extra time. Legia Warsaw,FC Omonoia,,,,,,,,,,,,,,
4,Celtic,Ferencvarosi,1.85,2.30,13.00,1.02,1.62,1.95,-1.5,5.00,+1.5,1.17,2.5,1.50,2.55,+116
5,Enosi Peristeriou,Amila Peristeriou,,,,,,,,,,,,,,
6,St. John Bosco,Dunboyne,,,,,,,-3.5,2.30,+3.5,1.55,3.5,1.75,1.95,+14
7,Templeogue United,Drumcondra,6.70,3.50,1.55,2.30,1.25,1.07,+1.5,1.25,-1.5,3.50,2.5,2.50,1.47,+102
8,Greystones,University College Dublin,1.10,7.80,23.00,,1.05,5.80,-1.5,1.45,+1.5,2.50,3.5,2.10,1.65,+52
9,Ellidi,Vaengir Yupiters,6.00,5.30,1.38,2.80,1.12,1.09,+1.5,1.70,-1.5,2.02,4.5,1.95,1.75,+169
10,Midas,KB Breidholt,2.80,5.20,1.87,1.83,1.13,1.38,+1.5,1.38,-1.5,2.80,4.5,1.63,2.15,+80
11,Byasen U19,Ranheim U19,,,,,,,+3.5,1.28,-3.5,3.30,5.5,2.25,1.57,+4
12,Skeid U19,Asker U19,,,,,,,,,,,,,,
13,FCI Tallinna,Kuressaare,,,,,,,,,,,,,,
14,Al Ahly,El Gounah,1.48,3.50,9.50,1.04,1.28,2.55,-1.5,2.65,+1.5,1.45,1.5,2.02,1.75,+54
15,America RN,Juventude Caxias do Sul,15.00,3.90,1.35,3.05,1.23,,+1.5,1.35,-1.5,3.10,1.5,1.43,2.75,+139
16,Clube Regatas Brazil,Cruzeiro,23.00,5.10,1.19,4.15,1.13,,+1.5,1.52,-1.5,2.35,2.5,2.55,1.45,+104
17,El Nacional,CD Olmedo,2.60,2.95,2.90,1.40,1.37,1.47,-1.5,6.00,+1.5,1.11,3.5,1.75,2.00,+154
18,Cliftonville LFC (w),Glentoran Belfast (w),,,,,,,+3.5,1.45,-3.5,2.55,3.5,1.83,1.87,+31
19,Derry City (w),Sion Swifts (w),,,,,,,+8.5,1.65,-8.5,2.10,8.5,1.80,1.90,+19
20,Linfield (w),Crusaders (w),1.75,2.85,6.30,1.08,1.37,1.95,-1.5,3.75,+1.5,1.23,1.5,2.10,1.65,+131
21,Sunnana (w),Hammarby (w),,,,,,,+2.5,2.05,-2.5,1.68,4.5,1.42,2.65,+22
22,Internacional (w),Flamengo (w),3.20,1.50,9.50,1.02,2.40,1.30,0,1.27,0,3.40,2.5,2.30,1.55,+6
23,Kostin (NFC) Chelsea,Pavlenko (iNA) PSV,,,,,,,,,,,,,,
24,Tottenham (sane4ek8),Liverpool (Flewless_ph.),1.53,3.30,7.90,1.05,1.30,2.35,-1.5,3.55,+1.5,1.25,2.5,2.30,1.55,+46
25,Man.United (BlackStar98),Arsenal L (Chellovekk),1.25,4.80,16.00,,1.15,3.55,-1.5,2.55,+1.5,1.45,2.5,2.45,1.48,+48
26,Bordeaux (stdm),Saint Etienne (Aphex),2.35,1.80,10.00,1.02,1.90,1.53,0,1.17,0,4.40,2.5,1.75,1.95,+4
