0,Lyon,Bayern Munich,11,7.2,1.23,4.42,1.12,1.064,2.056,3.5,1.8,1.79,+2-,2.07,1.68,0.5,2.18,1.77,2.5,2.04,,,,
1,Flora Tallinn,Suduva Marijampole,1.92,-,1.92,-,-,-,-,-,-,1.92,0,1.92,1.66,3.5,2.22,2.65,4.5,1.48,,,,
2,Buducnost Podgorica,Ludogorets 1945,16,5.75,1.24,4.31,1.165,1.03,2.25,4.5,1.67,1.65,+1.5-,2.29,2.1,1.5,1.73,1.56,2.5,2.43,,,,
3,Gap Connah's Quay,Sarajevo,26,7.6,1.144,5.99,1.11,1.008,1.775,2,2.09,1.79,+1.5-,2.07,2.93,0.5,1.41,1.67,1.5,2.2,,,,
4,Sheriff Tiraspol,Fola,1.11,9.2,30,-,1.085,7.17,2.344,2.5,1.625,1.85,-1.5+,1.995,2.06,2,1.76,2.93,0.5,1.41,,,,
5,Floriana,CFR Cluj,12,6.7,1.23,4.42,1.13,1.05,1.83,2.5,2.016,2.045,+1.5-,1.81,2.45,0.5,1.55,1.8,2,2.01,,,,
6,Toronto Raptors,Brooklyn Nets,1.91,10,1.91,,,,1.88,216.5,1.92,1.91,-2.5+,1.89,1.76,108.5,1.91,1.8,107.5,1.97,2.69,6.77,1.72,
7,Toronto Raptors,Brooklyn Nets,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Federico Gaio(3),Alessandro Giannessi,2.46,-,1.55,,,,1.85,22.5,1.96,1.7,+3.5-,2.15,1.72,11.5,2,1.66,12.5,2.09,-,-,,-
9,Mena/Ficovich,Bortolotti/Vilella Martinez(4),-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-
10,Vanersborgs IF,Utsiktens,27,4.71,1.24,-,-,-,1.68,1.5,2.235,2.2,+1-,1.7,-,-,-,-,-,-,,,,
11,Newroz,Gamla Upsala,2.66,2.25,4.3,1.22,1.65,1.48,2.416,5,1.59,1.58,0,2.445,2.27,2.5,1.64,2.65,2.5,1.48,,,,
12,Sleipner,Nykopings BIS,59,5.91,1.15,5.4,1.136,-,1.68,3.5,2.235,2.865,+1-,1.44,3.55,1.5,1.3,2.33,2.5,1.6,,,,
13,St.Louis Cardinals,Chicago Cubs,1.125,-,6.5,-,-,-,1.74,10.5,2.14,1.71,-3.5+,2.18,2.12,7.5,1.69,2.04,3.5,1.75,,,,
14,Toronto Blue Jays,Baltimore Orioles,1.41,-,3.01,-,-,-,1.74,7.5,2.14,2.32,-1.5+,1.64,2.12,4.5,1.69,2.04,3.5,1.75,,,,
15,Philadelphia Phillies,Boston Red Sox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
16,Ismaily,Wadi Degla,3.27,2.21,3.22,1.325,1.63,1.315,1.736,1,2.1,1.95,0,1.85,2.06,0.5,1.73,2.06,0.5,1.73,,,,
17,Al-Ahli Amman,Sahab Club,6.51,1.5,4,1.225,2.49,1.096,2.315,0.5,1.61,2.46,0,1.55,4.89,0.5,1.16,3.38,0.5,1.3,,,,
18,FUS de Rabat,Raja Casablanca,4.76,2.88,1.95,1.805,1.39,1.17,1.736,1.5,2.1,3.13,0,1.36,1.88,0.5,1.88,1.72,1,2.07,,,,
19,Hassania Agadir,OC Safi,2.2,2.87,3.75,1.25,1.392,1.632,1.94,2,1.86,1.52,0,2.53,1.75,1,2.03,1.59,0.5,2.31,,,,
20,Youssoufia Berrechid,Renaissance Sportive de Berkane,4.01,3,2.05,1.725,1.365,1.225,2.24,2,1.65,2.78,0,1.44,1.82,0.5,1.95,1.8,1,1.97,,,,
21,Alianza Universidad,Carlos Mannucci,2.89,2.39,3.27,1.315,1.54,1.39,2.405,1.5,1.57,1.8,0,2.01,1.82,0.5,1.95,1.96,0.5,1.81,,,,
22,Al-Raed,Al Shabab Riyadh,6.74,3.06,1.71,2.115,1.37,1.1,2.28,2.5,1.66,1.51,+1-,2.64,1.68,0.5,2.13,2.37,1.5,1.56,,,,
23,Danubio,Club Plaza Colonia de Deportes,2.87,2.3,3.5,1.28,1.584,1.392,2.31,1.5,1.57,1.71,0,2.13,1.82,0.5,1.95,2.06,0.5,1.73,,,,
24,Deportivo Maldonado,Penarol,4.73,2.49,2.19,1.64,1.504,1.17,2.24,1.5,1.65,3.02,0,1.39,2.31,0.5,1.58,1.59,0.5,2.31,,,,
25,Kuchl,Seekirchen 1945,-,-,-,-,-,-,1.965,3.5,1.84,1.93,-3+,1.88,3.38,3.5,1.3,3.38,0.5,1.3,,,,
26,Real Nucleo Bandeirante,Brasiliense Futebol Clube,4.12,2.47,2.37,1.55,1.51,1.216,1.67,1,2.2,2.54,0,1.52,2.4,0.5,1.55,1.75,0.5,2.03,,,,
27,Atletico Monte Azul,Clube Atletico Penapolense,8.15,4.07,1.43,2.72,1.22,1.06,2.24,2.5,1.65,1.85,+1-,1.95,1.84,0.5,1.92,1.88,1.5,1.88,,,,
28,Rio Claro,Audax Sao Paulo Esporte Clube,1.03,17.2,26,-,-,10.4,1.656,4,2.23,1.64,-2.5+,2.25,2.43,3.5,1.53,1.69,0.5,2.12,,,,
29,Taubate,Red Bull Brasil,2.67,2.42,3.56,1.275,1.53,1.448,1.605,3,2.33,1.65,0,2.24,1.76,1.5,2.01,2.05,1.5,1.74,,,,
30,Clube Atletico Juventus,AA Portuguesa Santista,1.14,8.53,13.7,1.01,1.056,5.26,2.24,3.5,1.65,1.63,-1.5+,2.28,2.16,2.5,1.67,1.64,0.5,2.21,,,,
31,Esporte Clube XV de Novembro Piracicaba,Clube Atletico Votuporanguense,1.27,5.65,9.24,1.045,1.125,3.53,1.875,3,1.925,1.9,-1.5+,1.9,2.29,2.5,1.59,1.72,0.5,2.07,,,,
32,EC Sao Bento SP,Atibaia,1.77,3.84,4.1,1.216,1.24,1.99,1.736,2,2.096,2.4,-1+,1.57,2.04,1.5,1.74,1.71,0.5,2.09,,,,
33,Tor Akureyri,UMF Leiknir Faskrudsfjordur,-,25,25,-,-,-,2.22,5,1.66,1.73,-3.5+,2.11,2.31,4.5,1.58,2.21,0.5,1.64,,,,
34,Knattspyrnufelagið Fram,Magni,1.01,21,31,-,-,-,2.05,4,1.77,1.72,-3+,2.13,1.87,3.5,1.89,2.62,0.5,1.47,,,,
35,Íþrottabandalag Vestmannaeyja,Ungmennafelagid Afturelding,1.37,4.63,8.23,1.06,1.175,2.97,2.17,3,1.69,1.67,-1+,2.21,2.03,2,1.75,1.64,0.5,2.2,,,,
36,Keflavík,Ungmennafelagið Víkingur,1.01,23,28,-,-,-,1.825,5,1.98,1.85,-3.5+,1.95,2.31,4.5,1.58,1.77,0.5,2.01,,,,
37,Ungmennafelag Njarðvíkur,UMF Selfoss,4.38,3.43,1.82,1.93,1.29,1.192,1.87,2.5,1.93,1.38,+1-,3.03,2.03,1,1.75,2.15,1.5,1.67,,,,
38,Dalvik Reynir,Kordrengir,33,20,1.01,12.6,-,-,1.77,3.5,2.05,1.7,+3-,2.16,2.69,0.5,1.45,1.59,3,2.29,,,,
39,Haukar,Iþrottafelagið Volsungur,2.44,3.56,2.64,1.456,1.275,1.525,2.05,3.5,1.77,1.83,0,1.98,1.77,1.5,2.01,1.93,1.5,1.84,,,,
40,Kilnamanagh,Glenville,1.04,13.9,28,-,1.008,9.33,1.81,3.5,2,1.85,-2.5+,1.95,1.76,3,2.01,2.04,0.5,1.74,,,,
41,Wayside Celtic,Portmarnock,1.13,9.1,13.1,1.01,1.048,5.41,1.99,6,1.82,1.93,-2.5+,1.87,1.78,4,2,1.82,1.5,1.95,,,,
42,Strindheim U19,Stjordals-Blink U19,1.19,5.06,29,-,1.15,4.35,1.61,1.5,2.33,1.58,-1+,2.38,2.31,1.5,1.59,2.99,0.5,1.37,,,,
43,Rapperswil-Jona,Breitenrain,1.16,6.28,22,-,1.104,4.88,1.89,3.5,1.91,1.57,-1+,2.41,2.65,2.5,1.46,3.76,1.5,1.25,,,,
44,Etoile,Stade Nyonnais,1.39,4.41,8.15,1.06,1.19,2.875,1.965,2.5,1.84,1.76,-1+,2.06,1.7,1.5,2.1,1.82,0.5,1.95,,,,
45,Sion II,Bavois,10.6,5.83,1.24,3.79,1.12,1.03,1.832,2.5,1.97,1.76,+1.5-,2.07,1.96,0.5,1.81,1.97,2,1.79,,,,
